date,open,high,low,close,volume,marketcap,average
20180110,2.36,2.85,2.14,2.40,14414,,2.50
20180109,3.27,3.33,1.72,2.36,10710,,2.52
20180108,2.62,3.66,2.05,3.27,17951,,2.85
20180107,2.73,3.03,1.95,2.61,11831,,2.49
20180106,2.29,3.35,2.22,2.73,12966,,2.79
20180105,3.48,3.54,2.24,2.29,21500,,2.89
20180104,3.20,3.73,3.07,3.49,3043,,3.40
20180103,2.79,3.26,2.62,3.19,993,,2.94
20180102,2.73,3.04,2.69,2.79,3616,,2.87
20180101,2.97,2.97,2.63,2.73,492,,2.80
20171231,2.56,3.22,2.48,2.96,715,,2.85
20171230,2.79,2.85,2.34,2.59,1521,,2.59
20171229,3.25,3.37,2.29,2.80,4093,,2.83
20171228,2.99,3.49,2.94,3.23,3513,,3.21
20171227,2.71,3.93,2.27,3.00,7217,,3.10
20171226,3.55,3.55,2.29,2.71,5489,,2.92
20171225,3.12,3.58,3.10,3.55,2857,,3.34
20171224,2.81,3.10,2.41,3.10,3762,,2.75
20171223,3.85,4.12,2.78,2.78,3107,,3.45
20171222,3.80,4.49,2.95,3.81,1087,,3.72
20171221,3.28,3.84,3.10,3.79,332,,3.47
20171220,3.05,3.68,2.69,3.28,772,,3.19
20171219,3.66,4.03,3.01,3.05,4809,,3.52
20171218,7.13,7.13,3.36,3.67,9952,,5.25
20171217,4.72,7.34,3.04,7.11,16067,,5.19
20171216,5.05,8.86,4.46,4.71,6205,,6.66
20171215,4.60,5.37,4.60,5.04,6445,,4.98
20171214,4.67,6.30,3.70,4.59,24396,,5.00
20171213,4.89,6.52,3.73,4.67,11836,,5.12
20171212,3.54,4.99,3.20,4.88,6001,,4.10
20171211,3.09,5.27,3.09,3.56,10788,,4.18
20171210,4.30,4.44,2.91,3.10,4107,,3.68
20171209,3.43,5.61,3.12,4.28,3069,,4.37
20171208,2.85,4.17,2.79,3.39,1395,,3.48
20171207,4.21,4.33,2.78,2.88,865,,3.55
20171206,4.38,5.11,3.91,4.22,2696,,4.51
20171205,6.86,6.88,4.25,4.38,2184,,5.56
20171204,4.25,6.84,4.14,6.84,2099,,5.49
20171203,3.66,5.96,3.43,4.22,1528,,4.70
20171202,3.13,5.77,2.92,3.66,2706,,4.34
20171201,2.95,3.56,2.91,3.14,3893,,3.24
20171130,2.87,3.92,2.86,2.96,2237,,3.39
20171129,4.04,4.14,2.65,2.83,3919,,3.39
20171128,3.76,4.19,3.60,4.03,1729,,3.90
20171127,5.14,5.19,2.83,3.77,4488,,4.01
20171126,4.27,5.17,4.05,5.14,1387,,4.61
20171125,5.92,6.15,4.12,4.27,2840,,5.13
20171124,4.53,6.01,3.62,5.92,2768,,4.81
20171123,3.87,4.70,3.83,4.55,2377,,4.27
20171122,4.10,4.17,2.91,3.86,1388,,3.54
20171121,3.85,4.51,3.27,4.10,882,,3.89
20171120,4.39,4.39,3.41,3.86,3510,,3.90
20171119,4.74,4.74,3.90,4.39,7053,,4.32
20171118,4.38,4.78,4.18,4.75,3674,,4.48
20171117,4.73,5.16,4.31,4.39,766,,4.73
20171116,4.56,4.80,4.36,4.67,1382,,4.58
20171115,4.36,4.80,4.09,4.56,8108,,4.45
20171114,3.67,4.82,3.65,4.35,1837,,4.24
20171113,3.59,3.90,3.56,3.67,4078,,3.73
20171112,4.33,4.50,3.56,3.58,5981,,4.03
20171111,3.90,4.54,3.90,4.33,5125,,4.22
20171110,4.74,4.94,3.91,3.91,11398,,4.43
20171109,4.23,4.94,4.20,4.74,10750,,4.57
20171108,4.64,4.84,3.75,4.25,4651,,4.29
20171107,3.93,4.86,3.88,4.00,19631,,4.37
20171106,4.47,4.50,3.65,3.93,3483,,4.08
20171105,3.84,4.60,3.84,4.46,4642,,4.22
20171104,4.13,4.16,3.38,3.84,7531,,3.77
20171103,3.71,4.39,3.38,4.13,6140,,3.88
20171102,4.79,5.26,3.47,3.69,25871,,4.37
20171101,5.45,5.59,4.78,4.78,3324,,5.19
20171031,5.08,5.69,4.93,5.46,6828,,5.31
20171030,5.89,6.02,5.04,5.09,7107,,5.53
20171029,5.87,5.97,4.78,5.90,2649,,5.38
20171028,5.33,6.17,5.00,5.87,5870,,5.58
20171027,5.29,5.87,3.99,5.31,15041,,4.93
20171026,4.65,5.57,3.76,5.29,15718,,4.67
20171025,4.34,5.84,4.21,4.66,3761,,5.03
20171024,3.28,10.05,3.23,4.34,11199,,6.64
20171023,4.03,4.09,2.40,3.28,12076,,3.25
