date,open,high,low,close,volume,marketcap,average
20180110,0.037679,0.040308,0.030664,0.039746,927292,37679500,0.04
20180109,0.040059,0.041922,0.037193,0.037193,1000160,40059200,0.04
20180108,0.045924,0.046734,0.032901,0.040320,1441090,45923600,0.04
20180107,0.050748,0.050911,0.043973,0.046151,1329620,50747500,0.05
20180106,0.035497,0.050785,0.033766,0.050785,2086120,35496500,0.04
20180105,0.033095,0.040891,0.031369,0.035468,2556140,33094900,0.04
20180104,0.026923,0.036915,0.024972,0.033847,1586180,26923100,0.03
20180103,0.024479,0.029202,0.023352,0.026776,713153,24479000,0.03
20180102,0.023357,0.025879,0.022160,0.024268,666765,23357400,0.02
20180101,0.022370,0.025490,0.020491,0.022954,753484,22370100,0.02
20171231,0.020597,0.023799,0.019763,0.022423,623268,20597400,0.02
20171230,0.024353,0.024506,0.019234,0.020694,318805,24352900,0.02
20171229,0.026476,0.026863,0.023360,0.024124,796744,26475600,0.03
20171228,0.027618,0.027618,0.020230,0.026204,985429,27618300,0.02
20171227,0.025656,0.026899,0.020286,0.026899,1697430,25655900,0.02
20171226,0.026466,0.028150,0.019164,0.025637,2268200,26466300,0.02
20171225,0.030428,0.032806,0.025604,0.026493,2371740,30427700,0.03
20171224,0.023078,0.033242,0.022192,0.029557,4808440,23078100,0.03
20171223,0.016272,0.024339,0.015538,0.023259,1220670,16271800,0.02
20171222,0.019641,0.019953,0.010645,0.015983,805703,19641300,0.02
20171221,0.016813,0.021559,0.016209,0.020356,1336910,16812900,0.02
20171220,0.016033,0.018331,0.013795,0.016769,864526,16033100,0.02
20171219,0.017986,0.018406,0.015483,0.016049,834403,17985500,0.02
20171218,0.016836,0.021249,0.014663,0.017588,3843440,16836100,0.02
20171217,0.011881,0.018583,0.011151,0.016213,1370190,11880800,0.01
20171216,0.012529,0.012529,0.010106,0.011879,608447,12529300,0.01
20171215,0.009123,0.013050,0.008060,0.012512,1275660,9123200,0.01
20171214,0.007369,0.009284,0.007160,0.008778,296660,7368960,0.01
