date,open,high,low,close,volume,marketcap,average
20180110,2.93,2.94,2.62,2.85,482890,,2.78
20180109,3.07,3.15,2.90,2.96,684484,,3.02
20180108,3.28,3.33,2.86,3.08,1566360,,3.09
20180107,3.18,3.34,3.04,3.28,916777,,3.19
20180106,3.13,3.28,2.96,3.19,996261,,3.12
20180105,3.11,3.25,2.98,3.12,1286000,,3.12
20180104,3.10,3.23,2.87,3.11,1398150,,3.05
20180103,3.23,3.39,3.03,3.12,1102750,,3.21
20180102,3.01,3.42,2.88,3.28,2737110,,3.15
20180101,3.01,3.05,2.80,2.95,573945,,2.92
20171231,2.61,3.23,2.55,3.01,1327990,,2.89
20171230,2.95,3.00,2.48,2.62,580073,,2.74
20171229,2.96,3.16,2.79,2.96,1305370,,2.98
20171228,2.98,3.04,2.67,2.87,777283,,2.85
20171227,3.35,3.49,2.85,3.03,1019240,,3.17
20171226,3.34,3.49,2.96,3.35,1815770,,3.23
20171225,3.79,4.27,3.38,3.38,2575400,,3.82
20171224,2.65,4.18,2.47,3.80,6949440,,3.33
20171223,2.40,2.86,2.36,2.65,875675,,2.61
20171222,2.80,2.83,1.96,2.42,868505,,2.40
20171221,2.69,3.09,2.65,2.77,2049350,,2.87
20171220,3.14,3.14,2.64,2.69,1288750,,2.89
20171219,3.34,3.47,2.92,3.14,2027810,,3.20
20171218,3.10,3.48,2.91,3.34,1710810,,3.20
20171217,3.14,3.23,2.90,3.05,1577380,,3.06
20171216,3.18,3.40,2.91,3.06,1724070,,3.16
20171215,3.32,3.51,3.16,3.21,1464870,,3.33
20171214,3.42,3.70,3.31,3.35,2334310,,3.50
20171213,3.50,3.58,3.27,3.39,1076510,,3.42
20171212,3.40,3.66,3.29,3.45,1322910,,3.48
20171211,3.40,3.76,3.36,3.39,1346200,,3.56
20171210,3.39,3.75,3.07,3.41,1009130,,3.41
20171209,3.40,3.75,3.09,3.38,1134310,,3.42
20171208,3.85,3.97,3.10,3.40,1806750,,3.54
20171207,3.13,4.20,2.80,3.85,3705730,,3.50
20171206,3.84,3.85,2.75,3.15,5496810,,3.30
20171205,4.52,4.53,3.82,3.82,2860450,,4.17
20171204,4.92,4.92,4.13,4.51,3708960,,4.53
20171203,5.57,5.74,4.62,4.91,3953460,,5.18
20171202,6.18,6.39,5.24,5.55,5027140,,5.81
20171201,5.90,6.27,5.54,6.17,2396840,,5.90
20171130,5.01,6.20,4.89,6.03,3822920,,5.54
20171129,6.13,6.32,4.59,4.77,3149140,,5.46
20171128,6.18,6.40,5.98,6.20,2326850,,6.19
20171127,5.78,6.64,5.68,6.18,4343310,,6.16
20171126,5.44,6.05,5.34,5.84,1939620,,5.70
20171125,4.70,5.63,4.64,5.39,3351570,,5.13
20171124,4.68,5.15,3.84,4.68,6786420,,4.50
20171123,6.56,6.56,4.59,4.75,8634450,,5.57
20171122,4.79,7.14,4.49,6.34,22251200,,5.81
20171121,3.58,5.23,3.29,4.83,8229770,,4.26
20171120,2.34,4.03,2.31,3.52,8742010,,3.17
20171119,2.26,2.36,2.21,2.34,655212,,2.29
20171118,2.23,2.28,2.11,2.26,627414,,2.19
20171117,2.14,2.30,2.06,2.22,1356120,,2.18
20171116,1.94,2.22,1.91,2.14,1778000,,2.06
20171115,1.59,2.01,1.57,1.96,1050160,,1.79
20171114,1.57,1.64,1.35,1.59,739952,,1.50
20171113,1.43,1.63,1.40,1.57,252722,,1.51
20171112,1.56,1.59,1.33,1.43,488176,,1.46
20171111,1.61,1.68,1.54,1.56,407372,,1.61
20171110,1.65,1.81,1.54,1.62,414658,,1.68
20171109,1.78,1.79,1.63,1.65,672076,,1.71
20171108,1.53,1.78,1.52,1.78,589163,,1.65
20171107,1.42,1.57,1.41,1.53,449293,,1.49
20171106,1.49,1.54,1.39,1.42,253432,,1.46
20171105,1.43,1.57,1.38,1.49,345374,,1.48
20171104,1.27,1.55,1.20,1.43,646446,,1.38
20171103,1.50,1.71,1.22,1.27,1252330,,1.46
20171102,1.76,2.06,1.51,1.51,3801830,,1.79
20171101,0.948980,1.87,0.932008,1.68,7277070,,1.40
20171031,0.674005,1.22,0.665609,0.960674,2198300,,0.94
20171030,0.628471,0.679586,0.625877,0.676295,140628,,0.65
20171029,0.582858,0.672266,0.581658,0.633348,56812,,0.63
20171028,0.575420,0.649144,0.575068,0.583635,302850,,0.61
20171027,0.554683,0.603485,0.547572,0.573850,113771,,0.58
20171026,0.438615,0.635748,0.438615,0.563709,534486,,0.54
20171025,0.407793,0.620209,0.397488,0.439800,531759,,0.51
20171024,0.370649,0.432124,0.355902,0.407628,55715,,0.39
20171023,0.358753,0.385204,0.339778,0.371454,68593,,0.36
20171022,0.420851,0.424539,0.359209,0.359336,39177,,0.39
20171021,0.450368,0.450368,0.409119,0.420722,57466,,0.43
20171020,0.421553,0.454901,0.415670,0.451318,43649,,0.44
20171019,0.407917,0.428792,0.393164,0.421429,28008,,0.41
20171018,0.403233,0.415313,0.356845,0.407705,97293,,0.39
20171017,0.433630,0.434868,0.399933,0.403201,39015,,0.42
20171016,0.442843,0.457183,0.423906,0.433573,32818,,0.44
20171015,0.469123,0.475170,0.427916,0.442783,38001,,0.45
20171014,0.466771,0.478038,0.457685,0.468285,17068,,0.47
20171013,0.475494,0.504879,0.448526,0.466645,36696,,0.48
20171012,0.429483,0.494983,0.428053,0.460889,132245,,0.46
20171011,0.395716,0.439712,0.392571,0.429119,23064,,0.42
20171010,0.391533,0.408901,0.390733,0.395774,42029,,0.40
20171009,0.395788,0.400576,0.376122,0.391555,42865,,0.39
20171008,0.405947,0.498751,0.390845,0.391159,138558,,0.44
20171007,0.379086,0.407995,0.371353,0.407036,36886,,0.39
20171006,0.383608,0.391747,0.368112,0.378971,28265,,0.38
20171005,0.379334,0.388369,0.368103,0.383990,36720,,0.38
20171004,0.374962,0.396436,0.365235,0.379083,38468,,0.38
20171003,0.417864,0.430864,0.369203,0.374098,82220,,0.40
20171002,0.428705,0.446550,0.392352,0.417849,82077,,0.42
20171001,0.434880,0.441295,0.414196,0.421940,45111,,0.43
20170930,0.457612,0.474057,0.412255,0.434855,100450,,0.44
20170929,0.510732,0.520080,0.456105,0.459527,120456,,0.49
20170928,0.508584,0.592456,0.490138,0.520582,146661,,0.54
20170927,0.441227,0.510634,0.441227,0.508544,27252,,0.48
20170926,0.448410,0.486297,0.439300,0.442459,106366,,0.46
20170925,0.422019,0.454994,0.411151,0.448453,23072,,0.43
20170924,0.444679,0.444679,0.412774,0.422448,22387,,0.43
20170923,0.428016,0.448115,0.420312,0.444716,12575,,0.43
20170922,0.401920,0.449443,0.400590,0.423220,41147,,0.43
20170921,0.434832,0.479879,0.400217,0.402387,78028,,0.44
20170920,0.433091,0.512258,0.417067,0.434541,154843,,0.46
20170919,0.437080,0.446210,0.401141,0.433675,41465,,0.42
20170918,0.413568,0.455159,0.413568,0.429772,84036,,0.43
20170917,0.441565,0.441565,0.396361,0.414378,45855,,0.42
20170916,0.411597,0.459495,0.393360,0.441883,84964,,0.43
20170915,0.311992,0.451364,0.284533,0.412667,74084,,0.37
20170914,0.376870,0.392956,0.309621,0.309621,37362,,0.35
20170913,0.407111,0.408547,0.367629,0.376915,17234,,0.39
20170912,0.400300,0.426251,0.399277,0.408613,25925,,0.41
20170911,0.395134,0.419945,0.384624,0.399914,34762,,0.40
20170910,0.423552,0.423552,0.375364,0.393899,23481,,0.40
20170909,0.389025,0.435064,0.381114,0.424641,131220,,0.41
20170908,0.410648,0.418284,0.371643,0.388252,19642,,0.39
20170907,0.409854,0.415557,0.391361,0.410563,27995,,0.40
20170906,0.387039,0.428679,0.380565,0.410637,17424,,0.40
20170905,0.370192,0.399267,0.347603,0.386589,33782,,0.37
20170904,0.404068,0.404370,0.352772,0.368296,36777,,0.38
20170903,0.392347,0.412399,0.384468,0.403910,24701,,0.40
20170902,0.424516,0.431720,0.382459,0.392103,25006,,0.41
20170901,0.414496,0.424979,0.398821,0.423999,18451,,0.41
20170831,0.394219,0.434935,0.385896,0.414406,39137,,0.41
20170830,0.440800,0.448918,0.374204,0.394907,76956,,0.41
20170829,0.431656,0.460305,0.424667,0.441397,35416,,0.44
20170828,0.433503,0.440484,0.408999,0.433007,48398,,0.42
20170827,0.434454,0.444634,0.426038,0.433940,34698,,0.44
20170826,0.437611,0.454316,0.398780,0.428385,61303,,0.43
20170825,0.437381,0.449357,0.429942,0.437459,51162,,0.44
20170824,0.416367,0.441505,0.415890,0.438073,15323,,0.43
20170823,0.405841,0.432893,0.404441,0.416153,65646,,0.42
20170822,0.425294,0.425294,0.359788,0.406678,46765,,0.39
20170821,0.409634,0.461844,0.362194,0.424323,146942,,0.41
20170820,0.349202,0.491168,0.334568,0.399880,111026,,0.41
20170819,0.328889,0.377623,0.316235,0.350922,37005,,0.35
20170818,0.336463,0.358303,0.315942,0.329170,31596,,0.34
20170817,0.437934,0.438698,0.324828,0.337474,101368,,0.38
20170816,0.302231,0.435354,0.302231,0.435354,48024,,0.37
20170815,0.310953,0.324898,0.274945,0.301892,38542,,0.30
20170814,0.342553,0.346028,0.289648,0.310786,30277,,0.32
20170813,0.337839,0.365373,0.290852,0.335600,39599,,0.33
20170812,0.357129,0.369934,0.316428,0.333080,61560,,0.34
20170811,0.312562,0.374649,0.311177,0.357412,57554,,0.34
20170810,0.328357,0.340173,0.293117,0.312571,82366,,0.32
20170809,0.318217,0.336700,0.304031,0.319842,31136,,0.32
20170808,0.314763,0.342143,0.308435,0.318432,38630,,0.33
20170807,0.337729,0.367340,0.309659,0.315122,50204,,0.34
20170806,0.354960,0.358400,0.324689,0.338480,21268,,0.34
20170805,0.314207,0.368764,0.310969,0.354877,26835,,0.34
20170804,0.326286,0.328218,0.310819,0.314328,22431,,0.32
20170803,0.313829,0.328803,0.306152,0.326351,16055,,0.32
20170802,0.327933,0.349427,0.282626,0.313283,30019,,0.32
20170801,0.310745,0.360209,0.287550,0.327985,42869,,0.32
20170731,0.331234,0.336882,0.306421,0.310600,25089,,0.32
20170730,0.317361,0.331550,0.300598,0.330908,8605,,0.32
20170729,0.339359,0.340280,0.309112,0.315163,22744,,0.32
20170728,0.360586,0.362941,0.321386,0.340635,14005,,0.34
20170727,0.328870,0.362002,0.323470,0.359409,21755,,0.34
20170726,0.352390,0.359468,0.287121,0.345103,61391,,0.32
