date,open,high,low,close,volume,marketcap,average
20180110,0.000730,0.000743,0.000416,0.000600,2433,1722460,0.00
20180109,0.000753,0.000923,0.000432,0.000729,4640,1776170,0.00
20180108,0.000651,0.000946,0.000590,0.000755,7838,1536530,0.00
20180107,0.000516,0.000844,0.000498,0.000652,9997,1217330,0.00
20180106,0.000510,0.000863,0.000494,0.000516,7252,1201860,0.00
20180105,0.000607,0.000677,0.000449,0.000509,4050,1432380,0.00
20180104,0.000913,0.000914,0.000446,0.000607,5505,20969900,0.00
20180103,0.000593,0.000909,0.000587,0.000908,6393,13633100,0.00
20180102,0.000675,0.000962,0.000596,0.000596,5653,15506200,0.00
20180101,0.000979,0.001096,0.000652,0.000675,6863,22476700,0.00
20171231,0.001017,0.001186,0.000769,0.000975,10335,23356400,0.00
20171230,0.001450,0.001728,0.000814,0.001028,26775,33280500,0.00
20171229,0.000868,0.001910,0.000565,0.001453,52516,19926100,0.00
20171228,0.001862,0.002972,0.000695,0.000859,158767,42733100,0.00
20171227,0.001109,0.001867,0.000944,0.001555,180823,25439300,0.00
20171226,0.000277,0.001111,0.000277,0.001108,196886,6353570,0.00
20171225,0.000273,0.000420,0.000138,0.000277,26223,6266760,0.00
20171224,0.000145,0.000400,0.000126,0.000270,23212,3333500,0.00
20171223,0.000135,0.000157,0.000134,0.000144,175,3088640,0.00
20171222,0.000155,0.000157,0.000111,0.000133,1499,3556860,0.00
20171221,0.000165,0.000169,0.000147,0.000155,2507,3778810,0.00
20171220,0.000061,0.000169,0.000048,0.000164,101,1393710,0.00
20171219,0.000144,0.000145,0.000059,0.000061,40,3293510,0.00
20171218,0.000167,0.000193,0.000146,0.000147,41,3831780,0.00
20171217,0.000193,0.000197,0.000166,0.000167,109,4414810,0.00
20171216,0.000027,0.000194,0.000027,0.000193,3447,626458,0.00
20171215,0.000163,0.000235,0.000027,0.000027,4098,3733950,0.00
20171214,0.000028,0.000170,0.000028,0.000163,277,642285,0.00
20171213,0.000247,0.000261,0.000028,0.000028,2,5663410,0.00
20171212,0.000122,0.000260,0.000107,0.000246,270,2804260,0.00
20171211,0.000034,0.000129,0.000019,0.000122,25,766890,0.00
20171210,0.000065,0.000109,0.000033,0.000034,28,1478590,0.00
20171209,0.000120,0.000135,0.000056,0.000064,691,2749100,0.00
20171208,0.000027,0.000124,0.000025,0.000120,31,613506,0.00
20171207,0.000048,0.000048,0.000026,0.000027,560,1107590,0.00
20171206,0.000074,0.000114,0.000043,0.000049,6,1693230,0.00
20171205,0.000041,0.000113,0.000029,0.000074,36,926507,0.00
20171204,0.000044,0.000093,0.000033,0.000040,7,1001240,0.00
20171203,0.000086,0.000087,0.000042,0.000044,164,1969120,0.00
20171202,0.000071,0.000089,0.000050,0.000086,49,1624350,0.00
20171201,0.000040,0.000071,0.000010,0.000071,318,914645,0.00
20171130,0.000045,0.000047,0.000031,0.000040,76,1019000,0.00
20171129,0.000063,0.000064,0.000016,0.000044,15,1441930,0.00
20171128,0.000021,0.000063,0.000017,0.000062,136,476957,0.00
20171127,0.000075,0.000076,0.000021,0.000021,33,1711980,0.00
20171126,0.000090,0.000092,0.000067,0.000075,106,2058030,0.00
20171125,0.000056,0.000090,0.000056,0.000090,420,1275240,0.00
20171124,0.000070,0.000070,0.000048,0.000056,20,1607390,0.00
20171123,0.000082,0.000082,0.000070,0.000070,11,1861560,0.00
20171122,0.000017,0.000082,0.000017,0.000082,34,385598,0.00
20171121,0.000086,0.000089,0.000017,0.000017,0,1966110,0.00
20171120,0.000025,0.000090,0.000025,0.000086,323,568636,0.00
20171119,0.000211,0.000216,0.000014,0.000025,117,4821600,0.00
20171118,0.000049,0.000212,0.000013,0.000212,1915,1106310,0.00
20171117,0.000058,0.000059,0.000049,0.000049,11,1325200,0.00
20171116,0.000048,0.000077,0.000048,0.000058,23,1099970,0.00
20171115,0.000045,0.000049,0.000044,0.000048,250,1017630,0.00
20171114,0.000050,0.000062,0.000044,0.000045,55,1145880,0.00
20171113,0.000044,0.000051,0.000041,0.000050,147,1012660,0.00
20171112,0.000064,0.000064,0.000055,0.000062,6,1449180,0.00
20171111,0.000066,0.000068,0.000062,0.000064,6,1497620,0.00
20171110,0.000071,0.000073,0.000065,0.000066,198,1623550,0.00
20171109,0.000075,0.000075,0.000071,0.000071,3,1700380,0.00
20171108,0.000071,0.000078,0.000071,0.000075,10,1620130,0.00
20171107,0.000070,0.000072,0.000070,0.000071,1,1584100,0.00
20171106,0.000074,0.000074,0.000069,0.000070,4,1682710,0.00
20171105,0.000074,0.000076,0.000073,0.000074,1,1678670,0.00
20171104,0.000072,0.000075,0.000070,0.000074,8,1630650,0.00
20171103,0.000070,0.000075,0.000069,0.000072,1019,1597700,0.00
20171102,0.000067,0.000073,0.000067,0.000070,308,1530420,0.00
20171101,0.000129,0.000129,0.000064,0.000067,870,2930870,0.00
20171031,0.000061,0.000129,0.000061,0.000129,113,1393320,0.00
20171030,0.000062,0.000123,0.000060,0.000061,735,1399720,0.00
20171029,0.000115,0.000117,0.000058,0.000062,279,2603960,0.00
20171028,0.000058,0.000116,0.000057,0.000115,3588,1309850,0.00
20171027,0.000118,0.000120,0.000057,0.000057,31,2675340,0.00
