date,open,high,low,close,volume,marketcap,average
20180110,2.45,2.51,2.32,2.41,1267140,,2.42
20180109,2.53,2.57,2.44,2.46,996300,,2.50
20180108,2.50,2.58,2.33,2.53,1372480,,2.46
20180107,2.61,2.63,2.42,2.49,1539070,,2.52
20180106,2.46,2.80,2.31,2.63,1885510,,2.55
20180105,2.59,2.67,2.43,2.50,1263480,,2.55
20180104,2.54,2.92,2.53,2.60,2895320,,2.72
20180103,2.68,2.99,2.63,2.63,3057260,,2.81
20180102,2.53,2.76,2.47,2.66,1548200,,2.62
20180101,2.59,2.64,2.36,2.60,1576820,,2.50
20171231,2.09,2.61,2.00,2.57,3935610,,2.30
20171230,2.47,2.49,2.00,2.16,3219750,,2.25
20171229,2.63,2.65,2.46,2.52,1914560,,2.55
20171228,2.72,2.74,2.42,2.61,1972600,,2.58
20171227,2.78,3.07,2.53,2.68,3656750,,2.80
20171226,2.65,2.91,2.48,2.77,2902600,,2.70
20171225,2.65,2.81,2.54,2.66,2337460,,2.67
20171224,2.92,3.04,2.47,2.66,3628480,,2.75
20171223,2.96,3.21,2.66,2.91,3990830,,2.94
20171222,3.75,3.75,1.94,2.87,7195360,,2.84
20171221,3.89,4.04,3.57,3.75,6033080,,3.80
20171220,3.46,4.51,3.14,3.88,13360500,,3.83
20171219,3.62,3.62,3.41,3.43,4519870,,3.52
20171218,3.57,3.82,3.46,3.63,6890140,,3.64
20171217,3.31,3.70,3.11,3.55,6736800,,3.41
20171216,3.27,3.53,3.14,3.32,8444250,,3.33
20171215,2.71,3.38,2.64,3.26,10440500,,3.01
20171214,3.65,3.82,2.76,2.76,15098800,,3.29
