date,open,high,low,close,volume,marketcap,average
20180110,2.52,2.60,2.33,2.42,969041,,2.46
20180109,2.62,2.65,2.50,2.59,606332,,2.58
20180108,2.59,2.65,2.46,2.64,703286,,2.55
20180107,2.69,2.72,2.49,2.58,897931,,2.61
20180106,2.48,2.82,2.40,2.69,912833,,2.61
20180105,2.67,2.78,2.54,2.55,926722,,2.66
20180104,2.67,2.98,2.59,2.66,2009590,,2.79
20180103,2.75,3.11,2.68,2.68,1520130,,2.90
20180102,2.66,2.81,2.57,2.75,792005,,2.69
20180101,2.66,2.67,2.37,2.66,922429,,2.52
20171231,2.24,2.73,2.04,2.69,2218250,,2.38
20171230,2.52,2.56,2.05,2.24,1787490,,2.30
20171229,2.67,2.68,2.49,2.49,905883,,2.58
20171228,2.74,2.79,2.57,2.65,960314,,2.68
20171227,2.85,3.14,2.63,2.74,1769990,,2.88
20171226,2.72,2.97,2.58,2.83,1630990,,2.78
20171225,2.74,2.87,2.62,2.73,1419160,,2.75
20171224,2.93,3.05,2.53,2.74,1940160,,2.79
20171223,3.01,3.31,2.66,2.91,1870890,,2.99
20171222,3.75,3.75,1.98,2.91,4584970,,2.87
20171221,3.88,4.01,3.61,3.75,3026500,,3.81
20171220,3.68,4.30,3.29,3.88,7526310,,3.79
20171219,3.78,3.82,3.63,3.66,3237620,,3.72
20171218,3.80,4.08,3.59,3.87,5502940,,3.83
20171217,3.46,3.82,3.22,3.73,4087180,,3.52
20171216,3.36,3.73,3.27,3.45,4989480,,3.50
20171215,2.84,3.47,2.71,3.35,5085090,,3.09
20171214,3.68,3.93,2.67,2.80,7945730,,3.30
