date,open,high,low,close,volume,marketcap,average
20180110,0.370690,0.379017,0.239402,0.299578,76496,3336210,0.31
20180109,0.452556,0.599713,0.318360,0.381578,117343,4073010,0.46
20180108,0.549039,0.648702,0.350715,0.448283,144445,4941350,0.50
20180107,0.363608,1.08,0.266755,0.545189,482369,3272480,0.67
20180106,0.104593,0.971156,0.104039,0.401290,320142,941335,0.54
20180105,0.102363,0.114273,0.091607,0.104091,22208,921264,0.10
20180104,0.098135,0.113867,0.089868,0.108449,13137,883219,0.10
20180103,0.088606,0.103052,0.081705,0.097979,11016,797452,0.09
20180102,0.075291,0.097551,0.074342,0.088196,18522,677618,0.09
20180101,0.080467,0.089048,0.070302,0.075116,6791,724205,0.08
20171231,0.072262,0.095492,0.067322,0.080569,5012,650357,0.08
20171230,0.073318,0.107703,0.065822,0.072898,6904,659867,0.09
20171229,0.069215,0.116170,0.068209,0.073355,10875,622937,0.09
20171228,0.077425,0.078752,0.065345,0.068773,6671,696828,0.07
20171227,0.077371,0.077664,0.068659,0.077584,19148,696338,0.07
20171226,0.070407,0.091596,0.070407,0.077195,23263,633663,0.08
20171225,0.065891,0.098376,0.065870,0.070381,47103,593018,0.08
20171224,0.068440,0.069223,0.059017,0.065573,70759,615962,0.06
20171223,0.036979,0.082557,0.036979,0.068940,274489,332812,0.06
20171222,0.036413,0.048410,0.022196,0.036677,1643,327717,0.04
20171221,0.035030,0.037638,0.022375,0.036276,69,315272,0.03
20171220,0.035044,0.059136,0.031045,0.034994,4655,315396,0.05
20171219,0.040269,0.060314,0.032404,0.035082,1321,362417,0.05
20171218,0.035912,0.042963,0.035414,0.040390,988,323207,0.04
20171217,0.034734,0.043644,0.026549,0.035959,13178,312602,0.04
20171216,0.041145,0.043017,0.021157,0.034637,1176,370303,0.03
20171215,0.041387,0.048113,0.038105,0.041068,7091,372482,0.04
20171214,0.035182,0.044509,0.033002,0.041348,3016,316637,0.04
20171213,0.041980,0.046967,0.025737,0.035202,8604,377820,0.04
20171212,0.036460,0.046252,0.030648,0.041950,5857,328142,0.04
20171211,0.038658,0.041899,0.026878,0.036671,3865,347925,0.03
20171210,0.030858,0.039280,0.024829,0.038617,4832,277723,0.03
20171209,0.029768,0.035359,0.024827,0.030759,5912,267914,0.03
20171208,0.021127,0.039306,0.019817,0.029769,11348,190146,0.03
20171207,0.012280,0.034071,0.011847,0.021097,6313,110521,0.02
20171206,0.015223,0.015316,0.012074,0.012323,1327,137003,0.01
20171205,0.013440,0.015483,0.013086,0.015250,647,120962,0.01
20171204,0.011613,0.013463,0.011488,0.013433,865,104518,0.01
20171203,0.013403,0.016546,0.009736,0.011966,228,120630,0.01
20171202,0.009206,0.013578,0.007792,0.013398,1033,82852,0.01
20171201,0.005550,0.012147,0.004979,0.009206,1350,49954,0.01
20171130,0.011705,0.012365,0.004480,0.005574,396,105348,0.01
20171129,0.010080,0.014063,0.005751,0.011557,1204,90723,0.01
20171128,0.010584,0.015817,0.010066,0.010074,976,95254,0.01
20171127,0.019652,0.019820,0.010586,0.010598,2847,176872,0.02
20171126,0.016046,0.026708,0.014902,0.019657,5066,144411,0.02
20171125,0.008335,0.027097,0.007794,0.016045,8017,75018,0.02
20171124,0.007392,0.010617,0.007308,0.008340,568,66525,0.01
20171123,0.011243,0.013217,0.006884,0.007423,3147,101189,0.01
20171122,0.014042,0.024719,0.009819,0.011222,5178,126378,0.02
20171121,0.031019,0.032668,0.009877,0.014031,35076,279171,0.02
20171120,0.114662,0.215269,0.029418,0.031023,868719,1031960,0.12
20171119,0.629140,0.687505,0.100952,0.110310,485157,5662260,0.39
20171118,0.681896,0.732167,0.438352,0.630252,646708,6137070,0.59
20171117,0.843818,0.901949,0.632784,0.690311,463407,7594360,0.77
20171116,0.925289,0.999991,0.774153,0.842215,731608,8327600,0.89
20171115,1.13,1.14,0.801654,0.923971,943185,10131700,0.97
20171114,1.19,1.20,1.01,1.13,707531,10698600,1.10
20171113,0.871602,1.19,0.871602,1.17,1413710,7844420,1.03
20171112,0.874018,1.07,0.678960,0.862476,939410,7866160,0.87
20171111,0.570845,0.898266,0.566552,0.858975,1178360,5137600,0.73
20171110,0.570235,0.652147,0.539303,0.572322,763135,5132110,0.60
20171109,0.662598,0.669216,0.532798,0.569631,829241,5963380,0.60
20171108,0.369627,0.725571,0.368151,0.660263,2174500,,0.55
20171107,0.335143,0.369888,0.334397,0.369888,729959,,0.35
