date,open,high,low,close,volume,marketcap,average
20180110,0.457850,0.654153,0.441097,0.628582,24368,,0.55
20180109,0.470621,0.482139,0.413480,0.457250,10989,,0.45
20180108,0.486594,0.515013,0.410343,0.471907,8904,,0.46
20180107,0.499218,0.542982,0.449766,0.487276,2161,,0.50
20180106,0.510394,0.548739,0.454260,0.499585,1641,,0.50
20180105,0.524234,0.540210,0.434626,0.510009,18852,,0.49
20180104,0.563925,0.579417,0.456142,0.523926,4101,,0.52
20180103,0.555686,0.612139,0.534160,0.561095,4747,,0.57
20180102,0.543279,0.595788,0.521012,0.557249,1647,,0.56
20180101,0.563187,0.563187,0.520196,0.543470,731,,0.54
20171231,0.510655,0.600365,0.504236,0.563028,11583,,0.55
20171230,0.579105,1.62,0.480349,0.515234,5078,,1.05
20171229,0.579619,0.600940,0.507861,0.580566,3942,,0.55
20171228,0.666327,0.874145,0.506056,0.557118,2660,,0.69
20171227,0.658200,0.688385,0.609041,0.667622,7051,,0.65
20171226,0.576126,0.669552,0.457309,0.657719,8530,,0.56
20171225,0.582878,0.594650,0.549743,0.576712,3753,,0.57
20171224,0.584256,0.584450,0.488989,0.577058,4042,,0.54
20171223,0.545111,0.621618,0.537450,0.577876,4925,,0.58
20171222,0.614222,0.620273,0.404382,0.540011,9298,,0.51
20171221,0.576929,0.697233,0.530469,0.612101,5560,,0.61
20171220,0.681851,0.715210,0.490269,0.575423,4815,,0.60
20171219,0.650002,0.714517,0.564374,0.682523,8506,,0.64
20171218,0.627144,0.663281,0.591598,0.649337,5190,,0.63
20171217,0.747905,0.747905,0.566053,0.625250,3385,,0.66
20171216,0.720390,0.768147,0.578009,0.747808,5531,,0.67
20171215,0.691870,0.750284,0.536495,0.719381,16170,,0.64
20171214,0.682952,0.707391,0.642107,0.690832,6442,,0.67
20171213,0.721415,0.731029,0.638511,0.685144,2237,,0.68
20171212,0.673564,0.819202,0.657848,0.720805,7075,,0.74
20171211,0.834553,0.926027,0.640406,0.671408,23172,,0.78
20171210,0.793145,0.875960,0.576449,0.840627,5825,,0.73
20171209,0.764223,0.812151,0.594596,0.789961,6830,,0.70
20171208,0.776103,0.816228,0.591558,0.764991,8850,,0.70
20171207,0.844462,1.09,0.671010,0.774289,24056,,0.88
20171206,0.806918,0.862232,0.620237,0.845913,15650,,0.74
20171205,0.820248,0.852631,0.692798,0.808724,4871,,0.77
20171204,0.819314,0.866875,0.564596,0.709830,18502,,0.72
20171203,0.847206,0.931991,0.697267,0.816595,32004,,0.81
20171202,0.943956,0.970604,0.817920,0.846397,11296,,0.89
20171201,0.881921,0.950492,0.772086,0.944759,1502,,0.86
20171130,0.825600,0.904102,0.690025,0.886308,7351,,0.80
20171129,0.910331,0.975982,0.656074,0.813112,28882,,0.82
20171128,0.897494,0.932556,0.842646,0.911217,31618,,0.89
20171127,0.919378,1.02,0.774716,0.909771,72017,,0.90
20171126,1.00,1.03,0.907661,0.919207,19914,,0.97
20171125,0.927727,1.02,0.897144,1.00,32854,,0.96
20171124,0.941459,1.01,0.922411,0.929605,25712,,0.97
20171123,0.929460,1.01,0.919443,0.942748,6380,,0.96
