date,open,high,low,close,volume,marketcap,average
20180110,0.027663,0.029218,0.016882,0.021157,10951,567655,0.02
20180109,0.019422,0.028924,0.016170,0.027645,17801,398557,0.02
20180108,0.016152,0.024254,0.013894,0.023868,17265,331443,0.02
20180107,0.013209,0.016399,0.012093,0.016174,5561,271060,0.01
20180106,0.012320,0.014482,0.011693,0.013219,2102,252824,0.01
20180105,0.011094,0.012415,0.010373,0.012311,1552,227647,0.01
20180104,0.009065,0.011742,0.008957,0.011091,2970,186023,0.01
20180103,0.009238,0.009955,0.008542,0.009016,352,189562,0.01
20180102,0.007954,0.009676,0.007177,0.009271,757,163224,0.01
20180101,0.008067,0.008785,0.007564,0.007955,460,165534,0.01
20171231,0.006757,0.009493,0.006633,0.008036,784,138659,0.01
20171230,0.008115,0.008237,0.004041,0.006831,1799,166527,0.01
20171229,0.009983,0.010349,0.006827,0.008136,1422,204848,0.01
20171228,0.010350,0.010384,0.007167,0.009880,531,212386,0.01
20171227,0.007919,0.013013,0.007612,0.010372,2242,162492,0.01
20171226,0.007970,0.008426,0.007466,0.007913,124,163549,0.01
20171225,0.008030,0.008378,0.007512,0.007978,98,164770,0.01
20171224,0.009494,0.009494,0.006737,0.007947,191,194825,0.01
20171223,0.007452,0.010089,0.007359,0.009390,6,152914,0.01
20171222,0.007863,0.008012,0.005145,0.007382,68,161345,0.01
20171221,0.009743,0.010131,0.005112,0.007835,1100,199922,0.01
20171220,0.013106,0.013227,0.007366,0.009717,109,268941,0.01
20171219,0.014011,0.014212,0.010329,0.013119,296,287520,0.01
20171218,0.011479,0.015620,0.009576,0.013999,1725,235558,0.01
20171217,0.013439,0.013439,0.008721,0.011444,62,275774,0.01
20171216,0.012176,0.013543,0.009304,0.013437,409,249864,0.01
20171215,0.011446,0.012471,0.011443,0.012159,259,234867,0.01
20171214,0.011251,0.011991,0.010627,0.011428,427,230877,0.01
20171213,0.011693,0.011848,0.008067,0.011288,1310,239947,0.01
20171212,0.011452,0.012875,0.008053,0.011683,328,234992,0.01
20171211,0.008314,0.011759,0.008111,0.011415,454,170615,0.01
20171210,0.007055,0.012952,0.006212,0.008375,496,144774,0.01
20171209,0.008516,0.011579,0.006429,0.007027,376,174752,0.01
20171208,0.006922,0.016024,0.006869,0.008525,5494,142046,0.01
20171207,0.005766,0.006906,0.005560,0.006906,257,118327,0.01
20171206,0.006552,0.007348,0.006552,0.007302,390,134459,0.01
20171205,0.004896,0.006614,0.004641,0.006567,394,100461,0.01
20171204,0.005054,0.005184,0.003964,0.004886,311,103714,0.00
20171203,0.005133,0.006332,0.004430,0.005037,157,105322,0.01
20171202,0.005332,0.005427,0.002719,0.005128,1075,109406,0.00
20171201,0.004319,0.006297,0.004087,0.005336,1145,88623,0.01
20171130,0.003760,0.005948,0.003642,0.004340,686,77164,0.00
20171129,0.004832,0.005472,0.003477,0.003703,81,99146,0.00
20171128,0.004628,0.004997,0.004515,0.004836,291,94963,0.00
20171127,0.004329,0.004624,0.003122,0.004616,39,88833,0.00
20171126,0.003286,0.004328,0.003164,0.004328,609,67435,0.00
20171125,0.003825,0.003831,0.002475,0.003287,477,78491,0.00
20171124,0.002708,0.004507,0.002212,0.003833,1255,55570,0.00
20171123,0.002760,0.002773,0.002431,0.002712,9,56629,0.00
20171122,0.002759,0.002919,0.002574,0.002760,8,56612,0.00
20171121,0.003437,0.003444,0.002656,0.002752,25,70521,0.00
20171120,0.002346,0.004709,0.002319,0.003436,58,48146,0.00
20171119,0.002867,0.002882,0.001892,0.002347,488,58835,0.00
20171118,0.002422,0.002878,0.002067,0.002872,119,49701,0.00
20171117,0.003062,0.003134,0.001868,0.002431,691,62842,0.00
20171116,0.002335,0.003082,0.002283,0.003067,35,47919,0.00
20171115,0.002258,0.003001,0.002195,0.002323,45,46339,0.00
20171114,0.002157,0.002754,0.002076,0.002257,65,44261,0.00
20171113,0.002388,0.002867,0.002132,0.002152,739,49007,0.00
20171112,0.002230,0.002517,0.001407,0.002385,126,45770,0.00
20171111,0.002227,0.002869,0.002131,0.002190,5,45705,0.00
20171110,0.002161,0.003570,0.002161,0.002249,21,44338,0.00
20171109,0.002319,0.002381,0.001648,0.002154,30,47585,0.00
20171108,0.002419,0.002514,0.002224,0.002321,18,49649,0.00
20171107,0.002366,0.002453,0.002366,0.002427,17,48553,0.00
20171106,0.002560,0.002560,0.002311,0.002370,9,52527,0.00
20171105,0.002667,0.002881,0.002394,0.002554,104,54729,0.00
20171104,0.002508,0.002799,0.002451,0.002672,23,51474,0.00
20171103,0.002368,0.002536,0.002306,0.002515,3,48591,0.00
20171102,0.002195,0.005288,0.002195,0.002371,78,45039,0.00
20171101,0.002201,0.002559,0.002129,0.002192,6,45165,0.00
20171031,0.001929,0.002242,0.001881,0.002203,46,39588,0.00
20171030,0.002042,0.002384,0.001777,0.001936,18,41900,0.00
20171029,0.002062,0.002339,0.002041,0.002054,3,42314,0.00
20171028,0.002199,0.002230,0.002009,0.002065,1,45133,0.00
