date,open,high,low,close,volume,marketcap,average
20180110,0.001749,0.002059,0.001352,0.001629,74184,63663,0.00
20180109,0.001797,0.002412,0.001513,0.001747,183085,65396,0.00
20180108,0.000679,0.004087,0.000491,0.001943,705159,24702,0.00
20180107,0.000579,0.000712,0.000494,0.000680,7183,21078,0.00
20180106,0.000517,0.000691,0.000504,0.000580,5108,18797,0.00
20180105,0.000759,0.000852,0.000516,0.000516,12872,27623,0.00
20180104,0.000671,0.000846,0.000508,0.000759,5461,24416,0.00
20180103,0.000742,0.000876,0.000505,0.000667,1754,26994,0.00
20180102,0.000675,0.000832,0.000470,0.000744,3144,24566,0.00
20180101,0.000490,0.000687,0.000467,0.000675,1832,17827,0.00
20171231,0.000533,0.000655,0.000488,0.000488,1167,19381,0.00
20171230,0.000671,0.000698,0.000498,0.000538,1246,24425,0.00
20171229,0.000609,0.000797,0.000463,0.000673,2990,22155,0.00
20171228,0.000475,0.000722,0.000464,0.000603,2510,17275,0.00
20171227,0.000497,0.000680,0.000453,0.000476,1461,18074,0.00
20171226,0.000557,0.000773,0.000478,0.000496,2517,20276,0.00
20171225,0.000564,0.000713,0.000399,0.000558,1406,20525,0.00
20171224,0.000697,0.000697,0.000510,0.000558,2343,25349,0.00
20171223,0.000552,0.000778,0.000548,0.000689,169,20073,0.00
20171222,0.000786,0.000793,0.000418,0.000546,3287,28590,0.00
20171221,0.000666,0.000837,0.000484,0.000783,2866,24218,0.00
20171220,0.000842,0.000842,0.000491,0.000664,3843,30650,0.00
20171219,0.000957,0.000960,0.000565,0.000882,7844,34814,0.00
20171218,0.000847,0.000955,0.000584,0.000955,17184,30816,0.00
20171217,0.000779,0.000998,0.000764,0.000844,586,28351,0.00
20171216,0.000859,0.001078,0.000739,0.000779,2963,31250,0.00
20171215,0.000704,0.001046,0.000689,0.000858,716,25621,0.00
20171214,0.000819,0.000879,0.000701,0.000703,1630,29796,0.00
20171213,0.001020,0.001307,0.000780,0.000821,10715,37118,0.00
20171212,0.000664,0.001322,0.000497,0.001019,14162,24173,0.00
20171211,0.000489,0.000714,0.000486,0.000662,1973,17781,0.00
20171210,0.000455,0.000505,0.000401,0.000492,4031,16567,0.00
20171209,0.000809,0.000821,0.000439,0.000453,2353,29458,0.00
20171208,0.000697,0.000844,0.000428,0.000810,3401,25366,0.00
20171207,0.000693,0.000842,0.000547,0.000695,2647,25228,0.00
20171206,0.000724,0.000796,0.000512,0.000694,2554,26358,0.00
20171205,0.000715,0.000844,0.000696,0.000726,4120,26016,0.00
20171204,0.000731,0.000987,0.000704,0.000713,529,26612,0.00
20171203,0.000805,0.000859,0.000688,0.000729,1752,29291,0.00
20171202,0.000655,0.000856,0.000648,0.000804,225,23834,0.00
20171201,0.000705,0.000802,0.000582,0.000656,9424,25670,0.00
20171130,0.000789,0.000841,0.000579,0.000709,683,28708,0.00
20171129,0.000860,0.000938,0.000654,0.000777,2051,31284,0.00
20171128,0.000846,0.000935,0.000748,0.000861,530,30771,0.00
20171127,0.000662,0.000852,0.000662,0.000843,1644,24082,0.00
20171126,0.000797,0.000936,0.000641,0.000750,1752,29007,0.00
20171125,0.000657,0.000918,0.000575,0.000797,5286,23910,0.00
20171124,0.000966,0.000971,0.000653,0.000658,6849,35164,0.00
20171123,0.000822,0.000990,0.000815,0.000968,579,29914,0.00
20171122,0.000812,0.001307,0.000738,0.000822,8648,29541,0.00
20171121,0.000659,0.001349,0.000658,0.000810,10678,23993,0.00
20171120,0.000644,0.000804,0.000562,0.000659,2027,23453,0.00
20171119,0.000633,0.000854,0.000617,0.000645,4762,23028,0.00
20171118,0.000889,0.000889,0.000595,0.000634,2966,32369,0.00
20171117,0.000706,0.000901,0.000706,0.000893,579,25693,0.00
20171116,0.000737,0.000923,0.000700,0.000707,868,26824,0.00
20171115,0.000698,0.000877,0.000698,0.000733,74,25396,0.00
20171114,0.000870,0.000912,0.000692,0.000697,2228,31668,0.00
20171113,0.000733,0.000888,0.000708,0.000868,1299,26659,0.00
20171112,0.000814,0.000929,0.000706,0.000732,1142,29615,0.00
20171111,0.000894,0.000922,0.000802,0.000814,122,32529,0.00
20171110,0.000806,0.001068,0.000806,0.000897,380,29317,0.00
20171109,0.001004,0.001045,0.000801,0.000803,1066,36529,0.00
20171108,0.001057,0.001151,0.000938,0.001005,224,38481,0.00
20171107,0.001016,0.001165,0.000883,0.001061,168,36957,0.00
20171106,0.000904,0.001130,0.000831,0.001017,2617,32884,0.00
20171105,0.001047,0.001050,0.000584,0.000902,1850,38114,0.00
20171104,0.001204,0.001405,0.000942,0.001049,1983,43828,0.00
20171103,0.001122,0.001583,0.000932,0.001208,5095,40827,0.00
20171102,0.000870,0.001431,0.000775,0.001123,6013,31678,0.00
20171101,0.000517,0.001272,0.000511,0.000870,5812,18796,0.00
20171031,0.000552,0.000616,0.000493,0.000517,314,20070,0.00
20171030,0.000616,0.000678,0.000547,0.000553,612,22406,0.00
20171029,0.000594,0.000649,0.000461,0.000619,2025,21624,0.00
20171028,0.000587,0.000677,0.000511,0.000595,384,21379,0.00
20171027,0.000693,0.000737,0.000581,0.000586,430,25228,0.00
20171026,0.000517,0.000698,0.000514,0.000693,505,18802,0.00
20171025,0.000576,0.000624,0.000494,0.000517,173,20973,0.00
20171024,0.000658,0.000663,0.000564,0.000576,1104,23953,0.00
20171023,0.000601,0.000710,0.000419,0.000660,1696,21865,0.00
20171022,0.000662,0.000714,0.000579,0.000602,95,24079,0.00
20171021,0.000767,0.000834,0.000539,0.000661,3340,27923,0.00
20171020,0.000913,0.000960,0.000677,0.000769,904,33215,0.00
20171019,0.000781,0.000918,0.000774,0.000912,69,28420,0.00
20171018,0.000672,0.000893,0.000581,0.000781,991,24458,0.00
20171017,0.000751,0.000958,0.000668,0.000672,91,27340,0.00
20171016,0.000854,0.000868,0.000735,0.000751,820,31070,0.00
20171015,0.000893,0.000896,0.000765,0.000854,270,32500,0.00
20171014,0.001017,0.001031,0.000876,0.000891,169,37017,0.00
20171013,0.001032,0.001172,0.000721,0.001017,2612,37554,0.00
20171012,0.000876,0.001194,0.000849,0.001029,3344,31893,0.00
20171011,0.000782,0.000893,0.000726,0.000876,1008,28450,0.00
20171010,0.000735,0.000932,0.000673,0.000782,1218,26746,0.00
20171009,0.000927,0.000927,0.000421,0.000735,4862,33728,0.00
20171008,0.000910,0.001028,0.000822,0.000927,1256,33114,0.00
20171007,0.000839,0.000958,0.000809,0.000912,3479,30522,0.00
20171006,0.001038,0.001050,0.000808,0.000838,1029,37762,0.00
20171005,0.001013,0.001048,0.000921,0.001038,1504,36869,0.00
20171004,0.001122,0.001182,0.000924,0.001012,2019,40817,0.00
20171003,0.001144,0.001151,0.001067,0.001119,530,41619,0.00
20171002,0.001142,0.001236,0.001016,0.001144,1971,41575,0.00
20171001,0.001172,0.001241,0.001067,0.001143,1959,42658,0.00
