date,open,high,low,close,volume,marketcap,average
20180110,4.34,4.37,3.84,4.32,243036,72553800,4.11
20180109,4.68,5.59,4.27,4.35,1794990,78165200,4.93
20180108,4.25,4.71,3.88,4.70,558548,70949100,4.29
20180107,3.97,4.36,3.92,4.26,250450,66183900,4.14
20180106,3.64,4.15,3.49,3.97,183965,60569200,3.82
20180105,3.78,4.19,3.21,3.63,767139,62931500,3.70
20180104,3.74,3.98,3.47,3.76,637444,62179200,3.73
20180103,3.35,4.34,3.03,3.74,1635200,55727600,3.68
20180102,2.77,3.73,2.67,3.32,667201,46028300,3.20
20180101,2.90,2.91,2.60,2.77,287172,48101900,2.75
20171231,2.60,2.98,2.60,2.89,193140,43155400,2.79
20171230,3.09,3.11,2.51,2.63,232790,51150800,2.81
20171229,2.96,3.32,2.83,3.13,391480,48925300,3.08
20171228,3.17,3.18,2.78,2.93,374179,52558200,2.98
20171227,3.37,3.43,3.01,3.18,406851,55864500,3.22
20171226,3.22,3.70,3.07,3.25,619208,53289200,3.38
20171225,2.90,3.39,2.62,3.23,511798,47907600,3.00
20171224,3.08,3.08,2.42,2.85,223688,50785300,2.75
20171223,2.72,3.25,2.72,3.05,253545,44927600,2.99
20171222,3.31,3.42,2.19,2.70,360560,54501200,2.80
20171221,3.31,3.73,3.00,3.40,858230,54509500,3.37
20171220,3.42,3.62,3.04,3.30,534698,56365600,3.33
20171219,3.54,3.73,3.13,3.44,784184,58243900,3.43
20171218,3.02,3.96,2.93,3.54,1316960,49573200,3.45
20171217,2.88,3.21,2.83,2.95,292693,47314700,3.02
20171216,2.64,2.97,2.59,2.88,322016,43275000,2.78
20171215,2.40,2.67,2.33,2.60,343320,39404400,2.50
20171214,2.06,2.50,2.04,2.35,718255,33832200,2.27
20171213,2.15,2.21,2.03,2.07,256901,35259200,2.12
20171212,2.01,2.26,1.97,2.15,193784,32905200,2.11
20171211,1.82,2.17,1.82,2.00,217228,29829200,2.00
20171210,1.74,1.95,1.50,1.84,206059,28484600,1.73
20171209,1.92,1.96,1.52,1.74,121352,31271600,1.74
20171208,1.87,2.05,1.57,1.80,172850,30535300,1.81
20171207,1.72,1.87,1.52,1.87,194838,27974600,1.70
20171206,1.72,1.83,1.61,1.72,227031,28032000,1.72
20171205,1.54,1.77,1.47,1.75,352624,25070100,1.62
20171204,1.46,1.61,1.43,1.54,324419,23741600,1.52
20171203,1.41,1.60,1.34,1.46,94251,22973300,1.47
20171202,1.45,1.55,1.39,1.41,95741,23595100,1.47
20171201,1.32,1.51,1.23,1.47,72257,21463900,1.37
20171130,1.29,1.41,1.14,1.33,108075,20887600,1.27
20171129,1.38,1.59,1.21,1.30,220481,22401800,1.40
20171128,1.61,1.63,1.24,1.39,781492,26114900,1.44
20171127,1.64,1.78,1.50,1.61,306636,26597400,1.64
20171126,1.62,1.79,1.60,1.64,157656,26245200,1.70
20171125,1.65,1.88,1.59,1.61,359230,26604100,1.73
20171124,1.33,1.66,1.31,1.60,236033,21462200,1.48
20171123,1.34,1.43,1.29,1.33,91859,21634900,1.36
20171122,1.31,1.36,1.30,1.34,74239,21064200,1.33
20171121,1.23,1.38,1.21,1.30,162758,19824500,1.29
20171120,1.29,1.29,1.22,1.23,57860,20760400,1.25
