date,open,high,low,close,volume,marketcap,average
20180110,0.008849,0.011166,0.006422,0.008229,357833,3597600,0.01
20180109,0.006214,0.012006,0.005721,0.008587,627456,2526300,0.01
20180108,0.005515,0.006850,0.004517,0.006231,304942,2242170,0.01
20180107,0.003611,0.006886,0.003601,0.005523,309392,1467970,0.01
20180106,0.003610,0.004100,0.003016,0.003777,188778,1467740,0.00
20180105,0.001661,0.004591,0.001540,0.003608,273290,675327,0.00
20180104,0.001817,0.001866,0.001464,0.001663,17227,738547,0.00
20180103,0.001772,0.001956,0.001519,0.001807,20766,720480,0.00
20180102,0.001340,0.001923,0.001260,0.001778,43309,544777,0.00
20180101,0.001313,0.001522,0.001192,0.001340,9166,533914,0.00
20171231,0.001288,0.001463,0.001191,0.001310,7359,523635,0.00
20171230,0.001594,0.001699,0.001053,0.001301,16122,647990,0.00
20171229,0.001478,0.001746,0.001150,0.001598,16370,600894,0.00
20171228,0.001550,0.001691,0.001227,0.001463,20108,630279,0.00
20171227,0.001804,0.002359,0.001526,0.001553,42038,733394,0.00
20171226,0.001452,0.002002,0.001247,0.001785,30156,590427,0.00
20171225,0.002293,0.002335,0.001370,0.001454,27244,932432,0.00
20171224,0.002856,0.002946,0.001683,0.002270,154747,1161190,0.00
20171223,0.001174,0.003140,0.001078,0.002927,545915,477383,0.00
20171222,0.000640,0.001340,0.000601,0.001163,79673,260333,0.00
20171221,0.000501,0.000731,0.000501,0.000639,7299,203871,0.00
20171220,0.000674,0.000706,0.000469,0.000500,4530,273944,0.00
20171219,0.000339,0.000983,0.000307,0.000674,20804,137821,0.00
20171218,0.000440,0.000532,0.000277,0.000338,551,178866,0.00
20171217,0.000449,0.000590,0.000430,0.000440,709,182502,0.00
20171216,0.000379,0.000559,0.000374,0.000444,251,153937,0.00
20171215,0.000450,0.000544,0.000372,0.000378,784,183025,0.00
20171214,0.000453,0.000516,0.000350,0.000450,584,184155,0.00
20171213,0.000501,0.000521,0.000451,0.000454,2182,203889,0.00
20171212,0.000337,0.000523,0.000331,0.000501,330,136911,0.00
20171211,0.000377,0.000426,0.000328,0.000336,739,153099,0.00
20171210,0.000313,0.000461,0.000271,0.000379,741,127162,0.00
20171209,0.000326,0.000330,0.000168,0.000312,2073,132373,0.00
20171208,0.000347,0.000352,0.000282,0.000326,2648,141120,0.00
20171207,0.000348,0.000485,0.000325,0.000346,1460,141321,0.00
20171206,0.000331,0.000349,0.000248,0.000348,4258,134377,0.00
20171205,0.000399,0.000462,0.000309,0.000331,2812,162349,0.00
20171204,0.000337,0.000399,0.000285,0.000399,1025,137206,0.00
20171203,0.000370,0.000396,0.000252,0.000336,1595,150440,0.00
20171202,0.000356,0.000415,0.000320,0.000369,385,144584,0.00
20171201,0.000313,0.000460,0.000186,0.000356,1343,127283,0.00
