date,open,high,low,close,volume,marketcap,average
20180110,2.89,2.99,2.40,2.68,120196,23421200,2.70
20180109,2.55,3.08,2.51,2.89,205055,20668300,2.79
20180108,1.84,2.59,1.84,2.56,267748,14901800,2.21
20180107,1.45,1.96,1.36,1.84,229786,11697800,1.66
20180106,1.24,1.45,1.22,1.45,76682,10032300,1.33
20180105,1.11,1.29,0.976071,1.24,99080,8974350,1.13
20180104,0.935256,1.15,0.878289,1.11,34440,7569960,1.01
20180103,1.07,1.14,0.898819,0.942870,27512,8681800,1.02
20180102,0.740953,1.52,0.723138,1.07,48571,5997270,1.12
20180101,0.801325,0.834694,0.709001,0.740937,31243,6485920,0.77
20171231,0.637019,0.837902,0.628486,0.805094,36981,5156040,0.73
20171230,0.743759,0.776039,0.658906,0.658906,39844,6019990,0.72
20171229,0.739959,0.886941,0.680772,0.744586,41816,5989230,0.78
20171228,0.790796,0.887258,0.693548,0.733398,18192,6400700,0.79
20171227,0.855496,1.29,0.800088,0.800088,67594,6924390,1.05
20171226,0.855779,1.07,0.829320,0.852414,61468,6926670,0.95
20171225,0.878129,0.972107,0.720414,0.856030,25133,7107580,0.85
20171224,0.868297,0.892927,0.665687,0.850270,22740,7028000,0.78
20171223,0.806784,1.02,0.770076,0.858631,45214,6530110,0.90
20171222,1.03,1.04,0.746510,0.807240,65683,8342290,0.89
20171221,1.01,1.28,0.996752,1.03,55211,8197770,1.14
20171220,0.936909,1.07,0.784536,1.01,67182,7583340,0.93
20171219,1.13,1.18,0.820801,0.937802,78090,9132280,1.00
20171218,1.23,1.66,0.993159,1.13,205680,9989040,1.33
20171217,0.577182,1.44,0.514069,1.26,185949,4671710,0.98
20171216,0.598923,0.642558,0.502235,0.575495,25735,4847690,0.57
20171215,0.573831,0.598007,0.509367,0.598007,25201,4644590,0.55
20171214,0.515542,0.584223,0.497861,0.542079,35345,4172800,0.54
20171213,0.616456,0.658602,0.480652,0.516354,20569,4989600,0.57
20171212,0.567439,0.636614,0.524108,0.615947,35149,4592850,0.58
20171211,0.599549,0.687848,0.472328,0.568390,35421,4852760,0.58
20171210,0.633899,0.688698,0.492657,0.602887,15473,5130780,0.59
20171209,0.805354,0.845570,0.462114,0.631489,17623,6518530,0.65
20171208,0.710879,0.871683,0.602336,0.806574,27942,5753850,0.74
20171207,0.762967,0.849479,0.467443,0.692302,31632,6175450,0.66
20171206,0.777864,0.830014,0.708386,0.764421,26351,6296040,0.77
20171205,0.803070,0.936828,0.695344,0.779587,20629,6500050,0.82
20171204,0.830963,0.849301,0.749162,0.801942,28608,6725820,0.80
20171203,0.818736,0.868812,0.750973,0.838644,38653,6626860,0.81
20171202,0.861645,0.932537,0.767372,0.884082,47505,6974160,0.85
20171201,0.891295,0.948699,0.781694,0.860250,24414,7214150,0.87
20171130,0.901857,0.978569,0.782735,0.894192,54257,7299640,0.88
20171129,0.871634,1.17,0.831554,0.888750,94451,7055000,1.00
20171128,0.812032,1.07,0.754705,0.871469,114505,6572590,0.91
20171127,0.716109,0.958004,0.716109,0.811670,44106,5796190,0.84
20171126,0.741041,0.764093,0.659471,0.715992,24730,5997990,0.71
20171125,0.753773,0.839304,0.662291,0.743019,51097,6101040,0.75
20171124,0.713052,0.950701,0.567833,0.754155,83978,5771440,0.76
20171123,0.763347,0.772426,0.623410,0.715587,44427,6178530,0.70
20171122,0.793518,0.822834,0.745952,0.772287,81754,6422740,0.78
20171121,0.945738,0.959313,0.757506,0.792260,50488,7654810,0.86
20171120,0.875668,0.983683,0.797043,0.946978,119850,7087660,0.89
20171119,0.761717,0.909559,0.736543,0.875679,64515,6165340,0.82
20171118,0.694801,0.872881,0.635725,0.763578,55571,5623720,0.75
20171117,0.644667,0.835082,0.623206,0.702377,41936,5217940,0.73
20171116,0.701864,0.768825,0.571133,0.645060,47803,5680890,0.67
20171115,0.768392,0.793565,0.645585,0.701411,43449,6219370,0.72
20171114,0.790266,0.832633,0.679380,0.823237,52831,6396410,0.76
20171113,0.749210,0.974784,0.749210,0.791390,59559,6064100,0.86
20171112,0.856099,0.921947,0.730712,0.748805,120922,6929270,0.83
20171111,0.997061,1.14,0.806018,0.856210,132922,,0.97
20171110,1.52,1.71,0.965478,1.01,422795,,1.34
20171109,1.30,1.58,1.30,1.46,199375,,1.44
