date,open,high,low,close,volume,marketcap,average
20180110,0.251296,0.257693,0.200469,0.210136,55184500,258631000,0.23
20180109,0.230420,0.288857,0.230420,0.249264,106775000,237146000,0.26
20180108,0.232708,0.239943,0.169339,0.230949,66688700,239501000,0.20
20180107,0.182177,0.256540,0.182177,0.231282,97849900,187495000,0.22
20180106,0.166266,0.190787,0.165783,0.183012,52641200,171119000,0.18
20180105,0.197908,0.208720,0.155591,0.165527,51203300,203685000,0.18
20180104,0.155405,0.208451,0.142350,0.200037,67030700,353352000,0.18
20180103,0.104998,0.181478,0.099534,0.155900,87955800,238740000,0.14
20180102,0.099992,0.112094,0.099742,0.105317,38891400,227357000,0.11
20180101,0.102747,0.106128,0.094546,0.100121,26634900,233621000,0.10
20171231,0.098049,0.106479,0.093250,0.101999,22450300,222941000,0.10
20171230,0.089502,0.102936,0.083959,0.097538,31693900,203505000,0.09
20171229,0.088592,0.098000,0.084899,0.089106,27314200,201436000,0.09
20171228,0.082601,0.089407,0.075512,0.087903,25564800,187815000,0.08
20171227,0.086169,0.089305,0.080489,0.082855,22112000,195928000,0.08
20171226,0.091237,0.097212,0.082629,0.085546,22235900,207451000,0.09
20171225,0.087198,0.094341,0.085768,0.091349,23472400,198267000,0.09
20171224,0.090083,0.090083,0.077836,0.086500,15225600,204826000,0.08
20171223,0.087317,0.102236,0.084269,0.089723,13654300,198537000,0.09
20171222,0.109197,0.111164,0.065969,0.086652,13500100,248287000,0.09
20171221,0.115505,0.127863,0.104379,0.108713,31402900,262631000,0.12
20171220,0.105879,0.129043,0.093448,0.116060,39253200,240742000,0.11
20171219,0.118614,0.119664,0.100394,0.106296,26908500,269699000,0.11
20171218,0.105416,0.120767,0.097714,0.118477,35151500,239691000,0.11
20171217,0.100363,0.112069,0.098359,0.105229,30798500,228201000,0.11
20171216,0.107021,0.117055,0.098238,0.099848,44178300,243339000,0.11
20171215,0.129096,0.131448,0.103128,0.105623,53640700,293533000,0.12
20171214,0.123384,0.148024,0.104536,0.130587,98743500,280545000,0.13
20171213,0.085565,0.125744,0.082115,0.122862,78835100,194554000,0.10
20171212,0.074668,0.094554,0.073531,0.084571,43477900,169777000,0.08
20171211,0.076764,0.085776,0.067725,0.073312,25718700,174542000,0.08
20171210,0.054225,0.089014,0.053360,0.075622,64599000,123294000,0.07
20171209,0.050576,0.058883,0.047793,0.053984,12736600,114997000,0.05
20171208,0.061238,0.061765,0.043557,0.050740,30266500,139241000,0.05
20171207,0.059387,0.106494,0.053165,0.060585,107251000,135031000,0.08
20171206,0.023097,0.085689,0.021447,0.058784,63000500,52518000,0.05
20171205,0.017964,0.024090,0.017556,0.023365,2583390,40845200,0.02
20171204,0.017198,0.018302,0.016990,0.018302,824746,39102900,0.02
20171203,0.017085,0.018809,0.016420,0.017131,898044,38847000,0.02
20171202,0.016068,0.017344,0.015461,0.017071,640646,36535900,0.02
20171201,0.015283,0.016258,0.014383,0.016067,555175,34750500,0.02
20171130,0.015293,0.016486,0.013759,0.015271,674593,34773700,0.02
20171129,0.018168,0.018401,0.014617,0.015028,965265,41309800,0.02
20171128,0.017111,0.019156,0.016443,0.018012,1974130,38906600,0.02
20171127,0.015605,0.017988,0.015505,0.017101,1352180,35480800,0.02
20171126,0.015579,0.015924,0.015130,0.015593,523645,35422500,0.02
20171125,0.015747,0.016692,0.015158,0.015530,818860,35805300,0.02
20171124,0.013783,0.019977,0.013465,0.015915,3082120,31338500,0.02
20171123,0.013584,0.014663,0.013445,0.013840,524765,30886700,0.01
20171122,0.013226,0.013792,0.013035,0.013578,330170,30072300,0.01
20171121,0.013085,0.014050,0.012427,0.013201,507625,29751400,0.01
20171120,0.013092,0.013902,0.012942,0.013047,327270,29768600,0.01
20171119,0.012934,0.013975,0.012661,0.013099,379424,29408700,0.01
20171118,0.012021,0.013352,0.011435,0.013019,370149,27332400,0.01
20171117,0.011729,0.012085,0.011187,0.012028,268762,26669600,0.01
20171116,0.012013,0.012595,0.011742,0.011794,357512,27314100,0.01
20171115,0.011461,0.012014,0.011398,0.012002,283268,26060300,0.01
20171114,0.011343,0.011724,0.011052,0.011419,244821,25791800,0.01
20171113,0.010628,0.011660,0.010628,0.011330,225836,24164500,0.01
20171112,0.011975,0.011975,0.010125,0.010505,242761,27227300,0.01
20171111,0.013201,0.013616,0.011758,0.011979,237865,30015900,0.01
20171110,0.015162,0.015734,0.012645,0.012940,296429,34474800,0.01
20171109,0.014329,0.016111,0.013886,0.015130,653800,32580200,0.01
20171108,0.013520,0.017085,0.013294,0.014112,1440510,30740300,0.02
20171107,0.012018,0.014150,0.011920,0.013552,398100,27326300,0.01
20171106,0.012330,0.012669,0.011324,0.012014,563483,28034700,0.01
20171105,0.011288,0.013273,0.011228,0.012311,552450,25666600,0.01
20171104,0.010616,0.011725,0.010307,0.011510,396268,24139000,0.01
20171103,0.010900,0.010987,0.010038,0.010554,503432,24783800,0.01
20171102,0.010244,0.010244,0.009042,0.009879,402388,23292800,0.01
20171101,0.009324,0.010274,0.009144,0.010231,527477,21200300,0.01
20171031,0.009863,0.010037,0.009279,0.009329,355861,22425000,0.01
20171030,0.010128,0.010243,0.009655,0.009864,351934,23029100,0.01
20171029,0.010138,0.010705,0.010044,0.010142,374193,23051800,0.01
20171028,0.010079,0.010410,0.009899,0.010146,317638,22916900,0.01
20171027,0.010074,0.010331,0.009841,0.010062,321159,22906500,0.01
20171026,0.010610,0.010833,0.009870,0.009870,458604,24124000,0.01
20171025,0.010445,0.011782,0.010258,0.010618,769050,23749000,0.01
20171024,0.008858,0.012584,0.008681,0.010517,1172290,20139800,0.01
20171023,0.008949,0.009587,0.008525,0.008825,532807,20347400,0.01
20171022,0.010248,0.010303,0.008798,0.008905,513460,23301400,0.01
20171021,0.011998,0.012099,0.009665,0.010221,606592,27279500,0.01
20171020,0.013084,0.013192,0.011641,0.012011,847098,29749000,0.01
20171019,0.010970,0.013920,0.010906,0.013180,1080690,24943000,0.01
20171018,0.010928,0.011041,0.010076,0.010941,557323,24847400,0.01
20171017,0.012362,0.012975,0.010927,0.010927,925906,28108500,0.01
20171016,0.013775,0.015206,0.011641,0.012353,1971230,31321500,0.01
20171015,0.019661,0.019889,0.012735,0.013820,3427730,44703800,0.02
20171014,0.018361,0.028700,0.018361,0.019943,17462400,41747700,0.02
20171013,0.009747,0.017108,0.007883,0.017108,469195,22162100,0.01
20171012,0.010404,0.016748,0.009750,0.009772,290955,23655100,0.01
20171011,0.011494,0.011541,0.010811,0.010836,225843,26135300,0.01
20171010,0.010134,0.011564,0.010079,0.011485,233675,23043400,0.01
20171009,0.014499,0.014526,0.009842,0.010087,314901,32968000,0.01
20171008,0.014403,0.014555,0.013121,0.013406,199540,32749100,0.01
20171007,0.014403,0.014510,0.013860,0.014457,203767,32749500,0.01
20171006,0.014465,0.014725,0.013815,0.014412,282123,32889900,0.01
20171005,0.014004,0.014833,0.013853,0.014462,240713,16098400,0.01
