date,open,high,low,close,volume,marketcap,average
20180110,116.78,117.69,103.09,113.60,3557950,761937000,110.39
20180109,111.96,126.81,110.59,116.79,6454540,729859000,118.70
20180108,111.77,112.44,98.13,112.00,5565010,727897000,105.28
20180107,113.77,120.66,107.47,114.40,5956510,740164000,114.06
20180106,112.09,118.81,108.35,114.54,3359940,728572000,113.58
20180105,114.53,118.08,107.30,109.95,6006190,743643000,112.69
20180104,107.16,112.39,98.39,110.72,5116920,695098000,105.39
20180103,107.55,110.89,99.52,107.12,6508350,696885000,105.20
20180102,108.34,114.45,104.47,108.33,6666070,701308000,109.46
20180101,96.31,109.59,93.56,109.01,3794590,622804000,101.58
20171231,84.06,99.92,82.92,95.96,3204200,543063000,91.42
20171230,98.94,99.59,79.64,84.94,4067150,638593000,89.62
20171229,96.53,100.99,87.92,99.72,4725950,622322000,94.45
20171228,95.89,96.50,82.88,89.19,3197220,617624000,89.69
20171227,94.46,105.56,92.10,95.87,4378580,607800000,98.83
20171226,91.69,98.30,88.23,94.75,5635200,589418000,93.27
20171225,90.74,95.07,84.82,91.39,3238670,582760000,89.94
20171224,87.57,89.72,74.58,89.72,4731560,561755000,82.15
20171223,77.33,90.23,75.13,85.40,3755830,495610000,82.68
20171222,93.76,95.05,58.13,76.63,5163150,600220000,76.59
20171221,95.96,109.65,90.84,93.82,7503270,613739000,100.25
20171220,92.20,97.64,79.60,95.52,6906580,589168000,88.62
20171219,93.27,96.13,82.33,91.44,8885100,595268000,89.23
20171218,85.72,93.36,79.22,92.64,6894280,546632000,86.29
20171217,83.33,94.14,83.06,85.46,6839700,530861000,88.60
20171216,70.98,90.82,70.98,83.97,6277910,451653000,80.90
20171215,73.95,74.44,64.04,71.91,3811390,470097000,69.24
20171214,73.40,74.26,67.62,73.72,3369950,466232000,70.94
20171213,72.81,82.57,66.49,72.99,7515370,461910000,74.53
20171212,58.26,72.71,56.46,71.61,4423800,369218000,64.58
20171211,56.16,64.50,55.73,57.80,2280320,355557000,60.11
20171210,53.75,62.62,47.07,56.19,4826340,339925000,54.84
20171209,56.40,58.15,50.99,53.53,2095120,356309000,54.57
20171208,50.12,57.47,46.47,56.87,5471720,316353000,51.97
20171207,50.20,52.38,43.71,50.29,5119330,316535000,48.05
20171206,56.06,57.29,48.08,50.40,5100420,353151000,52.69
20171205,58.81,60.54,54.78,56.06,3611860,370074000,57.66
20171204,54.14,58.30,51.99,58.27,2959120,340275000,55.14
20171203,55.78,58.91,50.43,53.74,3757050,350282000,54.67
20171202,58.17,58.90,54.21,55.41,3053320,364935000,56.55
20171201,56.84,58.41,50.89,58.41,3625560,356206000,54.65
20171130,49.68,67.37,45.11,56.64,9936510,311003000,56.24
20171129,55.84,69.93,45.86,48.94,10574400,349196000,57.90
20171128,58.74,58.93,51.32,56.00,7372390,366970000,55.12
20171127,61.50,68.52,53.73,60.04,11913600,383774000,61.12
20171126,49.69,63.51,46.80,61.73,16942800,309762000,55.16
20171125,47.71,50.94,44.81,49.96,5058140,297129000,47.88
20171124,43.34,50.24,40.05,48.18,7656400,269568000,45.14
20171123,40.39,45.37,38.67,42.97,5145980,250978000,42.02
20171122,34.11,40.74,33.49,40.42,2837990,211720000,37.12
20171121,33.67,35.06,32.06,34.14,1105250,208798000,33.56
20171120,35.04,35.30,33.37,34.04,1003650,217053000,34.33
20171119,35.54,36.20,33.60,35.06,1314670,219909000,34.90
20171118,32.05,35.59,31.45,34.82,889428,198149000,33.52
