date,open,high,low,close,volume,marketcap,average
20180110,19.13,19.25,15.47,16.54,2603390,90922700,17.36
20180109,11.31,18.88,11.29,18.75,3693840,53673800,15.08
20180108,11.52,12.16,9.48,11.34,2167380,54606600,10.82
20180107,7.23,12.22,6.96,11.55,2575200,34221100,9.59
20180106,6.26,7.30,5.75,7.24,732667,29564900,6.53
20180105,6.56,7.10,5.97,6.40,648906,30936700,6.54
20180104,6.88,7.63,6.43,6.56,553297,32364200,7.03
20180103,6.62,7.56,6.11,6.93,677318,31116000,6.83
20180102,7.25,8.07,5.61,6.59,1238770,34000200,6.84
20180101,7.09,8.14,6.51,7.25,628492,33169600,7.33
20171231,7.75,8.24,6.96,7.33,712145,36210000,7.60
20171230,6.28,8.42,6.26,7.84,1652780,29274200,7.34
20171229,7.36,7.56,5.81,6.35,1299240,34241300,6.68
20171228,6.36,8.29,4.96,7.23,1239720,29548300,6.62
20171227,4.48,7.08,4.42,6.37,1199640,20781300,5.75
20171226,3.33,4.85,3.27,4.55,775876,15414300,4.06
20171225,3.15,3.41,2.98,3.28,396341,14550600,3.20
20171224,3.31,3.31,2.78,3.12,301737,15249300,3.04
20171223,3.11,3.54,2.93,3.28,307424,14331600,3.24
20171222,3.77,3.81,2.31,2.98,247211,17350800,3.06
20171221,3.19,4.10,3.19,3.76,260095,14636000,3.64
20171220,3.79,3.86,3.07,3.14,297044,17351700,3.46
20171219,3.85,4.46,3.66,3.78,297900,17628800,4.06
20171218,3.79,4.07,3.37,3.85,274578,17325200,3.72
20171217,3.73,4.25,3.58,3.78,486307,17013200,3.92
20171216,2.63,3.94,2.55,3.74,553852,11983200,3.25
20171215,2.71,2.88,2.46,2.63,152119,12329500,2.67
20171214,2.77,2.98,2.47,2.75,143297,12564400,2.73
20171213,2.57,3.03,2.36,2.73,158576,11613900,2.69
20171212,2.86,3.09,2.26,2.56,226530,12925800,2.67
20171211,3.00,3.46,2.81,2.85,153340,13532900,3.13
20171210,2.99,3.29,2.56,3.02,125795,13466500,2.92
20171209,3.22,3.41,2.53,2.98,173787,14445900,2.97
20171208,4.20,4.20,2.81,3.22,213172,16575700,3.50
20171207,3.99,4.29,3.25,4.19,457041,15709700,3.77
20171206,2.78,4.11,2.68,3.99,723481,10924600,3.40
20171205,2.19,2.82,2.12,2.78,297046,8611630,2.47
20171204,2.34,2.38,1.56,2.11,314511,9176080,1.97
20171203,1.76,2.51,1.67,2.34,230387,6889540,2.09
20171202,1.70,1.96,1.63,1.96,75592,6628570,1.79
20171201,1.85,1.87,1.52,1.70,144015,7181840,1.70
20171130,1.46,1.87,1.34,1.80,101961,5676780,1.60
20171129,1.58,1.71,1.26,1.44,85240,6107090,1.48
20171128,1.51,1.68,1.39,1.58,93212,5839500,1.53
20171127,1.40,1.62,1.40,1.50,75150,5418890,1.51
20171126,1.56,1.65,1.23,1.40,85288,6028880,1.44
20171125,1.09,1.70,1.09,1.56,123309,4198910,1.40
20171124,1.12,1.18,1.03,1.15,50645,4300540,1.10
20171123,1.08,1.19,0.967516,1.12,58304,4144090,1.08
20171122,0.921468,1.19,0.869118,1.08,62369,3523360,1.03
20171121,0.854873,0.986956,0.823195,0.903666,35020,3265060,0.91
20171120,0.921281,0.978784,0.828379,0.854783,39442,3513720,0.90
20171119,0.855629,0.955009,0.825064,0.923008,23135,3257230,0.89
20171118,0.784712,0.896334,0.781111,0.862329,15554,2978460,0.84
20171117,0.860978,0.980560,0.773603,0.787706,24716,3261330,0.88
20171116,0.958973,1.03,0.835845,0.862387,43132,3626600,0.93
20171115,0.699451,1.19,0.622169,0.953886,58592,2626570,0.91
20171114,0.649090,0.776975,0.599447,0.698970,33374,2437450,0.69
20171113,0.487802,0.666309,0.487207,0.647652,24312,1831790,0.58
20171112,0.540610,0.553199,0.465207,0.487372,12181,2030090,0.51
20171111,0.576214,0.610626,0.513267,0.541008,10726,2160070,0.56
20171110,0.621752,0.678559,0.556396,0.578273,16099,2327320,0.62
20171109,0.665495,0.711818,0.612899,0.619861,19069,2486300,0.66
20171108,0.641921,0.707268,0.637792,0.666237,13607,2392750,0.67
20171107,0.571269,0.696777,0.567145,0.643940,22031,2126390,0.63
20171106,0.628342,0.661672,0.477553,0.572202,19394,2335380,0.57
20171105,0.655197,0.712160,0.595837,0.626952,13645,2430870,0.65
20171104,0.676905,0.744281,0.616809,0.656436,8931,2505620,0.68
20171103,0.780336,0.865677,0.602895,0.678667,13706,2880190,0.73
20171102,0.790670,0.843829,0.641677,0.781358,27308,2917120,0.74
20171101,0.671246,0.854014,0.666592,0.789780,23859,2471910,0.76
20171031,0.485165,0.885712,0.485165,0.671776,17193,1783500,0.69
20171030,0.749533,0.760923,0.408060,0.486756,43373,2750260,0.58
20171029,0.738710,0.795235,0.695050,0.753817,34010,2707680,0.75
20171028,0.709528,0.782751,0.709528,0.739660,13105,2594250,0.75
20171027,0.744529,0.881173,0.699043,0.736195,27906,2715100,0.79
20171026,0.713041,0.805045,0.626861,0.744375,21780,2595820,0.72
20171025,0.680227,0.720215,0.538964,0.713418,15564,2470600,0.63
20171024,0.665126,0.818579,0.640489,0.679918,9724,2410080,0.73
20171023,0.673708,0.857083,0.634068,0.666501,9752,2434280,0.75
20171022,0.567442,0.713396,0.543961,0.674650,11165,2046510,0.63
20171021,0.551628,0.791548,0.537777,0.567224,18308,1986400,0.66
20171020,0.709546,0.739036,0.428015,0.552873,23016,2544640,0.58
20171019,0.657228,0.733228,0.651157,0.709376,5514,2348980,0.69
20171018,0.733681,0.751215,0.632426,0.656888,9415,2618120,0.69
20171017,0.752298,0.856085,0.720306,0.743778,6399,2680080,0.79
20171016,0.778160,0.858524,0.732064,0.752178,16367,2765160,0.80
20171015,0.907476,1.05,0.749183,0.777928,15730,3216270,0.90
20171014,1.00,1.00,0.856654,0.905847,12575,3547310,0.93
20171013,0.955324,1.12,0.945609,1.00,43147,3365620,1.03
20171012,0.925042,1.03,0.883427,0.952433,11131,3251150,0.96
20171011,0.818518,1.07,0.817894,0.924288,17961,2870230,0.94
20171010,0.890081,0.938371,0.809160,0.818660,53966,3113380,0.87
20171009,0.705275,0.933052,0.690298,0.885365,84786,2464100,0.81
20171008,0.755460,0.821819,0.677923,0.705103,13950,2632880,0.75
20171007,0.760181,0.917309,0.716816,0.757483,29030,2643630,0.82
20171006,0.617729,0.855186,0.542928,0.852869,24149,2141740,0.70
20171005,0.731697,0.754869,0.546815,0.617736,10086,2530650,0.65
20171004,0.783582,0.783582,0.716933,0.731095,10152,2702390,0.75
20171003,0.817013,0.817013,0.734770,0.781770,10418,2810040,0.78
20171002,0.883813,0.898692,0.759621,0.816952,8555,3036380,0.83
20171001,0.747662,0.889998,0.747566,0.884161,7613,2564850,0.82
20170930,0.939413,0.982945,0.737619,0.747263,21538,3214490,0.86
20170929,1.09,1.11,0.797085,0.957468,34391,3728350,0.95
20170928,0.697594,1.22,0.691763,1.09,54755,2375870,0.96
20170927,0.622425,0.723539,0.590764,0.723539,13490,2114480,0.66
20170926,0.620433,0.676220,0.592985,0.624159,9327,2101590,0.63
20170925,0.733837,0.736632,0.572126,0.620509,15836,2479900,0.65
20170924,0.644821,0.750526,0.602772,0.733810,12365,2174030,0.68
20170923,0.740311,0.752607,0.638797,0.644874,18626,2489790,0.70
20170922,0.750511,0.864379,0.712387,0.742407,23775,2517720,0.79
20170921,0.950664,0.998403,0.738722,0.751370,28374,3182460,0.87
20170920,0.805444,0.979899,0.780290,0.979899,21870,2690720,0.88
20170919,1.17,1.21,0.799155,0.806520,73534,3893720,1.00
20170918,1.05,1.24,1.05,1.16,11771,3501330,1.15
20170917,1.04,1.18,0.974400,1.08,6206,3442330,1.08
20170916,1.01,1.29,0.991253,1.04,23447,3347530,1.14
20170915,0.837020,1.09,0.783306,1.00,22244,2766040,0.94
20170914,1.05,1.08,0.823079,0.830595,27970,3450940,0.95
20170913,1.06,1.19,1.00,1.05,20054,3473670,1.09
20170912,1.22,1.27,1.05,1.09,13645,4006480,1.16
20170911,1.13,1.28,1.12,1.22,17552,3721830,1.20
20170910,1.22,1.32,1.06,1.13,23260,4012630,1.19
20170909,1.30,1.38,1.20,1.32,19297,4261530,1.29
20170908,1.79,1.95,1.14,1.30,73514,5857760,1.54
20170907,1.27,2.10,1.26,1.74,75413,4132990,1.68
20170906,1.00,1.42,1.00,1.27,25366,3261720,1.21
20170905,1.07,1.22,0.839828,1.00,56656,3480750,1.03
20170904,1.43,1.43,0.857840,1.08,56156,4639250,1.14
20170903,1.63,1.72,1.06,1.43,62406,5282460,1.39
20170902,1.92,1.93,1.52,1.70,43742,6181960,1.73
20170901,2.04,2.53,1.12,1.92,189167,6565070,1.82
20170831,3.67,3.79,1.58,2.04,141002,11805900,2.69
20170830,4.87,5.04,3.09,3.68,187198,15622400,4.06
20170829,2.73,4.90,2.51,4.88,223581,8731880,3.71
20170828,2.42,3.13,1.76,2.63,149961,7740150,2.44
20170827,1.31,2.55,1.30,2.42,98286,4175020,1.92
20170826,1.05,1.57,1.05,1.31,42343,3357900,1.31
