date,open,high,low,close,volume,marketcap,average
20180110,3.15,3.54,2.90,3.33,40175,3193820,3.22
20180109,3.52,3.85,2.98,3.02,35100,3566870,3.42
20180108,3.97,4.50,2.84,3.53,56684,4020980,3.67
20180107,2.77,4.51,2.46,4.00,66163,2809490,3.48
20180106,2.73,2.97,2.42,2.78,33726,2765710,2.70
20180105,2.32,2.93,2.25,2.73,32518,2346350,2.59
20180104,2.99,3.02,2.28,2.32,43504,3027110,2.65
20180103,2.11,3.00,1.99,2.97,83370,2139740,2.50
20180102,1.76,2.12,1.48,2.12,156338,1777970,1.80
20180101,1.60,1.92,1.41,1.81,108452,1619110,1.67
20171231,1.66,1.81,1.40,1.57,77470,1681910,1.60
20171230,1.85,2.19,1.42,1.68,125787,1869750,1.80
20171229,1.99,3.74,1.72,1.72,212509,2012920,2.73
20171228,1.38,2.03,1.19,2.03,107127,1396940,1.61
20171227,1.24,1.48,0.857218,1.42,121243,1258030,1.17
20171226,0.728207,1.39,0.687585,1.24,129425,737409,1.04
20171225,0.635532,0.943684,0.450151,0.715033,82380,643563,0.70
20171224,0.411565,0.850715,0.378509,0.704248,68013,416766,0.61
20171223,0.315006,0.488783,0.294625,0.407070,64654,318987,0.39
20171222,0.371212,0.430628,0.241302,0.312061,49449,375903,0.34
20171221,0.369809,0.390981,0.339047,0.352285,42155,374482,0.37
20171220,0.407437,0.414517,0.336890,0.368253,61497,,0.38
20171219,0.419469,0.429385,0.360236,0.388065,69983,,0.39
20171218,0.433816,0.438899,0.263089,0.419040,22830,,0.35
20171217,0.425392,0.448518,0.360137,0.432510,46352,,0.40
20171216,0.383758,0.453058,0.325407,0.426315,72783,,0.39
20171215,0.349662,0.432757,0.349595,0.383220,40321,,0.39
20171214,0.414271,0.481538,0.346402,0.349138,71712,,0.41
20171213,0.462484,0.468626,0.365868,0.416591,28172,,0.42
20171212,0.357881,0.536476,0.357751,0.462098,79803,,0.45
20171211,0.362129,0.441947,0.319402,0.413724,68965,,0.38
20171210,0.297897,0.428615,0.262269,0.364763,54128,,0.35
20171209,0.307570,0.340589,0.232513,0.296765,57627,,0.29
20171208,0.247521,0.306553,0.156088,0.279761,59915,,0.23
20171207,0.299824,0.338635,0.199730,0.246937,70919,,0.27
20171206,0.262951,0.304852,0.243705,0.292416,53124,,0.27
20171205,0.277050,0.280058,0.244916,0.260999,47268,,0.26
20171204,0.283727,0.317749,0.235090,0.276501,51699,,0.28
20171203,0.258053,0.356493,0.229144,0.282789,49731,,0.29
20171202,0.245841,0.289298,0.237445,0.257807,45549,,0.26
20171201,0.245474,0.266724,0.198821,0.246065,49508,,0.23
20171130,0.220252,0.261548,0.189291,0.225741,41858,,0.23
20171129,0.187107,0.279594,0.172288,0.216920,25400,,0.23
20171128,0.194564,0.338709,0.152736,0.187101,26304,,0.25
20171127,0.105684,0.269505,0.072043,0.180619,40171,,0.17
20171126,0.143696,0.162566,0.065130,0.074933,32100,,0.11
20171125,0.151856,0.172845,0.123770,0.146380,33724,,0.15
20171124,0.199406,0.205190,0.107420,0.163089,34369,,0.16
20171123,0.208001,0.227002,0.176520,0.199675,30091,,0.20
20171122,0.244705,0.256785,0.184121,0.209797,55718,,0.22
20171121,0.221720,0.393362,0.192316,0.223513,20528,,0.29
20171120,0.280714,0.280714,0.189857,0.221680,10733,,0.24
20171119,0.303689,0.312083,0.178177,0.281392,9375,,0.25
20171118,0.345780,4.99,0.155877,0.303885,12784,,2.57
20171117,0.498137,0.544387,0.162435,0.348646,14262,,0.35
20171116,0.509388,0.541195,0.260596,0.535143,17215,,0.40
20171115,0.479361,0.539636,0.429581,0.506733,25053,,0.48
20171114,0.587777,0.587777,0.066503,0.479033,16060,,0.33
20171113,0.469665,0.612770,0.445676,0.586535,22246,,0.53
20171112,0.480422,0.536765,0.429024,0.468982,10266,,0.48
20171111,0.610811,0.618431,0.475272,0.480776,16429,,0.55
20171110,0.715737,0.785305,0.463646,0.612993,32013,,0.62
20171109,0.530485,3.65,0.107506,0.713618,988140,,1.88
20171108,0.572848,0.638846,0.485975,0.531032,15007,,0.56
20171107,0.607596,0.668345,0.442409,0.574653,22034,,0.56
20171106,0.610618,0.733988,0.534317,0.608570,12058,,0.63
