date,open,high,low,close,volume,marketcap,average
20180110,0.264633,0.267676,0.241467,0.255122,781,,0.25
20180109,0.272132,0.293869,0.260429,0.264286,570,,0.28
20180108,0.302249,0.318546,0.260642,0.272875,2117,,0.29
20180107,0.325128,0.337603,0.294915,0.302672,1354,,0.32
20180106,0.337981,0.345500,0.309256,0.325367,1378,,0.33
20180105,0.303775,0.340657,0.300014,0.337712,3587,,0.32
20180104,0.321556,0.326730,0.288780,0.303715,1908,,0.31
20180103,0.294044,0.323282,0.290798,0.319804,487,,0.31
20180102,0.268813,0.301270,0.259926,0.295092,739,,0.28
20180101,0.283821,0.300291,0.256940,0.268834,1085,,0.28
20171231,0.252382,0.312329,0.249874,0.282727,484,,0.28
20171230,0.320067,0.320174,0.243468,0.255138,713,,0.28
20171229,0.274883,0.355754,0.272759,0.320874,609,,0.31
20171228,0.358883,0.362331,0.269068,0.272067,5762,,0.32
20171227,0.429816,0.448761,0.344637,0.359638,12460,,0.40
20171226,0.315506,0.561179,0.297904,0.429505,11431,,0.43
20171225,0.383164,0.394317,0.309605,0.315829,5296,,0.35
20171224,0.397294,0.397294,0.341816,0.379226,24737,,0.37
20171223,0.375079,0.425894,0.369807,0.392955,25633,,0.40
20171222,0.427394,0.431605,0.311328,0.371569,24238,,0.37
20171221,0.448344,0.472915,0.411995,0.425918,27783,,0.44
20171220,0.479230,0.485124,0.428792,0.447173,29169,,0.46
20171219,0.529234,0.662618,0.463800,0.479702,31291,,0.56
20171218,0.311085,0.792274,0.297132,0.528786,168340,,0.54
20171217,0.301889,0.352010,0.297458,0.310145,12679,,0.32
20171216,0.278997,0.315031,0.272857,0.301850,6184,,0.29
20171215,0.227748,0.323184,0.227704,0.278605,23360,,0.28
20171214,0.229257,0.254172,0.211557,0.227407,7666,,0.23
20171213,0.307858,0.311944,0.217443,0.222767,9552,,0.26
20171212,0.300029,0.316460,0.292996,0.307601,7223,,0.30
20171211,0.268499,0.311925,0.267325,0.299069,7023,,0.29
20171210,0.287517,0.301735,0.244131,0.270452,8620,,0.27
20171209,0.276648,0.316700,0.249891,0.286357,8259,,0.28
20171208,0.195075,0.338884,0.179723,0.275136,15005,,0.26
20171207,0.274717,0.302575,0.160143,0.184920,20206,,0.23
20171206,0.362373,0.368355,0.253453,0.275191,10090,,0.31
20171205,0.368454,0.388497,0.341252,0.363178,10428,,0.36
20171204,0.350743,0.377744,0.320661,0.367731,11457,,0.35
20171203,0.365119,0.389476,0.332789,0.349584,12155,,0.36
20171202,0.364952,0.382147,0.353306,0.364770,6813,,0.37
20171201,0.365747,0.383811,0.336892,0.365263,5155,,0.36
20171130,0.373097,0.394164,0.295791,0.367568,12697,,0.34
20171129,0.340032,0.476673,0.307767,0.367453,13477,,0.39
20171128,0.398897,0.398906,0.297440,0.340371,6257,,0.35
20171127,0.409233,0.421542,0.378622,0.397867,24317,,0.40
20171126,0.388248,0.415966,0.384124,0.409155,8702,,0.40
20171125,0.384555,0.403482,0.365523,0.388377,21776,,0.38
20171124,0.376455,0.390597,0.369276,0.385333,4044,,0.38
20171123,0.385268,0.387150,0.376970,0.376970,3956,,0.38
20171122,0.371057,0.387280,0.366229,0.385391,4044,,0.38
20171121,0.385205,0.391255,0.364706,0.370158,15621,,0.38
20171120,0.403054,0.409035,0.366362,0.385381,18809,,0.39
20171119,0.388800,0.418909,0.352038,0.395115,47487,,0.39
20171118,0.396328,0.413777,0.354295,0.389523,19309,,0.38
20171117,0.355050,0.463250,0.332192,0.397853,18321,,0.40
20171116,0.380927,0.397520,0.312029,0.355711,26134,,0.35
20171115,0.393390,0.432468,0.306812,0.378942,20074,,0.37
20171114,0.403607,0.415711,0.375661,0.393121,37231,,0.40
20171113,0.360468,0.412969,0.357659,0.402754,19759,,0.39
20171112,0.394139,0.405305,0.343712,0.359944,32320,,0.37
20171111,0.401724,0.435172,0.387058,0.394430,20197,,0.41
20171110,0.445553,0.470686,0.396771,0.402499,62149,,0.43
20171109,0.471119,0.497628,0.430337,0.444235,22681,,0.46
20171108,0.497844,0.506580,0.441548,0.471306,25985,,0.47
20171107,0.481213,0.504331,0.461008,0.499412,14995,,0.48
20171106,0.483082,0.513410,0.478473,0.481986,14253,,0.50
20171105,0.501622,0.545413,0.481500,0.482012,16351,,0.51
20171104,0.505985,0.543411,0.462524,0.502574,13340,,0.50
20171103,0.477583,0.570734,0.415316,0.503208,40320,,0.49
20171102,0.533579,0.576820,0.410247,0.478209,32059,,0.49
20171101,0.490705,0.600653,0.445656,0.532985,28486,,0.52
20171031,0.488998,0.513341,0.485521,0.491065,24316,,0.50
20171030,0.372494,0.614778,0.360646,0.490664,101888,,0.49
20171029,0.344190,0.442573,0.336177,0.374670,31428,,0.39
20171028,0.334279,0.361822,0.334279,0.344662,10712,,0.35
20171027,0.417845,0.424036,0.292427,0.333369,59006,,0.36
20171026,0.344751,0.476336,0.342328,0.371783,16131,,0.41
20171025,0.243854,0.359961,0.242603,0.345251,22980,,0.30
20171024,0.339206,0.345348,0.236675,0.243756,19591,,0.29
20171023,0.353795,0.368193,0.328716,0.339954,6806,,0.35
20171022,0.372789,0.374213,0.332884,0.369757,18742,,0.35
20171021,0.365113,0.407870,0.325004,0.372676,16628,,0.37
20171020,0.342274,0.372213,0.332379,0.365882,10821,,0.35
20171019,0.312830,0.399300,0.296751,0.342178,31727,,0.35
20171018,0.280541,0.396596,0.276309,0.297144,37662,,0.34
20171017,0.387138,0.423276,0.293205,0.294578,30700,,0.36
20171016,0.455466,0.458012,0.268445,0.387078,53766,,0.36
20171015,0.502272,0.503895,0.328573,0.455291,51594,,0.42
20171014,0.560874,0.566492,0.456607,0.501375,65632,,0.51
20171013,0.539554,0.582822,0.536104,0.560722,24863,,0.56
20171012,0.498695,0.537897,0.476856,0.537897,23851,,0.51
