date,open,high,low,close,volume,marketcap,average
20180110,29.32,30.76,25.62,27.11,401302,76109200,28.19
20180109,27.44,31.39,26.06,28.34,727429,71182400,28.73
20180108,30.72,31.37,25.25,27.51,448099,79655800,28.31
20180107,27.59,31.56,25.29,30.50,610004,71487300,28.42
20180106,27.39,28.65,24.69,27.61,393906,70936900,26.67
20180105,29.24,31.57,26.03,27.37,834607,75680200,28.80
20180104,32.19,33.00,27.19,29.25,1044050,83279800,30.09
20180103,31.68,35.98,30.14,32.02,2033860,81913400,33.06
20180102,18.55,42.40,18.12,31.47,9996360,47924300,30.26
20180101,19.71,20.79,18.20,18.55,216038,50899300,19.49
20171231,17.77,19.86,17.28,19.64,155058,45859500,18.57
20171230,19.98,20.46,16.79,17.95,311859,51534600,18.62
20171229,17.33,22.58,17.00,20.00,2294180,44671900,19.79
20171228,18.05,18.11,16.29,17.13,124577,46509200,17.20
20171227,18.83,20.01,17.07,18.46,193157,48495200,18.54
20171226,17.43,19.11,17.27,18.34,313288,44865800,18.19
20171225,17.23,17.70,16.13,17.33,268689,44321300,16.91
20171224,16.67,16.91,14.49,16.91,240723,42840700,15.70
20171223,16.11,18.21,15.68,16.53,114053,41386200,16.95
20171222,18.34,18.51,13.16,15.99,213069,47097100,15.84
20171221,18.28,20.29,17.22,18.28,240657,46915400,18.75
20171220,19.06,19.43,17.00,18.24,194468,48880600,18.21
20171219,18.93,20.62,17.93,18.88,387197,48514700,19.27
20171218,17.37,19.05,16.82,18.91,229893,44493400,17.94
20171217,17.03,18.12,16.47,17.32,162653,43590200,17.30
20171216,15.88,17.63,15.83,17.02,132272,40624700,16.73
20171215,16.22,16.49,15.43,15.85,111334,41485500,15.96
20171214,15.09,16.55,14.96,16.05,143662,38573200,15.76
20171213,16.41,17.17,15.10,15.33,185315,41927400,16.14
20171212,15.83,17.62,15.45,16.40,124168,40410600,16.54
20171211,15.56,17.32,15.38,15.78,76440,39713100,16.35
20171210,16.33,16.33,13.96,15.67,69960,41631000,15.14
20171209,17.36,17.70,14.20,16.27,145530,44249000,15.95
20171208,16.40,18.22,11.90,17.22,413588,41775300,15.06
20171207,15.81,17.42,14.92,16.36,256494,40258000,16.17
20171206,13.15,16.04,13.09,15.84,474083,33452200,14.56
20171205,12.33,14.07,12.10,13.17,266643,31359300,13.09
20171204,11.50,12.36,11.46,12.31,97094,29216900,11.91
20171203,11.36,12.39,10.72,11.46,87817,28856000,11.55
20171202,11.55,12.04,11.32,11.35,45432,29316200,11.68
20171201,10.97,11.68,10.20,11.40,52921,27830300,10.94
20171130,10.10,11.41,9.40,11.03,71132,25608200,10.41
20171129,10.57,11.85,9.38,9.91,110468,26778800,10.62
20171128,9.88,11.08,9.71,10.58,187135,25015900,10.39
20171127,9.47,10.10,9.47,9.85,63519,23975000,9.79
20171126,8.98,9.85,8.90,9.47,51157,22715100,9.38
20171125,9.11,9.44,8.52,8.73,163556,23036100,8.98
20171124,9.30,9.41,8.74,8.91,68344,23493100,9.07
20171123,9.24,9.47,9.01,9.31,59435,23334700,9.24
20171122,9.02,9.52,8.79,9.24,98620,22754200,9.15
20171121,10.01,10.02,8.77,9.00,89525,25249800,9.39
20171120,9.92,10.35,9.37,10.01,78006,25004800,9.86
20171119,9.98,10.66,9.75,9.93,67113,25129400,10.21
20171118,8.82,10.67,8.60,9.99,174151,22212200,9.63
20171117,9.28,9.69,8.48,8.86,48332,23351600,9.09
20171116,8.99,9.69,8.68,9.30,62483,22595000,9.18
20171115,8.75,9.21,8.46,8.89,64221,21984300,8.84
20171114,8.74,9.33,8.57,8.74,96662,21962200,8.95
20171113,7.83,9.28,7.43,8.73,126582,19648500,8.36
20171112,8.00,8.14,7.05,7.86,110858,20069200,7.60
20171111,8.53,8.86,7.84,8.01,48725,21383200,8.35
20171110,10.02,10.26,7.99,8.56,76978,25114600,9.12
20171109,9.06,10.84,8.74,9.88,224462,22681100,9.79
20171108,8.95,11.27,8.84,9.31,461536,22406500,10.05
20171107,6.50,10.81,6.50,9.27,743045,16259200,8.66
20171106,6.66,6.82,6.30,6.55,77780,16655000,6.56
20171105,6.96,6.99,6.55,6.64,55129,17398700,6.77
20171104,6.59,7.10,6.34,6.94,113322,16463900,6.72
20171103,6.28,6.63,5.81,6.61,101813,15660200,6.22
20171102,7.61,8.39,5.90,6.28,140801,18989500,7.15
20171101,7.99,8.62,7.30,7.62,108629,19925000,7.96
20171031,7.35,9.23,7.25,8.00,165789,18317500,8.24
20171030,7.70,8.18,7.30,7.50,18077,19175500,7.74
20171029,7.40,8.78,7.21,7.75,87246,18408200,7.99
20171028,7.43,7.77,6.96,7.41,33173,18487600,7.37
20171027,7.76,7.91,7.16,7.41,21191,19292900,7.54
20171026,8.20,8.20,7.58,7.76,57332,20366500,7.89
20171025,8.12,8.67,7.48,8.26,185420,20167200,8.07
20171024,6.26,8.56,5.78,8.12,227879,15529300,7.17
20171023,6.72,7.24,5.54,6.45,278874,16652300,6.39
20171022,6.81,7.66,6.41,6.67,154331,16864000,7.04
20171021,8.19,8.19,6.52,6.97,88412,20289900,7.35
20171020,7.78,8.79,7.13,8.08,131500,19253200,7.96
20171019,6.92,8.55,6.85,7.78,76900,17104500,7.70
20171018,7.97,8.06,6.67,6.91,125681,19708500,7.37
20171017,8.93,8.93,6.99,7.97,164789,22062100,7.96
20171016,8.36,8.96,7.06,8.96,203809,20652500,8.01
20171015,10.19,10.67,8.09,8.36,265896,25151100,9.38
20171014,10.93,10.93,9.73,10.16,43486,26940600,10.33
20171013,10.01,10.92,9.42,10.92,99402,24681100,10.17
20171012,10.09,10.53,9.45,9.98,94382,24844300,9.99
20171011,9.86,10.80,9.41,10.08,120487,24267900,10.11
20171010,8.75,10.58,8.65,9.86,104884,21529700,9.62
20171009,9.67,9.67,8.24,8.62,173874,23764300,8.96
20171008,9.89,10.01,9.23,9.66,90268,24303300,9.62
20171007,9.75,10.14,8.86,10.00,197723,23946900,9.50
20171006,9.78,10.40,9.52,9.75,123392,23995800,9.96
20171005,10.36,10.59,9.60,9.78,105174,25411400,10.09
20171004,10.68,11.78,9.90,10.35,176785,26188200,10.84
20171003,10.05,11.23,10.02,10.66,175379,24613500,10.62
20171002,11.72,11.99,9.99,10.05,249514,28704700,10.99
20171001,12.13,12.16,11.36,11.73,89397,29675200,11.76
20170930,11.44,12.20,11.44,12.12,71342,27972600,11.82
20170929,11.85,12.18,10.99,11.42,118918,28952700,11.59
20170928,10.83,12.40,10.44,11.92,169712,26462300,11.42
20170927,11.86,12.10,10.30,10.83,451383,28949700,11.20
20170926,8.38,12.31,8.33,12.09,865210,20434300,10.32
20170925,8.16,8.81,7.83,8.38,132191,19898700,8.32
20170924,7.55,8.49,7.05,8.17,322217,18407800,7.77
