date,open,high,low,close,volume,marketcap,average
20180110,0.065901,0.065901,0.051015,0.052174,28680200,453775000,0.06
20180109,0.071968,0.075909,0.061328,0.066232,18294400,495548000,0.07
20180108,0.081618,0.082504,0.056197,0.074429,31053600,561997000,0.07
20180107,0.088441,0.098659,0.074411,0.084145,44550400,608976000,0.09
20180106,0.052573,0.107064,0.047923,0.090693,145988000,362003000,0.08
20180105,0.028783,0.064498,0.025549,0.054844,62977500,198189000,0.05
20180104,0.021204,0.030081,0.019227,0.029292,20883600,146005000,0.02
20180103,0.020092,0.021709,0.019371,0.021120,9372000,138351000,0.02
20180102,0.020775,0.022126,0.019224,0.020130,13210200,143047000,0.02
20180101,0.021551,0.021625,0.019785,0.020738,9113730,148390000,0.02
20171231,0.019334,0.021643,0.019256,0.021504,9256380,133129000,0.02
20171230,0.019174,0.021374,0.017240,0.019579,12324100,132027000,0.02
20171229,0.020944,0.022633,0.018870,0.019267,11231700,144213000,0.02
20171228,0.020544,0.021361,0.017686,0.020928,10877100,141458000,0.02
20171227,0.022860,0.027853,0.020158,0.020817,16622300,157410000,0.02
20171226,0.023914,0.027167,0.019585,0.022937,17154500,164662000,0.02
20171225,0.026645,0.032058,0.018722,0.024341,29131400,183472000,0.03
20171224,0.022370,0.029489,0.020105,0.026349,16868600,154030000,0.02
20171223,0.010757,0.025021,0.010628,0.021835,21502700,74067300,0.02
20171222,0.015696,0.016030,0.007331,0.010769,10290700,108076000,0.01
20171221,0.012084,0.016841,0.012084,0.015726,19416700,83208600,0.01
20171220,0.010747,0.011951,0.008328,0.011951,13272700,74003500,0.01
20171219,0.011781,0.012506,0.010231,0.010582,11453700,81118600,0.01
20171218,0.009763,0.014130,0.009657,0.011757,20023800,67227200,0.01
20171217,0.005205,0.012721,0.005114,0.009715,27703200,35841500,0.01
20171216,0.003515,0.005241,0.003507,0.005190,10567600,24200400,0.00
20171215,0.003502,0.003905,0.003429,0.003511,9707510,24112400,0.00
20171214,0.003543,0.003817,0.003408,0.003488,7305540,24396800,0.00
20171213,0.003275,0.003719,0.002970,0.003555,8174590,22551800,0.00
20171212,0.003097,0.003488,0.002829,0.003300,8833330,21322700,0.00
20171211,0.002783,0.003250,0.002773,0.003112,7177960,19160400,0.00
20171210,0.003080,0.003102,0.002308,0.002811,6223730,21204500,0.00
20171209,0.003229,0.003241,0.002896,0.003064,5928670,22233600,0.00
20171208,0.003355,0.003381,0.002787,0.003224,8342530,23100500,0.00
20171207,0.003165,0.003415,0.003034,0.003329,8252790,21790900,0.00
20171206,0.002843,0.003335,0.002660,0.003168,6781930,19574600,0.00
20171205,0.003058,0.003086,0.002710,0.002815,6026500,21054700,0.00
20171204,0.002597,0.003166,0.002596,0.003034,6121450,17881500,0.00
20171203,0.002514,0.002730,0.002435,0.002606,6031110,17314100,0.00
20171202,0.002501,0.002643,0.002467,0.002524,4733940,17222400,0.00
20171201,0.002372,0.002606,0.002303,0.002502,3958710,16334800,0.00
20171130,0.002235,0.002416,0.001996,0.002353,5861000,15390200,0.00
20171129,0.002338,0.002621,0.002135,0.002217,5127660,16100800,0.00
20171128,0.002491,0.002646,0.002261,0.002330,5500940,17154800,0.00
20171127,0.002391,0.002515,0.002358,0.002496,5072640,16467000,0.00
20171126,0.002308,0.002584,0.002237,0.002394,4907990,15891100,0.00
20171125,0.002238,0.002324,0.002136,0.002311,4159790,15410100,0.00
20171124,0.002313,0.002325,0.002215,0.002244,3561320,15926500,0.00
20171123,0.002352,0.002505,0.002235,0.002310,4654660,16192800,0.00
20171122,0.002144,0.002310,0.002110,0.002310,4244050,14761200,0.00
20171121,0.002048,0.002165,0.001974,0.002134,4173200,14104500,0.00
20171120,0.002228,0.002305,0.002016,0.002042,6120070,15340200,0.00
20171119,0.002142,0.002229,0.002130,0.002226,4166750,14750100,0.00
20171118,0.002169,0.002182,0.002107,0.002153,4550840,14932100,0.00
20171117,0.002258,0.002324,0.002109,0.002176,3733240,15546900,0.00
20171116,0.002167,0.002294,0.002133,0.002252,5437280,14918100,0.00
20171115,0.002068,0.002244,0.002068,0.002150,2979300,14241000,0.00
20171114,0.001923,0.002163,0.001775,0.002067,4082540,13241000,0.00
20171113,0.001761,0.002057,0.001725,0.001921,4444960,12124000,0.00
20171112,0.002078,0.002085,0.001700,0.001761,3304080,14309400,0.00
20171111,0.002186,0.002276,0.002067,0.002084,3515880,15051400,0.00
20171110,0.002495,0.002543,0.002181,0.002194,4370460,17176600,0.00
20171109,0.002285,0.002530,0.002225,0.002487,4202440,15733600,0.00
20171108,0.002239,0.002303,0.002130,0.002288,3752970,15418800,0.00
20171107,0.002215,0.002327,0.002206,0.002241,2554800,15251200,0.00
20171106,0.002302,0.002432,0.002168,0.002206,3871010,15854000,0.00
20171105,0.002377,0.002614,0.002269,0.002296,3637280,16367300,0.00
20171104,0.001823,0.002678,0.001756,0.002376,5717950,12552700,0.00
20171103,0.001950,0.001950,0.001710,0.001822,3328880,13426000,0.00
20171102,0.001882,0.002103,0.001622,0.001910,4996510,12958200,0.00
20171101,0.002053,0.002065,0.001802,0.001892,3076030,14137200,0.00
20171031,0.002321,0.002366,0.001950,0.002079,3165680,15984000,0.00
20171030,0.002912,0.003136,0.002267,0.002333,3646160,20050200,0.00
20171029,0.001488,0.003999,0.001484,0.002939,28586000,10243300,0.00
20171028,0.001544,0.001587,0.001490,0.001490,3220300,10629400,0.00
20171027,0.001617,0.001690,0.001528,0.001552,2693790,11134600,0.00
20171026,0.001598,0.001771,0.001544,0.001604,3380020,11001700,0.00
20171025,0.001981,0.002077,0.001551,0.001594,2182810,13643900,0.00
20171024,0.001189,0.002581,0.001135,0.001992,5292180,8187680,0.00
20171023,0.001372,0.001372,0.001180,0.001191,2985650,9448560,0.00
20171022,0.001373,0.001485,0.001286,0.001374,3143360,9454200,0.00
20171021,0.001267,0.001396,0.001166,0.001371,3020800,8727520,0.00
20171020,0.001381,0.001411,0.001219,0.001275,2881480,9510260,0.00
20171019,0.001458,0.001490,0.001308,0.001397,5041870,10036000,0.00
20171018,0.001439,0.001559,0.001358,0.001464,4768100,9907320,0.00
20171017,0.001596,0.001621,0.001399,0.001440,8221320,10990800,0.00
20171016,0.001665,0.001706,0.001549,0.001603,5223620,11463000,0.00
20171015,0.001743,0.001744,0.001514,0.001692,3059060,11999200,0.00
20171014,0.001432,0.001765,0.001376,0.001707,3001000,9860000,0.00
20171013,0.001735,0.001753,0.001346,0.001436,3562750,11945100,0.00
20171012,0.001753,0.001834,0.001626,0.001715,3524590,12072000,0.00
20171011,0.001572,0.001863,0.001526,0.001830,3322560,10822200,0.00
20171010,0.001530,0.001780,0.001516,0.001571,3023180,10532200,0.00
20171009,0.001713,0.001918,0.001539,0.001597,3712950,11794800,0.00
20171008,0.002082,0.002090,0.001692,0.001701,3185080,14336600,0.00
20171007,0.002016,0.002109,0.002000,0.002083,2381090,13884800,0.00
