date,open,high,low,close,volume,marketcap,average
20180110,0.324311,0.388423,0.317692,0.388423,95147,5815120,0.35
20180109,0.364975,0.427476,0.307683,0.323854,115142,6538730,0.37
20180108,0.439598,0.441416,0.275483,0.364962,250536,7869140,0.36
20180107,0.206285,0.472779,0.178486,0.442206,500553,3689450,0.33
20180106,0.208136,0.240532,0.184693,0.206438,72657,3719440,0.21
20180105,0.199528,0.239289,0.188749,0.207974,61222,3562670,0.21
20180104,0.181704,0.224323,0.167860,0.199487,60970,3241700,0.20
20180103,0.187977,0.188773,0.151096,0.180738,71929,3350740,0.17
20180102,0.200459,0.216025,0.166092,0.188622,67928,3570180,0.19
20180101,0.183994,0.206658,0.152086,0.200488,72736,3274180,0.18
20171231,0.173853,0.199603,0.144894,0.170465,112774,3091110,0.17
20171230,0.196985,0.196985,0.111326,0.176812,142752,3499480,0.15
20171229,0.080103,0.213609,0.077898,0.197482,254166,1421880,0.15
20171228,0.093121,0.111244,0.063555,0.079285,65059,1651570,0.09
20171227,0.100440,0.107407,0.083307,0.093350,56122,1779510,0.10
20171226,0.078840,0.104269,0.078840,0.100384,49193,1395910,0.09
20171225,0.063583,0.079374,0.058326,0.078920,28397,1124850,0.07
20171224,0.065926,0.076540,0.054873,0.062931,35857,1165370,0.07
20171223,0.048711,0.068494,0.048554,0.065212,12355,860317,0.06
20171222,0.055967,0.063009,0.039473,0.048254,14132,987622,0.05
20171221,0.051986,0.060294,0.040558,0.055773,17932,916583,0.05
20171220,0.066769,0.067039,0.033398,0.051850,29746,1176210,0.05
20171219,0.074559,0.075382,0.053917,0.066835,15818,1312320,0.06
20171218,0.060280,0.077529,0.055142,0.074497,16934,1060080,0.07
20171217,0.046787,0.073128,0.043572,0.060098,39285,822080,0.06
20171216,0.042110,0.047048,0.036160,0.046677,19401,739290,0.04
20171215,0.045166,0.069057,0.036463,0.042055,9057,792236,0.05
20171214,0.052381,0.054345,0.027182,0.045096,18777,918004,0.04
20171213,0.059677,0.060730,0.048806,0.052549,21669,1044990,0.05
20171212,0.069783,0.077550,0.053780,0.059625,14648,1220940,0.07
20171211,0.064212,0.071298,0.056969,0.069559,21775,1122510,0.06
20171210,0.063367,0.068623,0.050509,0.064683,5359,1106790,0.06
20171209,0.064746,0.075243,0.056758,0.063113,8239,1129890,0.07
20171208,0.079430,0.091296,0.055472,0.064811,28004,1384950,0.07
20171207,0.064956,0.101074,0.055878,0.079244,42226,1131610,0.08
20171206,0.054722,0.078728,0.049275,0.065068,64678,952495,0.06
20171205,0.056270,0.058731,0.043632,0.054844,30361,978591,0.05
20171204,0.058874,0.061232,0.041954,0.056159,44480,1023020,0.05
20171203,0.053293,0.069206,0.049162,0.058726,52317,925255,0.06
20171202,0.038923,0.083779,0.036331,0.053241,74834,675180,0.06
20171201,0.034402,0.042252,0.032297,0.038956,13808,596247,0.04
20171130,0.035151,0.037713,0.028218,0.034574,6006,608683,0.03
20171129,0.031513,0.042553,0.029132,0.034620,10165,545233,0.04
20171128,0.032798,0.036784,0.027714,0.031545,7651,566970,0.03
20171127,0.028889,0.033842,0.024013,0.032716,12239,498972,0.03
20171126,0.032132,0.040154,0.022819,0.028883,9266,554503,0.03
20171125,0.033148,0.036712,0.031620,0.032143,4526,571529,0.03
20171124,0.028094,0.033257,0.027857,0.033216,2793,483970,0.03
20171123,0.029921,0.043415,0.028135,0.028135,12516,514984,0.04
20171122,0.025840,0.032053,0.025219,0.030027,7231,444346,0.03
20171121,0.025375,0.032126,0.023782,0.025777,2206,435948,0.03
20171120,0.026793,0.027351,0.022955,0.025370,3955,459866,0.03
20171119,0.024650,0.029839,0.023575,0.026811,6404,422701,0.03
20171118,0.023136,0.024760,0.018619,0.024695,4897,396376,0.02
20171117,0.019396,0.024236,0.017845,0.023225,3435,332004,0.02
20171116,0.021987,0.022981,0.018737,0.019430,4487,376012,0.02
20171115,0.022874,0.023814,0.016430,0.021871,7857,390827,0.02
20171114,0.023972,0.025708,0.022858,0.022858,1468,409194,0.02
20171113,0.024648,0.031671,0.020439,0.023921,6119,420342,0.03
20171112,0.029872,0.031071,0.020804,0.024612,3740,508975,0.03
20171111,0.027200,0.032013,0.023971,0.029893,3785,463031,0.03
20171110,0.029008,0.030044,0.024194,0.027327,288,493358,0.03
20171109,0.028465,0.035213,0.027234,0.028893,761,483673,0.03
20171108,0.027218,0.034770,0.026904,0.028495,4312,462058,0.03
20171107,0.026358,0.028554,0.024684,0.027304,5762,447058,0.03
20171106,0.026518,0.035385,0.024997,0.026401,1883,449348,0.03
20171105,0.026919,0.029547,0.026083,0.026459,2429,455741,0.03
20171104,0.028224,0.029670,0.026770,0.026959,2353,477378,0.03
20171103,0.035743,0.039624,0.024589,0.028295,7575,603739,0.03
20171102,0.040971,0.041179,0.032409,0.035827,2977,691682,0.04
20171101,0.036299,0.040995,0.032093,0.040923,3699,612260,0.04
20171031,0.050680,0.052940,0.034404,0.036331,5158,854075,0.04
20171030,0.035707,0.050854,0.032506,0.050854,1627,601190,0.04
20171029,0.037869,0.041715,0.029448,0.035918,2320,637024,0.04
20171028,0.030425,0.044954,0.027273,0.037921,6069,511328,0.04
20171027,0.039111,0.040738,0.030328,0.030343,930,656743,0.04
20171026,0.042203,0.045801,0.037988,0.039112,3575,708010,0.04
20171025,0.036657,0.046963,0.036469,0.042208,4182,614383,0.04
20171024,0.040408,0.046166,0.034387,0.036642,2848,676638,0.04
20171023,0.052995,0.055286,0.034403,0.040228,9688,886592,0.04
20171022,0.044561,0.058518,0.038019,0.053528,11906,744813,0.05
20171021,0.038269,0.059954,0.027835,0.044547,6508,639078,0.04
20171020,0.042769,0.046920,0.029866,0.038351,4826,713560,0.04
20171019,0.044318,0.053515,0.037212,0.042758,3388,738635,0.05
20171018,0.033256,0.049051,0.032603,0.044295,4648,553807,0.04
20171017,0.044727,0.047376,0.033091,0.033253,2932,744149,0.04
20171016,0.044209,0.053462,0.040215,0.044721,169,734849,0.05
20171015,0.051339,0.051505,0.035959,0.044203,2327,852568,0.04
20171014,0.049858,0.056065,0.045373,0.051247,4268,827209,0.05
20171013,0.062658,0.062686,0.038668,0.049845,7809,1038610,0.05
20171012,0.038873,0.062465,0.038826,0.062465,6818,643776,0.05
20171011,0.045261,0.050859,0.038790,0.038840,5318,748875,0.04
20171010,0.044090,0.050703,0.043978,0.045268,2984,728813,0.05
20171009,0.054043,0.059693,0.037382,0.044093,10249,892515,0.05
20171008,0.047686,0.072830,0.046799,0.054029,9596,786798,0.06
20171007,0.044559,0.049992,0.039148,0.047814,4277,734526,0.04
20171006,0.048072,0.048075,0.042996,0.044545,5102,791716,0.05
20171005,0.035228,0.048510,0.035075,0.048072,8077,579625,0.04
20171004,0.042958,0.052415,0.035192,0.035196,6001,706178,0.04
20171003,0.046684,0.055406,0.041763,0.042861,6463,766706,0.05
20171002,0.036024,0.080338,0.034118,0.046682,16005,591079,0.06
20171001,0.045150,0.045211,0.030397,0.036040,4776,740142,0.04
20170930,0.041799,0.045577,0.034902,0.045126,6232,684589,0.04
20170929,0.027151,0.044698,0.027149,0.041793,3209,444264,0.04
20170928,0.047003,0.050762,0.026700,0.027172,7656,768383,0.04
20170927,0.047880,0.053535,0.042847,0.047004,4251,782010,0.05
20170926,0.040586,0.055327,0.040555,0.048013,6630,662291,0.05
