date,open,high,low,close,volume,marketcap,average
20180110,0.000119,0.000147,0.000115,0.000147,946682,64211800,0.00
20180109,0.000137,0.000142,0.000114,0.000119,642414,73794200,0.00
20180108,0.000151,0.000159,0.000125,0.000137,1147370,81596300,0.00
20180107,0.000149,0.000154,0.000115,0.000151,1755510,80426400,0.00
20180106,0.000047,0.000151,0.000047,0.000151,1132000,25155600,0.00
20180105,0.000041,0.000047,0.000039,0.000047,439026,21951600,0.00
20180104,0.000038,0.000043,0.000035,0.000041,415022,20569600,0.00
20180103,0.000031,0.000040,0.000030,0.000039,203918,16442600,0.00
20180102,0.000025,0.000033,0.000024,0.000031,174878,13339400,0.00
20180101,0.000032,0.000032,0.000022,0.000025,120479,16983700,0.00
20171231,0.000024,0.000034,0.000023,0.000031,60576,13120200,0.00
20171230,0.000025,0.000026,0.000021,0.000025,65959,13669700,0.00
20171229,0.000026,0.000034,0.000025,0.000032,125244,14024600,0.00
20171228,0.000024,0.000026,0.000021,0.000026,257054,13057700,0.00
20171227,0.000040,0.000043,0.000017,0.000024,204670,21322200,0.00
20171226,0.000041,0.000060,0.000032,0.000040,38855,22102300,0.00
20171225,0.000029,0.000049,0.000020,0.000042,60791,15546400,0.00
20171224,0.000026,0.000035,0.000020,0.000028,24335,14233700,0.00
20171223,0.000064,0.000068,0.000026,0.000026,22510,34703300,0.00
20171222,0.000046,0.000078,0.000032,0.000064,28458,25056800,0.00
20171221,0.000018,0.000049,0.000018,0.000045,53644,9729770,0.00
20171220,0.000012,0.000018,0.000010,0.000018,16769,6554320,0.00
20171219,0.000019,0.000020,0.000012,0.000012,39909,10497000,0.00
20171218,0.000035,0.000050,0.000018,0.000019,62109,18785000,0.00
20171217,0.000044,0.000044,0.000021,0.000035,32384,23946900,0.00
20171216,0.000009,0.000054,0.000009,0.000045,30173,4989930,0.00
20171215,0.000013,0.000014,0.000008,0.000009,14528,6832160,0.00
20171214,0.000019,0.000020,0.000012,0.000013,16709,10137500,0.00
20171213,0.000014,0.000019,0.000012,0.000019,11345,7694800,0.00
20171212,0.000015,0.000015,0.000010,0.000014,40356,8041780,0.00
20171211,0.000047,0.000052,0.000015,0.000015,16521,25114900,0.00
20171210,0.000010,0.000100,0.000010,0.000047,34809,5452950,0.00
20171209,0.000007,0.000010,0.000006,0.000010,3009,3746070,0.00
20171208,0.000007,0.000010,0.000006,0.000007,12753,3819260,0.00
20171207,0.000007,0.000008,0.000005,0.000007,18802,3781480,0.00
20171206,0.000023,0.000035,0.000007,0.000007,4972,12498600,0.00
20171205,0.000014,0.000024,0.000009,0.000023,2899,7699470,0.00
20171204,0.000012,0.000022,0.000011,0.000014,2829,6376070,0.00
20171203,0.000023,0.000033,0.000010,0.000013,4463,12494800,0.00
20171202,0.000011,0.000031,0.000011,0.000022,2300,6076030,0.00
20171201,0.000009,0.000015,0.000006,0.000011,2791,4668670,0.00
20171130,0.000012,0.000017,0.000007,0.000009,5539,6316080,0.00
20171129,0.000014,0.000016,0.000009,0.000012,3447,7409590,0.00
20171128,0.000005,0.000014,0.000005,0.000014,2925,2797300,0.00
20171127,0.000023,0.000025,0.000005,0.000005,3852,12458300,0.00
20171126,0.000004,0.000044,0.000004,0.000023,4445,2236980,0.00
20171125,0.000010,0.000012,0.000003,0.000004,11061,5303120,0.00
20171124,0.000014,0.000014,0.000005,0.000010,2876,7300100,0.00
20171123,0.000009,0.000016,0.000009,0.000013,5298,4842270,0.00
20171122,0.000011,0.000011,0.000006,0.000009,5994,5989290,0.00
20171121,0.000038,0.000042,0.000011,0.000011,3045,20638600,0.00
20171120,0.000028,0.000050,0.000027,0.000038,4398,15277000,0.00
20171119,0.000008,0.000029,0.000008,0.000028,3322,4514100,0.00
20171118,0.000021,0.000025,0.000004,0.000008,6355,11474600,0.00
20171117,0.000024,0.000042,0.000021,0.000021,5677,12957200,0.00
20171116,0.000027,0.000031,0.000019,0.000024,3582,14687000,0.00
20171115,0.000006,0.000027,0.000006,0.000027,1671,3434710,0.00
20171114,0.000009,0.000011,0.000005,0.000006,1066,4890770,0.00
20171113,0.000004,0.000011,0.000004,0.000009,2498,1955790,0.00
20171112,0.000007,0.000010,0.000004,0.000004,1880,3562590,0.00
20171111,0.000012,0.000013,0.000006,0.000007,2018,6508310,0.00
20171110,0.000008,0.000013,0.000007,0.000012,3444,4286760,0.00
20171109,0.000007,0.000010,0.000006,0.000008,5025,3643550,0.00
20171108,0.000030,0.000033,0.000006,0.000007,3986,16071400,0.00
20171107,0.000008,0.000030,0.000006,0.000030,5239,4485220,0.00
20171106,0.000014,0.000026,0.000008,0.000008,6788,7719740,0.00
20171105,0.000004,0.000016,0.000004,0.000014,4038,2325280,0.00
20171104,0.000008,0.000021,0.000004,0.000004,3856,4073090,0.00
20171103,0.000004,0.000008,0.000003,0.000008,9702,2283840,0.00
20171102,0.000019,0.000019,0.000004,0.000004,4707,10139500,0.00
20171101,0.000011,0.000019,0.000008,0.000019,2313,5759710,0.00
20171031,0.000018,0.000020,0.000009,0.000011,2592,9755950,0.00
20171030,0.000039,0.000039,0.000014,0.000018,4506,20674800,0.00
20171029,0.000025,0.000047,0.000025,0.000038,11412,13473900,0.00
20171028,0.000044,0.000044,0.000012,0.000025,8693,23492200,0.00
20171027,0.000007,0.000054,0.000005,0.000044,24261,3873150,0.00
20171026,0.000016,0.000023,0.000007,0.000007,5870,8681570,0.00
20171025,0.000043,0.000044,0.000016,0.000019,3634,22864700,0.00
20171024,0.000007,0.000048,0.000007,0.000043,25702,3658430,0.00
20171023,0.000008,0.000013,0.000005,0.000007,3544,4545430,0.00
20171022,0.000014,0.000014,0.000005,0.000008,4517,7534180,0.00
20171021,0.000013,0.000024,0.000013,0.000014,4218,6990680,0.00
20171020,0.000006,0.000014,0.000004,0.000013,2226,3242050,0.00
20171019,0.000005,0.000007,0.000004,0.000006,3486,2611240,0.00
20171018,0.000014,0.000015,0.000004,0.000005,3796,7393490,0.00
20171017,0.000012,0.000015,0.000007,0.000014,4450,6509110,0.00
20171016,0.000010,0.000014,0.000009,0.000012,3627,5281430,0.00
20171015,0.000013,0.000014,0.000007,0.000010,4970,6956080,0.00
20171014,0.000019,0.000024,0.000013,0.000013,2977,10281000,0.00
20171013,0.000020,0.000037,0.000017,0.000019,5367,10626400,0.00
20171012,0.000023,0.000036,0.000012,0.000020,20534,12396200,0.00
20171011,0.000004,0.000023,0.000003,0.000023,12023,1909470,0.00
20171010,0.000008,0.000008,0.000004,0.000004,12801,4046700,0.00
20171009,0.000004,0.000008,0.000004,0.000008,2262,2359720,0.00
20171008,0.000006,0.000007,0.000004,0.000004,2779,3037980,0.00
20171007,0.000003,0.000007,0.000003,0.000006,2406,1722680,0.00
20171006,0.000003,0.000004,0.000002,0.000003,21894,1706140,0.00
20171005,0.000007,0.000008,0.000003,0.000003,8165,3635040,0.00
20171004,0.000006,0.000007,0.000004,0.000007,1543,3014070,0.00
20171003,0.000008,0.000008,0.000006,0.000006,9443,4185080,0.00
20171002,0.000016,0.000022,0.000007,0.000008,4685,8789210,0.00
20171001,0.000013,0.000018,0.000005,0.000016,5075,7023970,0.00
20170930,0.000004,0.000013,0.000004,0.000013,1500,1976790,0.00
20170929,0.000016,0.000017,0.000004,0.000004,3858,8795790,0.00
20170928,0.000007,0.000017,0.000006,0.000017,1932,3767930,0.00
20170927,0.000009,0.000014,0.000007,0.000007,3274,4698080,0.00
20170926,0.000004,0.000009,0.000003,0.000009,5548,2201640,0.00
20170925,0.000007,0.000009,0.000004,0.000004,7983,3859810,0.00
20170924,0.000005,0.000008,0.000003,0.000007,1832,2492730,0.00
20170923,0.000004,0.000005,0.000004,0.000005,2904,2153710,0.00
20170922,0.000004,0.000006,0.000004,0.000004,2998,2181610,0.00
20170921,0.000011,0.000011,0.000004,0.000004,3678,5619140,0.00
20170920,0.000009,0.000018,0.000009,0.000011,2071,4948660,0.00
20170919,0.000006,0.000009,0.000005,0.000009,5885,2990570,0.00
20170918,0.000004,0.000006,0.000004,0.000006,6691,2325370,0.00
20170917,0.000005,0.000005,0.000004,0.000004,7228,2724120,0.00
20170916,0.000005,0.000005,0.000004,0.000005,2545,2639380,0.00
20170915,0.000005,0.000006,0.000004,0.000005,4254,2615880,0.00
20170914,0.000006,0.000007,0.000005,0.000005,1830,3112810,0.00
20170913,0.000008,0.000009,0.000005,0.000006,3284,4081440,0.00
20170912,0.000008,0.000009,0.000006,0.000008,5416,4257070,0.00
20170911,0.000009,0.000010,0.000008,0.000008,5454,4807950,0.00
20170910,0.000005,0.000009,0.000005,0.000009,6300,2796580,0.00
20170909,0.000008,0.000008,0.000005,0.000005,23464,4209850,0.00
20170908,0.000006,0.000008,0.000005,0.000008,2122,3149210,0.00
20170907,0.000006,0.000010,0.000005,0.000006,6310,3349730,0.00
20170906,0.000009,0.000013,0.000006,0.000006,1800,4577280,0.00
20170905,0.000008,0.000009,0.000004,0.000009,5918,4263900,0.00
20170904,0.000008,0.000009,0.000006,0.000008,2825,4185990,0.00
20170903,0.000006,0.000011,0.000006,0.000009,4513,3139560,0.00
20170902,0.000006,0.000006,0.000004,0.000005,7691,3180220,0.00
20170901,0.000007,0.000008,0.000005,0.000006,14714,3767510,0.00
20170831,0.000007,0.000008,0.000006,0.000007,7186,3642740,0.00
20170830,0.000010,0.000011,0.000007,0.000007,16207,5070170,0.00
20170829,0.000005,0.000010,0.000005,0.000009,9104,2638160,0.00
20170828,0.000005,0.000006,0.000004,0.000005,7621,2696420,0.00
20170827,0.000006,0.000007,0.000005,0.000005,6009,3158970,0.00
20170826,0.000013,0.000014,0.000006,0.000006,2850,7175520,0.00
20170825,0.000024,0.000025,0.000008,0.000013,4393,12769000,0.00
20170824,0.000006,0.000024,0.000004,0.000024,8821,3322290,0.00
20170823,0.000010,0.000021,0.000006,0.000006,7277,5148880,0.00
20170822,0.000005,0.000010,0.000004,0.000010,3615,2639820,0.00
20170821,0.000005,0.000008,0.000005,0.000005,1315,2769730,0.00
20170820,0.000007,0.000009,0.000003,0.000005,2729,3563890,0.00
20170819,0.000007,0.000007,0.000004,0.000007,2626,3568300,0.00
20170818,0.000009,0.000018,0.000006,0.000007,1696,4882840,0.00
20170817,0.000014,0.000019,0.000005,0.000009,2835,7191400,0.00
20170816,0.000019,0.000019,0.000011,0.000014,1854,10010800,0.00
20170815,0.000009,0.000024,0.000009,0.000019,3577,5054320,0.00
20170814,0.000005,0.000010,0.000003,0.000009,4730,2438520,0.00
20170813,0.000009,0.000010,0.000004,0.000005,4804,4745530,0.00
20170812,0.000007,0.000013,0.000006,0.000009,4748,3817340,0.00
20170811,0.000008,0.000008,0.000004,0.000007,3092,4109390,0.00
20170810,0.000020,0.000025,0.000007,0.000008,8373,10396000,0.00
20170809,0.000005,0.000020,0.000005,0.000020,8818,2864270,0.00
20170808,0.000004,0.000007,0.000003,0.000005,4696,2017830,0.00
20170807,0.000007,0.000007,0.000003,0.000004,2140,3488630,0.00
20170806,0.000005,0.000008,0.000004,0.000007,2521,2497750,0.00
20170805,0.000014,0.000017,0.000004,0.000005,3680,7591930,0.00
20170804,0.000004,0.000015,0.000004,0.000014,4936,2224420,0.00
20170803,0.000007,0.000013,0.000004,0.000004,3726,3808170,0.00
20170802,0.000003,0.000007,0.000002,0.000007,6313,1339860,0.00
20170801,0.000006,0.000006,0.000003,0.000003,4939,2945070,0.00
20170731,0.000006,0.000007,0.000005,0.000006,4785,3201920,0.00
20170730,0.000003,0.000007,0.000003,0.000006,3202,1426640,0.00
20170729,0.000004,0.000004,0.000003,0.000003,11038,2338280,0.00
20170728,0.000005,0.000005,0.000004,0.000004,4406,2670520,0.00
20170727,0.000005,0.000006,0.000004,0.000005,7031,2719990,0.00
20170726,0.000007,0.000008,0.000004,0.000005,5532,3968430,0.00
20170725,0.000010,0.000011,0.000005,0.000007,4733,5080180,0.00
20170724,0.000005,0.000016,0.000005,0.000009,4915,2910290,0.00
20170723,0.000010,0.000010,0.000004,0.000005,16087,5240420,0.00
20170722,0.000010,0.000014,0.000007,0.000010,2000,5528170,0.00
20170721,0.000006,0.000011,0.000006,0.000011,3758,3363070,0.00
20170720,0.000004,0.000007,0.000004,0.000006,6167,2039070,0.00
20170719,0.000006,0.000006,0.000003,0.000004,12553,3132040,0.00
20170718,0.000004,0.000006,0.000004,0.000006,10322,1969160,0.00
20170717,0.000005,0.000005,0.000004,0.000004,20730,2626890,0.00
20170716,0.000008,0.000008,0.000005,0.000005,12622,4090650,0.00
20170715,0.000006,0.000009,0.000006,0.000008,10170,3060220,0.00
20170714,0.000006,0.000016,0.000006,0.000006,11632,3333930,0.00
20170713,0.000006,0.000007,0.000005,0.000006,19228,2933930,0.00
20170712,0.000004,0.000006,0.000004,0.000006,4765,2193270,0.00
20170711,0.000005,0.000005,0.000004,0.000004,9802,2472200,0.00
20170710,0.000013,0.000013,0.000004,0.000005,4407,6675870,0.00
20170709,0.000011,0.000014,0.000009,0.000013,6598,5921730,0.00
20170708,0.000008,0.000012,0.000007,0.000011,12609,4159290,0.00
20170707,0.000011,0.000014,0.000007,0.000008,9354,5932900,0.00
20170706,0.000003,0.000014,0.000003,0.000011,3893,1739030,0.00
20170705,0.000007,0.000008,0.000003,0.000003,4577,3921820,0.00
20170704,0.000004,0.000008,0.000004,0.000007,2393,1900080,0.00
20170703,0.000003,0.000004,0.000002,0.000004,5084,1499330,0.00
20170702,0.000015,0.000015,0.000003,0.000003,6264,7776020,0.00
20170701,0.000008,0.000019,0.000007,0.000015,4548,4127060,0.00
20170630,0.000010,0.000011,0.000007,0.000008,2948,5140520,0.00
20170629,0.000004,0.000012,0.000004,0.000010,3165,2373860,0.00
20170628,0.000007,0.000007,0.000003,0.000004,1669,3570980,0.00
20170627,0.000003,0.000007,0.000003,0.000007,1089,1764860,0.00
