date,open,high,low,close,volume,marketcap,average
20180110,10.49,11.23,9.07,10.22,321638,53941900,10.15
20180109,10.49,11.43,8.94,10.48,413506,53968500,10.18
20180108,9.14,13.39,8.32,10.52,731426,47009700,10.86
20180107,7.71,9.88,7.13,9.44,555711,39642200,8.51
20180106,5.33,7.72,4.70,7.71,395799,27410200,6.21
20180105,4.69,5.55,4.14,5.33,234907,24123000,4.84
20180104,4.11,4.97,3.93,4.69,249119,21123100,4.45
20180103,3.41,4.96,2.74,4.08,477770,17552100,3.85
20180102,2.04,3.15,2.04,2.98,158455,10481600,2.59
20180101,1.98,2.58,1.89,1.89,67655,10163900,2.23
20171231,1.90,2.23,1.47,1.97,62697,9795850,1.85
20171230,1.74,1.95,1.46,1.48,57356,8940740,1.71
20171229,1.47,2.23,1.39,1.74,152667,7552800,1.81
20171228,1.36,1.83,1.21,1.45,189493,6991180,1.52
20171227,1.26,1.48,1.25,1.36,63631,6499720,1.36
20171226,1.46,1.57,1.24,1.24,52794,7522120,1.41
20171225,1.27,1.76,1.11,1.46,65175,6526580,1.44
20171224,1.29,1.39,1.04,1.26,75099,6649810,1.21
20171223,1.16,1.49,1.14,1.28,43795,5989340,1.31
20171222,1.22,1.25,0.949642,1.15,39800,6260200,1.10
20171221,1.31,1.45,1.20,1.21,44018,6747660,1.32
20171220,1.40,1.54,1.12,1.31,96874,7219630,1.33
20171219,1.56,1.90,1.13,1.44,171551,8001380,1.51
20171218,1.12,1.89,1.07,1.55,133566,5763220,1.48
20171217,1.08,1.16,1.01,1.12,32225,5530990,1.08
20171216,1.01,1.16,0.844399,1.08,35269,5215980,1.00
20171215,0.914736,1.05,0.850592,1.01,36473,4704490,0.95
20171214,0.834450,1.04,0.767029,0.915372,64938,4291580,0.90
20171213,0.993733,1.09,0.732496,0.837114,62863,5110780,0.91
20171212,1.05,1.14,0.918547,0.988093,40600,5390770,1.03
20171211,1.31,1.39,0.933860,1.05,25924,6743680,1.16
20171210,1.05,1.33,0.892755,1.32,34449,5415620,1.11
20171209,1.14,1.40,0.993421,1.05,11274,5855170,1.20
20171208,1.25,1.48,0.948154,1.14,124054,6418350,1.21
20171207,1.65,1.88,1.02,1.25,103217,8475780,1.45
20171206,1.25,1.75,1.25,1.63,61126,6446220,1.50
20171205,1.69,1.87,1.26,1.26,101201,8691020,1.56
20171204,1.35,1.67,1.35,1.59,77353,6953970,1.51
20171203,1.13,1.39,0.985910,1.35,54621,5792330,1.19
20171202,1.31,1.33,1.11,1.13,26143,6717400,1.22
20171201,1.08,1.37,0.970215,1.31,52974,5551120,1.17
20171130,1.18,1.55,0.832391,1.04,67737,6073960,1.19
20171129,0.945240,1.63,0.875395,1.19,113301,4861380,1.25
20171128,0.848230,1.96,0.821854,0.993486,230553,,1.39
20171127,0.822199,0.846038,0.821619,0.846038,56068,,0.83
