date,open,high,low,close,volume,marketcap,average
20180110,0.136503,0.141401,0.099511,0.121643,43644,17839800,0.12
20180109,0.134876,0.146957,0.120164,0.143475,79590,17622900,0.13
20180108,0.114615,0.144099,0.080310,0.135385,137709,14972100,0.11
20180107,0.106910,0.123605,0.085358,0.101129,26735,13962100,0.10
20180106,0.081672,0.124536,0.072341,0.106988,39839,10663600,0.10
20180105,0.107587,0.115736,0.081393,0.081617,34336,14044000,0.10
20180104,0.058726,0.120895,0.058655,0.108001,92079,7664040,0.09
20180103,0.061983,0.069241,0.052755,0.058434,25803,8087020,0.06
20180102,0.050963,0.064937,0.050602,0.062200,25074,6647750,0.06
20180101,0.054591,0.060343,0.038862,0.050966,25465,7119170,0.05
20171231,0.052598,0.057707,0.046053,0.049666,5912,6857700,0.05
20171230,0.051153,0.059350,0.040981,0.053170,21530,6667740,0.05
20171229,0.046556,0.060266,0.039573,0.051405,23685,6067060,0.05
20171228,0.051572,0.052412,0.039153,0.046043,9426,6719150,0.05
20171227,0.051311,0.064429,0.040874,0.051679,26153,6683530,0.05
20171226,0.040596,0.057561,0.039290,0.051272,24118,5286610,0.05
20171225,0.040716,0.047061,0.024380,0.040635,27065,5300930,0.04
20171224,0.027266,0.041498,0.023593,0.040300,36904,3548970,0.03
20171223,0.026401,0.029228,0.021499,0.026969,19307,3435610,0.03
20171222,0.028371,0.028635,0.017813,0.025200,16404,3691110,0.02
20171221,0.025108,0.031695,0.024706,0.028275,20603,3265710,0.03
20171220,0.023313,0.028112,0.020665,0.025048,12599,3031550,0.02
20171219,0.024097,0.025549,0.022168,0.023333,9581,3132680,0.02
20171218,0.023237,0.024076,0.020722,0.024076,2864,3020250,0.02
20171217,0.021192,0.025202,0.020610,0.023170,4925,2753730,0.02
20171216,0.018820,0.021836,0.018632,0.021276,4246,2444970,0.02
20171215,0.018993,0.020342,0.018596,0.018795,2216,2466820,0.02
20171214,0.018651,0.020551,0.018521,0.018961,1874,2421900,0.02
20171213,0.020881,0.021242,0.018511,0.018720,3723,2710760,0.02
20171212,0.021104,0.022531,0.019540,0.020861,7128,2739090,0.02
20171211,0.019733,0.021929,0.019648,0.021037,3630,2560610,0.02
20171210,0.020073,0.020500,0.016557,0.019114,6464,2604100,0.02
20171209,0.021186,0.022498,0.019355,0.019997,1455,2747920,0.02
20171208,0.023618,0.024345,0.019471,0.021206,6259,3062610,0.02
20171207,0.017043,0.024828,0.017043,0.023563,13237,2209410,0.02
20171206,0.015852,0.017636,0.015192,0.017069,5450,2054580,0.02
20171205,0.014210,0.016775,0.013750,0.015888,7597,1841230,0.02
20171204,0.015297,0.015818,0.013545,0.014182,1877,1981670,0.01
20171203,0.012836,0.016159,0.012836,0.015247,4128,1662470,0.01
20171202,0.014605,0.014980,0.012552,0.012556,4856,1891100,0.01
20171201,0.013311,0.016262,0.012218,0.014618,4871,1723100,0.01
20171130,0.011752,0.014693,0.011185,0.014044,3797,1520970,0.01
20171129,0.012258,0.013570,0.010706,0.011574,2796,1586060,0.01
20171128,0.013028,0.015403,0.011765,0.012270,4051,1685230,0.01
20171127,0.013721,0.014048,0.011312,0.014025,2135,1774540,0.01
20171126,0.012302,0.014586,0.011053,0.013719,6008,1590560,0.01
20171125,0.009424,0.013902,0.009263,0.013020,9037,1218250,0.01
20171124,0.009801,0.011251,0.009293,0.009444,4906,1266610,0.01
20171123,0.014838,0.014926,0.008016,0.009821,9913,1917100,0.01
20171122,0.017066,0.017820,0.013788,0.014872,25848,2204450,0.02
20171121,0.018324,0.019880,0.016503,0.017024,34382,2366410,0.02
20171120,0.017434,0.020129,0.016634,0.018320,39204,2251000,0.02
20171119,0.019214,0.020219,0.017165,0.017299,34345,2480200,0.02
20171118,0.021138,0.024408,0.017790,0.019243,82829,2727860,0.02
20171117,0.019555,0.020844,0.017412,0.018823,16797,2523050,0.02
20171116,0.020035,0.022019,0.018424,0.019352,25366,2584270,0.02
20171115,0.019762,0.024102,0.019701,0.019930,39255,2548430,0.02
20171114,0.019007,0.020619,0.018149,0.019808,16473,2450580,0.02
20171113,0.017496,0.020588,0.015613,0.018967,33508,2255230,0.02
20171112,0.019853,0.020182,0.015545,0.017471,57121,2558360,0.02
20171111,0.020670,0.022238,0.019453,0.019989,34948,2663040,0.02
20171110,0.025660,0.026676,0.020298,0.021307,67837,3305140,0.02
20171109,0.027241,0.027572,0.024884,0.025584,115907,3507980,0.03
20171108,0.033238,0.033238,0.022282,0.027640,443363,4279250,0.03
20171107,0.036572,0.037994,0.030330,0.033060,97392,4707410,0.03
20171106,0.036627,0.040446,0.034147,0.036429,48101,4713290,0.04
20171105,0.035761,0.038132,0.034568,0.036546,14863,4600760,0.04
20171104,0.033913,0.038301,0.032393,0.038301,27610,4362030,0.04
20171103,0.034897,0.036454,0.033021,0.034002,10088,4487420,0.03
20171102,0.034367,0.036512,0.031536,0.034942,29531,4418270,0.03
20171101,0.035435,0.035954,0.032805,0.034339,21428,4554410,0.03
20171031,0.035536,0.036205,0.033718,0.035461,18130,4566410,0.03
20171030,0.036631,0.038588,0.032983,0.035657,73807,4706030,0.04
20171029,0.034292,0.045023,0.034165,0.036293,79862,4404410,0.04
20171028,0.037548,0.037668,0.033403,0.034339,12385,4821460,0.04
20171027,0.035644,0.038119,0.032626,0.037659,23459,4575850,0.04
20171026,0.037063,0.038688,0.034799,0.035636,10273,4756920,0.04
20171025,0.037629,0.038627,0.032881,0.037067,35536,4828320,0.04
20171024,0.033312,0.041303,0.032400,0.037614,47691,4273390,0.04
20171023,0.036067,0.036180,0.031715,0.033385,11096,4625690,0.03
20171022,0.034955,0.037038,0.033327,0.036284,9792,4482080,0.04
20171021,0.037906,0.039822,0.032981,0.034945,29251,4859230,0.04
20171020,0.038488,0.041226,0.037398,0.037985,12555,4932660,0.04
20171019,0.038644,0.045836,0.037553,0.038477,40527,4951560,0.04
20171018,0.039324,0.039684,0.035192,0.038624,23526,5037470,0.04
20171017,0.043583,0.044750,0.038361,0.039322,28400,5581610,0.04
20171016,0.035404,0.050929,0.034499,0.043576,86460,4533120,0.04
20171015,0.035800,0.039200,0.033547,0.035400,21802,4582640,0.04
20171014,0.037029,0.038099,0.034925,0.035736,12787,4738840,0.04
20171013,0.038207,0.047309,0.033840,0.037019,77686,4888520,0.04
20171012,0.038608,0.041202,0.037212,0.038752,23225,4938640,0.04
20171011,0.035897,0.039422,0.035283,0.038575,25616,4590780,0.04
20171010,0.037822,0.038889,0.035472,0.035915,15323,4835730,0.04
20171009,0.043604,0.043604,0.037111,0.037643,33018,5573710,0.04
20171008,0.047085,0.047147,0.043019,0.043593,16573,6017230,0.05
20171007,0.047985,0.048811,0.045821,0.047217,13867,6130810,0.05
20171006,0.044740,0.055783,0.044356,0.047969,70669,5714850,0.05
20171005,0.043496,0.046260,0.043291,0.044740,15772,5554590,0.04
20171004,0.048146,0.049743,0.042077,0.044410,33289,6146940,0.05
20171003,0.049898,0.050955,0.046377,0.048035,10799,6369050,0.05
20171002,0.052921,0.055057,0.049768,0.049895,19774,6753370,0.05
20171001,0.053260,0.053570,0.051814,0.053210,14227,6794920,0.05
20170930,0.051737,0.054476,0.051737,0.053231,18214,6599050,0.05
20170929,0.052150,0.052822,0.049762,0.052235,13441,6650100,0.05
20170928,0.052425,0.055243,0.051166,0.052190,37907,6683580,0.05
20170927,0.050457,0.053634,0.050251,0.052423,18032,6431090,0.05
20170926,0.049627,0.051651,0.048674,0.050597,14682,6323880,0.05
20170925,0.047327,0.051294,0.046802,0.049632,20844,6029350,0.05
20170924,0.049155,0.049707,0.046401,0.047375,10471,6260730,0.05
20170923,0.049553,0.051836,0.047536,0.049234,44907,6309800,0.05
20170922,0.043844,0.053655,0.043458,0.050233,81602,5581450,0.05
20170921,0.050768,0.052799,0.043439,0.043894,39249,6461410,0.05
20170920,0.051169,0.053910,0.047974,0.050980,31822,6510810,0.05
20170919,0.050790,0.062956,0.047395,0.051237,146767,6461020,0.06
20170918,0.044867,0.052442,0.044867,0.050667,27843,5706210,0.05
20170917,0.044654,0.047514,0.040837,0.044957,18413,5677700,0.04
20170916,0.045307,0.047225,0.042419,0.044684,7922,5759280,0.04
20170915,0.039629,0.046901,0.034827,0.045108,50695,5036370,0.04
20170914,0.051317,0.052984,0.039242,0.039242,24615,6520130,0.05
20170913,0.060439,0.060439,0.049232,0.051282,47561,7677270,0.05
20170912,0.061930,0.064794,0.058316,0.060669,30220,7864860,0.06
20170911,0.063327,0.068040,0.059079,0.061991,27098,8040340,0.06
20170910,0.069919,0.071762,0.061858,0.063435,67920,8875080,0.07
20170909,0.068391,0.077971,0.065634,0.070057,116209,8678940,0.07
20170908,0.062643,0.088432,0.062082,0.068259,333056,7947600,0.08
20170907,0.064817,0.065625,0.058234,0.062631,55140,8221340,0.06
20170906,0.063361,0.068114,0.061357,0.064941,40105,8034820,0.06
20170905,0.062835,0.064214,0.054251,0.063154,50360,7966050,0.06
20170904,0.067912,0.074563,0.057284,0.061705,114707,8607790,0.07
20170903,0.068523,0.072704,0.064243,0.068026,60957,8682960,0.07
20170902,0.075768,0.080430,0.063277,0.068151,98593,9598720,0.07
20170901,0.077396,0.079857,0.075049,0.076268,67411,9802680,0.08
20170831,0.071876,0.081048,0.071208,0.077113,103586,9101230,0.08
20170830,0.066083,0.076208,0.065636,0.071788,136180,8365610,0.07
20170829,0.064148,0.080332,0.064148,0.066170,341239,8118750,0.07
20170828,0.056729,0.068111,0.054615,0.064840,129853,7177890,0.06
20170827,0.055277,0.060208,0.053123,0.056577,133434,6992490,0.06
20170826,0.047308,0.055180,0.044944,0.054087,88793,5982880,0.05
20170825,0.050395,0.051980,0.046883,0.047523,44058,6371830,0.05
20170824,0.047184,0.053695,0.046811,0.050517,90511,5964300,0.05
20170823,0.041269,0.060148,0.040897,0.047163,344691,5215340,0.05
20170822,0.041342,0.042157,0.036833,0.041390,27310,5223350,0.04
20170821,0.042280,0.045170,0.039257,0.041245,59342,5340510,0.04
20170820,0.037338,0.045015,0.034666,0.042599,107569,4715160,0.04
20170819,0.045543,0.045849,0.035339,0.037555,105491,5749880,0.04
20170818,0.051806,0.052430,0.044217,0.045582,44321,6538970,0.05
20170817,0.061948,0.062008,0.048877,0.051966,105537,7817280,0.06
20170816,0.046698,0.061831,0.044415,0.061178,205330,5891440,0.05
20170815,0.041208,0.047376,0.040955,0.046644,60828,5197400,0.04
20170814,0.043013,0.050478,0.038657,0.042916,60257,5423810,0.04
20170813,0.053213,0.054940,0.042785,0.043264,83134,6708410,0.05
20170812,0.058909,0.062985,0.049911,0.053262,49992,7424730,0.06
20170811,0.060421,0.060797,0.055745,0.058958,54516,7613470,0.06
20170810,0.062734,0.068080,0.059903,0.059903,41436,7902980,0.06
20170809,0.065660,0.066352,0.061108,0.062729,43818,8269560,0.06
20170808,0.067146,0.067289,0.061830,0.065703,62312,8454610,0.06
20170807,0.066508,0.072142,0.066064,0.067082,54264,8372270,0.07
20170806,0.066840,0.072666,0.065669,0.066657,61127,8411930,0.07
20170805,0.063276,0.069071,0.062364,0.066823,97862,7961500,0.07
20170804,0.061643,0.066806,0.060423,0.063524,52118,7754220,0.06
20170803,0.062154,0.064054,0.060328,0.061700,30822,7816520,0.06
20170802,0.061998,0.065801,0.058745,0.062044,48778,7795040,0.06
20170801,0.059650,0.063699,0.054298,0.062061,26055,7498000,0.06
20170731,0.057318,0.060674,0.051057,0.059760,37847,7203020,0.06
20170730,0.057522,0.059086,0.053586,0.056886,47284,7226840,0.06
20170729,0.058078,0.058110,0.054126,0.057099,31007,7294930,0.06
20170728,0.066678,0.067025,0.054723,0.058477,57298,8373050,0.06
20170727,0.060104,0.068189,0.058952,0.065915,77334,7545590,0.06
20170726,0.057890,0.060691,0.054003,0.059934,31910,7265870,0.06
20170725,0.073754,0.074061,0.053999,0.057863,84368,9254860,0.06
20170724,0.073122,0.077939,0.072016,0.073789,89684,9173290,0.07
20170723,0.075653,0.078986,0.070183,0.073207,81800,9488380,0.07
20170722,0.067774,0.077706,0.067660,0.076836,197225,8498220,0.07
20170721,0.073961,0.076622,0.063220,0.067788,103091,9271580,0.07
20170720,0.058489,0.078384,0.058489,0.073331,68922,7330300,0.07
20170719,0.062515,0.067880,0.058434,0.059329,65055,7832890,0.06
20170718,0.057519,0.062986,0.055046,0.061935,57614,7205120,0.06
20170717,0.050661,0.058575,0.049115,0.057848,103767,6344500,0.05
20170716,0.056024,0.059951,0.046135,0.051977,46590,7014420,0.05
20170715,0.067686,0.071616,0.055318,0.055318,136605,8472570,0.06
20170714,0.060089,0.078321,0.055506,0.068617,361308,7519600,0.07
20170713,0.061509,0.073524,0.054617,0.060995,114940,7695510,0.06
20170712,0.048643,0.064465,0.046078,0.060970,84194,6084300,0.06
20170711,0.054443,0.058954,0.042739,0.050219,69497,6808100,0.05
20170710,0.082179,0.082578,0.051013,0.054258,112867,10274100,0.07
20170709,0.088106,0.096812,0.080275,0.080275,340253,11012100,0.09
20170708,0.086136,0.089584,0.075331,0.087268,81909,10763300,0.08
20170707,0.104500,0.110182,0.085025,0.086379,103843,13054900,0.10
20170706,0.106871,0.111027,0.103493,0.105190,63077,13347900,0.11
