date,open,high,low,close,volume,marketcap,average
20180110,0.185623,0.188719,0.159946,0.179865,449874,21689200,0.17
20180109,0.198720,0.207063,0.180894,0.186066,919774,23219500,0.19
20180108,0.214458,0.224192,0.164201,0.199263,1387630,25058400,0.19
20180107,0.178336,0.216323,0.171343,0.212069,2287340,20837700,0.19
20180106,0.154673,0.192325,0.154360,0.175264,1120590,18072800,0.17
20180105,0.184972,0.188898,0.152506,0.153068,2280410,21613200,0.17
20180104,0.196041,0.200241,0.178942,0.187944,1761690,22906500,0.19
20180103,0.202933,0.216076,0.183572,0.194678,2048060,23711800,0.20
20180102,0.185680,0.220892,0.181925,0.201045,3117610,21695800,0.20
20180101,0.234103,0.246359,0.185162,0.185162,4445090,27353800,0.22
20171231,0.173104,0.362167,0.171814,0.233064,24869300,20226400,0.27
20171230,0.144840,0.201247,0.122925,0.171319,3326360,16923900,0.16
20171229,0.138336,0.184513,0.131717,0.140531,3203750,16163900,0.16
20171228,0.141231,0.141434,0.108656,0.136242,673995,16502100,0.13
20171227,0.109293,0.141181,0.106724,0.139811,1053920,12770300,0.12
20171226,0.120914,0.127547,0.096323,0.109213,767127,14128200,0.11
20171225,0.118516,0.128594,0.112246,0.119538,1204690,13848000,0.12
20171224,0.118043,0.125033,0.104524,0.117435,1183240,13792800,0.11
20171223,0.132950,0.148088,0.115632,0.116755,2258150,15534500,0.13
20171222,0.108454,0.182964,0.086470,0.127096,6957230,12672300,0.13
20171221,0.090718,0.114501,0.089235,0.108079,1710060,10599900,0.10
20171220,0.100983,0.101996,0.078689,0.088539,1516250,11799400,0.09
20171219,0.102715,0.121624,0.092616,0.101602,1925860,12001800,0.11
20171218,0.079517,0.104341,0.074642,0.101700,1210280,8833240,0.09
20171217,0.087854,0.087933,0.078391,0.080194,760401,9759330,0.08
20171216,0.069731,0.095239,0.068322,0.087842,1695600,7746070,0.08
20171215,0.077220,0.079234,0.063159,0.071202,744996,8578070,0.07
20171214,0.073677,0.084673,0.070052,0.076630,799422,8184430,0.08
20171213,0.069824,0.082244,0.066494,0.073914,784515,7756420,0.07
20171212,0.066408,0.073912,0.062892,0.070955,703969,7377000,0.07
20171211,0.053979,0.073955,0.053743,0.066381,762856,5996310,0.06
20171210,0.065678,0.065678,0.048246,0.054566,665419,7295880,0.06
20171209,0.062793,0.079464,0.054748,0.064532,2604630,6975400,0.07
20171208,0.053985,0.070600,0.043489,0.064998,1511160,5996920,0.06
20171207,0.054054,0.054227,0.043337,0.054026,581470,6004650,0.05
20171206,0.046573,0.058608,0.043891,0.051861,760631,5173610,0.05
20171205,0.051636,0.052398,0.043000,0.046561,1108080,5735990,0.05
20171204,0.069011,0.078420,0.049868,0.051534,3681340,7666070,0.06
20171203,0.032825,0.088504,0.032825,0.064884,10802500,3646340,0.06
20171202,0.027323,0.035337,0.027108,0.032793,508143,3035170,0.03
20171201,0.024199,0.033252,0.023197,0.027888,350959,2688120,0.03
20171130,0.024588,0.026819,0.022053,0.024319,29859,2731330,0.02
20171129,0.026907,0.030076,0.022747,0.024216,44101,2988960,0.03
20171128,0.027991,0.028101,0.026293,0.026933,76506,3109390,0.03
20171127,0.025059,0.029261,0.024119,0.027919,300621,2783750,0.03
20171126,0.023453,0.025813,0.023453,0.025055,45568,2605270,0.02
20171125,0.022167,0.024146,0.021746,0.023461,37741,2462480,0.02
20171124,0.022060,0.023517,0.021487,0.022212,49304,2450560,0.02
20171123,0.022700,0.024070,0.022076,0.022094,47512,2521620,0.02
20171122,0.023206,0.024476,0.022278,0.022707,46670,2577810,0.02
20171121,0.023490,0.023787,0.021052,0.023149,109559,2609370,0.02
20171120,0.021158,0.025822,0.020711,0.023485,145606,2350330,0.02
20171119,0.021025,0.021839,0.020305,0.021168,25292,2335540,0.02
20171118,0.020986,0.022113,0.020271,0.021064,27828,2331230,0.02
20171117,0.022758,0.023553,0.021220,0.021220,29021,2528090,0.02
20171116,0.022055,0.023697,0.021489,0.022795,55901,2450020,0.02
20171115,0.019771,0.022351,0.019771,0.022303,44507,2196280,0.02
20171114,0.020048,0.020512,0.019023,0.019758,35641,2227060,0.02
20171113,0.016676,0.020904,0.016565,0.019811,63466,1852430,0.02
20171112,0.020165,0.020165,0.015780,0.016593,42316,2240040,0.02
20171111,0.021302,0.022403,0.018770,0.020180,57177,2366290,0.02
20171110,0.024109,0.027328,0.019715,0.021312,171824,2678140,0.02
20171109,0.022106,0.024328,0.021290,0.024037,79057,2455680,0.02
20171108,0.020998,0.023600,0.020107,0.022277,87098,2332560,0.02
20171107,0.020738,0.022266,0.020113,0.021064,101627,2303700,0.02
20171106,0.020184,0.037376,0.019573,0.020771,770929,2242160,0.03
20171105,0.021835,0.025775,0.019823,0.020139,130229,2425590,0.02
20171104,0.017777,0.027284,0.017161,0.021729,683892,1974810,0.02
20171103,0.017840,0.020294,0.016534,0.017824,63360,1981780,0.02
20171102,0.020926,0.022190,0.014664,0.017864,93441,2324600,0.02
20171101,0.021069,0.022946,0.019870,0.020903,54025,2340470,0.02
20171031,0.022427,0.023314,0.019949,0.021084,63535,2491280,0.02
20171030,0.021857,0.023006,0.021336,0.022503,40446,2428030,0.02
20171029,0.021193,0.023077,0.020654,0.021985,41969,2354290,0.02
20171028,0.022132,0.022954,0.020496,0.021108,47971,2458500,0.02
20171027,0.022961,0.023328,0.021088,0.022416,31672,2550600,0.02
20171026,0.023568,0.024992,0.021245,0.022955,170256,2618110,0.02
20171025,0.025054,0.025420,0.022394,0.023571,135154,2783110,0.02
20171024,0.017834,0.028365,0.017670,0.025264,348984,1981140,0.02
20171023,0.022721,0.023119,0.017622,0.017815,78829,2524020,0.02
20171022,0.023936,0.029760,0.021588,0.022758,209050,2658940,0.03
20171021,0.024747,0.026529,0.021431,0.023929,79082,2749020,0.02
20171020,0.027382,0.028881,0.024072,0.024799,76167,3041770,0.03
20171019,0.027937,0.029380,0.026814,0.027432,53665,3103400,0.03
20171018,0.027222,0.028079,0.024639,0.027923,34600,3023990,0.03
20171017,0.029185,0.029666,0.026846,0.027220,44042,3242050,0.03
20171016,0.027492,0.029826,0.026871,0.029181,90440,3053990,0.03
20171015,0.028145,0.029388,0.025983,0.027318,54438,3126460,0.03
20171014,0.028788,0.029475,0.027520,0.028153,39459,3197910,0.03
20171013,0.030265,0.032633,0.027457,0.028611,96613,3362030,0.03
20171012,0.030888,0.031865,0.029123,0.030226,119093,3431190,0.03
20171011,0.027957,0.031182,0.027430,0.030862,57588,3105580,0.03
20171010,0.027630,0.030516,0.027409,0.028009,39841,3069300,0.03
20171009,0.028170,0.033637,0.025589,0.027584,145207,3129320,0.03
20171008,0.031063,0.034250,0.028347,0.028347,96567,3450610,0.03
20171007,0.029654,0.031680,0.028237,0.030746,60741,3294120,0.03
20171006,0.033292,0.034093,0.029505,0.029644,116098,3698270,0.03
20171005,0.031703,0.039831,0.031262,0.032774,236721,3521750,0.04
20171004,0.031058,0.033334,0.029933,0.031717,48445,3450130,0.03
20171003,0.034037,0.034496,0.030188,0.030599,71760,3781020,0.03
20171002,0.036257,0.036663,0.032902,0.034036,135734,4027610,0.03
20171001,0.040814,0.040814,0.035914,0.036273,104197,4533880,0.04
20170930,0.039803,0.043243,0.039120,0.040792,190857,4421600,0.04
20170929,0.042187,0.042899,0.036843,0.039798,224403,4686350,0.04
20170928,0.037952,0.046551,0.037685,0.042219,784828,4215920,0.04
20170927,0.034648,0.044650,0.033683,0.037363,422519,3848940,0.04
20170926,0.035400,0.036131,0.031375,0.034745,203564,3932450,0.03
20170925,0.033320,0.041525,0.032934,0.034814,1187070,3701330,0.04
20170924,0.029664,0.034940,0.027622,0.033353,387347,3295220,0.03
20170923,0.028171,0.030031,0.027865,0.029439,27600,3129370,0.03
20170922,0.027844,0.028830,0.026695,0.028576,35924,3093060,0.03
20170921,0.031264,0.031267,0.026853,0.028309,83282,3472980,0.03
20170920,0.028570,0.033283,0.028478,0.031418,94922,3173760,0.03
20170919,0.033522,0.033522,0.028210,0.028922,83995,3723860,0.03
20170918,0.028083,0.033859,0.027876,0.032910,136144,3119570,0.03
20170917,0.032088,0.032268,0.027647,0.028434,103809,3564560,0.03
20170916,0.028192,0.036023,0.027255,0.031962,520753,3131700,0.03
20170915,0.022680,0.031562,0.020775,0.028265,393334,2519430,0.03
20170914,0.039507,0.045599,0.022312,0.022312,1082120,4388690,0.03
20170913,0.027821,0.061810,0.023961,0.039432,4787460,3090570,0.04
20170912,0.025411,0.028353,0.024574,0.027928,104082,2822760,0.03
20170911,0.024357,0.027822,0.023550,0.024715,87069,2705710,0.03
20170910,0.025990,0.026303,0.023615,0.024398,18553,2887160,0.02
20170909,0.025238,0.026057,0.024487,0.026057,10075,2803530,0.03
20170908,0.027719,0.028423,0.024164,0.025189,11527,3079190,0.03
20170907,0.027286,0.028502,0.027001,0.027713,11767,3031100,0.03
20170906,0.027396,0.028952,0.026182,0.027338,24973,3043280,0.03
20170905,0.025407,0.027573,0.022743,0.027365,26547,2822390,0.03
20170904,0.027899,0.027919,0.023397,0.025276,33943,3099140,0.03
20170903,0.027676,0.028654,0.026769,0.027889,31923,3074410,0.03
20170902,0.030526,0.032137,0.027331,0.027658,100616,3391000,0.03
20170901,0.029947,0.031315,0.029026,0.030488,48519,3326630,0.03
20170831,0.027935,0.030350,0.027839,0.029941,62755,3103220,0.03
20170830,0.027289,0.031732,0.026595,0.027847,135116,3031400,0.03
20170829,0.027209,0.029141,0.026242,0.027325,87716,3022540,0.03
20170828,0.026494,0.033539,0.024848,0.027163,268162,2943120,0.03
20170827,0.029237,0.030219,0.025671,0.026522,107594,3247810,0.03
20170826,0.029700,0.032913,0.028986,0.029244,337422,3299260,0.03
20170825,0.027535,0.049981,0.026122,0.029691,1280950,3058750,0.04
20170824,0.025687,0.030714,0.024412,0.027578,158035,2853470,0.03
20170823,0.024330,0.027164,0.023834,0.025469,22349,2702730,0.03
20170822,0.024462,0.025045,0.022100,0.024379,23092,2717350,0.02
20170821,0.023906,0.025763,0.023534,0.024760,26980,2655570,0.02
20170820,0.024540,0.027168,0.023997,0.023997,40217,2726060,0.03
20170819,0.023547,0.027437,0.022367,0.024655,63622,2615690,0.02
20170818,0.026326,0.028602,0.021660,0.023567,41044,2924420,0.03
20170817,0.030773,0.034769,0.023666,0.026406,145944,3418390,0.03
20170816,0.020937,0.033125,0.020029,0.032113,90224,2325760,0.03
20170815,0.022032,0.022789,0.019478,0.021245,31340,2447400,0.02
20170814,0.022953,0.024830,0.021128,0.021758,47687,2549710,0.02
20170813,0.025761,0.026979,0.021201,0.022938,58484,2861680,0.02
20170812,0.022960,0.028333,0.021444,0.025785,109580,2550580,0.02
20170811,0.020537,0.023395,0.019420,0.022978,38221,2281380,0.02
20170810,0.023667,0.023732,0.020538,0.020538,39618,2629080,0.02
20170809,0.023289,0.024146,0.022704,0.023665,22741,2587030,0.02
20170808,0.024431,0.025787,0.023289,0.023304,57671,2713960,0.02
20170807,0.023187,0.027405,0.022929,0.024275,100188,2575790,0.03
