date,open,high,low,close,volume,marketcap,average
20180110,0.093270,0.093499,0.053588,0.065631,2022780,25727100,0.07
20180109,0.072002,0.091586,0.065472,0.091135,2927810,19848700,0.08
20180108,0.072959,0.086388,0.058741,0.074417,2544560,20092800,0.07
20180107,0.030077,0.077059,0.030077,0.075043,4611410,8279090,0.05
20180106,0.026767,0.030729,0.024003,0.030206,444444,7361230,0.03
20180105,0.028477,0.032146,0.023445,0.027045,429835,7824530,0.03
20180104,0.023226,0.030292,0.021184,0.026780,838045,6377560,0.03
20180103,0.018231,0.023827,0.018035,0.023827,788567,5001560,0.02
20180102,0.017295,0.019463,0.016191,0.018148,302094,4741980,0.02
20180101,0.017217,0.018791,0.014905,0.016910,336781,4716810,0.02
20171231,0.012352,0.020258,0.012229,0.017424,961217,3380560,0.02
20171230,0.013776,0.013872,0.011904,0.012606,325281,3770340,0.01
20171229,0.013598,0.014437,0.013209,0.013810,273657,3719570,0.01
20171228,0.014423,0.014760,0.012942,0.013459,359664,3942130,0.01
20171227,0.015034,0.015739,0.013801,0.014453,320405,4109220,0.01
20171226,0.013088,0.015624,0.012913,0.015023,121639,3577200,0.01
20171225,0.013250,0.013635,0.012333,0.013101,77851,3621380,0.01
20171224,0.013579,0.013938,0.011819,0.013116,251857,3708070,0.01
20171223,0.012976,0.014768,0.012747,0.013431,122086,3539670,0.01
20171222,0.015189,0.015344,0.010748,0.012855,233378,4141830,0.01
20171221,0.015518,0.016890,0.014086,0.015138,170900,4228500,0.02
20171220,0.016492,0.016783,0.014848,0.015485,59674,4490180,0.02
20171219,0.017996,0.018163,0.015911,0.016355,60461,4895100,0.02
20171218,0.018207,0.018747,0.017042,0.017981,149974,4948300,0.02
20171217,0.018844,0.018921,0.017434,0.018156,108354,5116810,0.02
20171216,0.016738,0.019370,0.016214,0.018645,118194,4542450,0.02
20171215,0.015226,0.017067,0.015222,0.016715,108333,4128210,0.02
20171214,0.015386,0.016213,0.015064,0.015203,26770,4169060,0.02
20171213,0.016370,0.016557,0.014665,0.015435,196805,4432270,0.02
20171212,0.014879,0.016968,0.014296,0.016356,112338,4025740,0.02
20171211,0.014339,0.015871,0.014148,0.014670,39902,3876900,0.02
20171210,0.013504,0.015503,0.011935,0.014443,89046,3647580,0.01
20171209,0.014452,0.015454,0.012347,0.013450,35755,3900120,0.01
20171208,0.015390,0.015862,0.012926,0.014457,84890,4149390,0.01
20171207,0.012358,0.015357,0.012254,0.015357,111260,3328490,0.01
20171206,0.011461,0.012921,0.011065,0.012921,169945,3084760,0.01
20171205,0.011206,0.011647,0.010718,0.011604,74074,3013890,0.01
20171204,0.011217,0.011297,0.010436,0.011185,21357,3013890,0.01
20171203,0.010817,0.011788,0.010315,0.011180,68904,2903880,0.01
20171202,0.010530,0.010894,0.010093,0.010590,35442,2824500,0.01
20171201,0.009341,0.010781,0.008991,0.010539,76229,2503280,0.01
20171130,0.008690,0.009800,0.007846,0.009387,82837,2326940,0.01
20171129,0.008944,0.010020,0.008038,0.008559,60446,2392810,0.01
20171128,0.009211,0.009301,0.008638,0.008951,16508,2462470,0.01
20171127,0.009240,0.010050,0.008684,0.009092,122206,2467670,0.01
20171126,0.008106,0.009239,0.007886,0.009239,71146,2162930,0.01
20171125,0.007767,0.008631,0.007491,0.008109,57316,2071200,0.01
20171124,0.007814,0.008147,0.007510,0.007783,59475,2082140,0.01
20171123,0.007858,0.008245,0.007251,0.007825,136602,2091510,0.01
20171122,0.007630,0.008167,0.006372,0.008024,74953,2030380,0.01
20171121,0.006793,0.007938,0.006713,0.007612,21813,1805850,0.01
20171120,0.007507,0.007816,0.006676,0.006791,14725,1994010,0.01
20171119,0.006894,0.008031,0.006133,0.007511,49324,1829540,0.01
20171118,0.006749,0.007510,0.006416,0.006906,62710,1789310,0.01
20171117,0.006858,0.007151,0.006677,0.006775,15634,1816320,0.01
