date,open,high,low,close,volume,marketcap,average
20180110,0.050093,0.050541,0.005902,0.016648,77719,929122,0.03
20180109,0.021837,0.076062,0.021764,0.050028,28433,405026,0.05
20180108,0.015796,0.021924,0.013532,0.021896,9354,292989,0.02
20180107,0.014106,0.016020,0.010047,0.015818,3710,261637,0.01
20180106,0.009681,0.014500,0.009387,0.014117,834,179559,0.01
20180105,0.011386,0.013205,0.008815,0.009503,3754,211183,0.01
20180104,0.015059,0.016432,0.009073,0.011384,7518,279306,0.01
20180103,0.012759,0.017202,0.008972,0.014977,7498,236647,0.01
20180102,0.014176,0.015808,0.005603,0.012804,1333,262943,0.01
20180101,0.015939,0.016369,0.006232,0.014178,1293,295629,0.01
20171231,0.008137,0.016806,0.008056,0.016295,15017,150929,0.01
20171230,0.006668,0.010309,0.006336,0.008226,20003,123678,0.01
20171229,0.005064,0.009103,0.003061,0.008719,13577,93920,0.01
20171228,0.003724,0.005012,0.002715,0.005012,2016,69069,0.00
20171227,0.003801,0.004096,0.002905,0.003732,1352,70498,0.00
20171226,0.003153,0.003923,0.002853,0.003798,1141,58486,0.00
20171225,0.002406,0.003172,0.002188,0.003156,413,44629,0.00
20171224,0.003889,0.004016,0.001988,0.002383,822,72141,0.00
20171223,0.001517,0.015371,0.001506,0.003825,1206,28134,0.01
20171222,0.002043,0.002322,0.001398,0.001503,88,37888,0.00
20171221,0.002308,0.002994,0.001987,0.002036,378,42802,0.00
20171220,0.002467,0.002539,0.002199,0.002302,525,45750,0.00
20171219,0.003061,0.003814,0.002258,0.002469,801,56782,0.00
20171218,0.002642,0.003247,0.001482,0.003059,797,48998,0.00
20171217,0.002142,0.002707,0.001754,0.002637,162,39738,0.00
20171216,0.002657,0.002846,0.002109,0.002142,232,49279,0.00
20171215,0.002635,0.002738,0.002244,0.002653,276,48873,0.00
20171214,0.003482,0.003531,0.002139,0.002631,785,64581,0.00
20171213,0.003801,0.004103,0.002686,0.003493,508,70494,0.00
20171212,0.002791,0.003843,0.001892,0.003797,778,51771,0.00
20171211,0.001990,0.002807,0.001964,0.002782,232,36902,0.00
20171210,0.002122,0.002208,0.001866,0.002004,314,39349,0.00
20171209,0.002155,0.002375,0.001761,0.002113,137,39979,0.00
20171208,0.002110,0.002813,0.001610,0.002158,257,39142,0.00
20171207,0.002747,0.002954,0.001941,0.002105,326,50951,0.00
