date,open,high,low,close,volume,marketcap,average
20180110,0.014787,0.015829,0.012329,0.014695,261797,13104700,0.01
20180109,0.012594,0.015080,0.012246,0.014773,277988,11161100,0.01
20180108,0.015033,0.015550,0.012508,0.012622,281488,13322800,0.01
20180107,0.014856,0.017477,0.012836,0.015016,295222,13165800,0.02
20180106,0.014181,0.015189,0.012489,0.014934,350775,12567100,0.01
20180105,0.011194,0.014080,0.011166,0.013915,298280,9919960,0.01
20180104,0.013950,0.013952,0.011169,0.011194,325686,12362900,0.01
20180103,0.011153,0.014574,0.008725,0.013923,308868,9883820,0.01
20180102,0.011690,0.013389,0.010166,0.011103,6486220,10360000,0.01
20180101,0.011817,0.012821,0.010545,0.011693,281241,10472800,0.01
20171231,0.018914,0.019839,0.010822,0.011798,235775,16762000,0.02
20171230,0.010469,0.021884,0.009840,0.019095,256018,9277380,0.02
20171229,0.012630,0.013369,0.010464,0.010464,283472,11192500,0.01
20171228,0.012848,0.013884,0.009054,0.012552,295272,11385700,0.01
20171227,0.012555,0.013191,0.008777,0.012845,264993,11126800,0.01
20171226,0.011007,0.024701,0.008706,0.012497,319425,9754280,0.02
20171225,0.010146,0.017757,0.009944,0.010983,341369,8991020,0.01
20171224,0.010436,0.010644,0.008706,0.010087,386806,9248370,0.01
20171223,0.010480,0.011655,0.009637,0.010358,403699,9287700,0.01
20171222,0.012157,0.012756,0.008545,0.010437,411189,10773300,0.01
20171221,0.011503,0.013074,0.011074,0.012145,444489,10193900,0.01
20171220,0.012489,0.012889,0.010687,0.011453,427223,11067900,0.01
20171219,0.013046,0.013437,0.011282,0.012483,447258,11561800,0.01
20171218,0.012237,0.013456,0.009726,0.013118,450977,10844800,0.01
20171217,0.012873,0.013628,0.009771,0.012151,412955,11408600,0.01
20171216,0.011730,0.013397,0.010617,0.012772,444309,10394900,0.01
20171215,0.012055,0.012491,0.008190,0.011720,401734,10683500,0.01
20171214,0.014176,0.014205,0.009546,0.012055,411624,12562600,0.01
20171213,0.016187,0.017116,0.008615,0.014146,541915,14345200,0.01
20171212,0.015772,0.017980,0.008310,0.016043,635441,13977400,0.01
20171211,0.009014,0.016000,0.008420,0.015801,804344,7988480,0.01
20171210,0.009106,0.009392,0.007649,0.009045,679872,8070210,0.01
20171209,0.008604,0.009307,0.008401,0.009088,688246,7624620,0.01
20171208,0.009228,0.009340,0.008164,0.008611,662325,8177660,0.01
20171207,0.008430,0.009215,0.007764,0.009215,692901,7471000,0.01
20171206,0.008080,0.008469,0.007825,0.008439,661298,7160500,0.01
20171205,0.008274,0.008315,0.007452,0.008087,672832,7332660,0.01
20171204,0.008080,0.008389,0.007482,0.008306,740502,7161000,0.01
