date,open,high,low,close,volume,marketcap,average
20180110,0.005550,0.006108,0.003833,0.005249,7456,7018,0.00
20180109,0.003464,0.006937,0.002989,0.005542,13566,4380,0.00
20180108,0.003257,0.006849,0.002976,0.003473,7973,4119,0.00
20180107,0.002752,0.010645,0.001676,0.003262,9912,3480,0.01
20180106,0.006624,0.006782,0.001684,0.002754,1615,8376,0.00
20180105,0.004706,0.006618,0.003526,0.006618,394,5951,0.01
20180104,0.005324,0.005409,0.003448,0.004705,342,6732,0.00
20180103,0.005638,0.006185,0.004412,0.005295,2203,7129,0.01
20180102,0.006751,0.006964,0.002643,0.005658,1225,8536,0.00
20180101,0.013981,0.013981,0.005546,0.006751,558,17680,0.01
20171231,0.013986,0.014814,0.007218,0.013927,173,17685,0.01
20171230,0.012901,0.014312,0.007033,0.014139,365,16314,0.01
20171229,0.006800,0.013200,0.006705,0.012934,347,8598,0.01
20171228,0.012878,0.013868,0.006404,0.006730,48,16285,0.01
20171227,0.013778,0.013993,0.010106,0.012905,334,17423,0.01
20171226,0.010124,0.014027,0.010082,0.013768,307,12802,0.01
20171225,0.020813,0.021012,0.009934,0.010134,726,26318,0.02
20171224,0.004671,0.040234,0.003010,0.020599,7909,5906,0.02
20171223,0.007171,0.007657,0.004098,0.004620,41,9067,0.01
20171222,0.004557,0.008232,0.003900,0.007104,1520,5762,0.01
20171221,0.002382,0.005108,0.001723,0.004541,198,3012,0.00
20171220,0.000352,0.004793,0.000321,0.002376,361,446,0.00
20171219,0.006026,0.006047,0.000353,0.000353,35,7620,0.00
20171218,0.010826,0.010826,0.001266,0.006021,3173,13689,0.01
20171217,0.000529,0.011530,0.000458,0.010793,2528,669,0.01
20171216,0.002118,0.002164,0.000211,0.000529,69,2678,0.00
20171215,0.002146,0.002146,0.002092,0.002115,1,2713,0.00
20171214,0.000700,0.001994,0.000692,0.001986,3,885,0.00
20171213,0.000601,0.000823,0.000565,0.000703,19,760,0.00
20171212,0.001026,0.001877,0.000168,0.000601,36,1297,0.00
20171211,0.001380,0.001925,0.001023,0.001023,34,1746,0.00
20171210,0.001171,0.001417,0.000514,0.001390,116,1480,0.00
20171209,0.001144,0.001373,0.000851,0.001166,107,1446,0.00
20171208,0.004165,0.004227,0.001083,0.001145,196,5267,0.00
20171207,0.002610,0.004156,0.002576,0.004156,487,3300,0.00
20171206,0.001868,0.003594,0.000764,0.002614,58,2363,0.00
20171205,0.002331,0.003322,0.001860,0.001873,131,2948,0.00
20171204,0.002135,0.002327,0.002069,0.002327,70,2700,0.00
20171203,0.000219,0.000236,0.000217,0.000234,12,276,0.00
20171202,0.001824,0.001864,0.000215,0.000218,11,2306,0.00
20171201,0.002460,0.002540,0.001760,0.001825,102,3111,0.00
20171130,0.003096,0.003367,0.001377,0.002473,97,3916,0.00
20171129,0.002681,0.003274,0.002664,0.003050,544,3390,0.00
20171128,0.000683,0.002691,0.000493,0.002683,27,864,0.00
20171127,0.001524,0.001587,0.000379,0.000681,19,1927,0.00
20171126,0.001958,0.002885,0.000632,0.001524,202,2476,0.00
20171125,0.002218,0.002923,0.001502,0.001959,501,2805,0.00
20171124,0.001205,0.001584,0.001182,0.001557,3,1524,0.00
20171123,0.000804,0.001230,0.000344,0.001207,121,1017,0.00
20171122,0.001454,0.001574,0.000727,0.000804,132,1839,0.00
20171121,0.000636,0.001665,0.000601,0.001451,210,804,0.00
20171120,0.001281,0.001284,0.000481,0.000636,95,1619,0.00
20171119,0.000641,0.001532,0.000639,0.001281,204,811,0.00
20171118,0.000703,0.001487,0.000489,0.000642,617,888,0.00
20171117,0.001098,0.001124,0.000395,0.000705,188,1389,0.00
20171116,0.000368,0.001120,0.000359,0.001100,1,465,0.00
20171115,0.000281,0.000380,0.000212,0.000366,285,356,0.00
20171114,0.000848,0.001205,0.000277,0.000281,281,1073,0.00
20171113,0.000881,0.001512,0.000209,0.000847,122,1114,0.00
20171112,0.000254,0.000931,0.000166,0.000879,23,322,0.00
20171111,0.000414,0.000429,0.000202,0.000268,97,524,0.00
20171110,0.000889,0.001838,0.000405,0.000405,103,1124,0.00
20171109,0.000596,0.001579,0.000143,0.000886,2032,754,0.00
20171108,0.000224,0.000597,0.000223,0.000597,52,283,0.00
20171107,0.000212,0.000381,0.000212,0.000225,256,268,0.00
20171106,0.000296,0.000365,0.000210,0.000213,79,374,0.00
20171105,0.000295,0.000381,0.000292,0.000295,125,373,0.00
20171104,0.000358,0.000368,0.000289,0.000296,103,453,0.00
20171103,0.000286,0.000372,0.000148,0.000359,742,362,0.00
20171102,0.000254,0.000314,0.000156,0.000286,131,322,0.00
20171101,0.000258,0.000287,0.000129,0.000254,52,326,0.00
20171031,0.000193,0.000281,0.000133,0.000258,297,243,0.00
20171030,0.000671,0.000862,0.000192,0.000193,233,845,0.00
20171029,0.000567,0.000956,0.000566,0.000675,205,713,0.00
20171028,0.000641,0.000653,0.000525,0.000568,22,804,0.00
20171027,0.000589,0.000702,0.000588,0.000639,72,736,0.00
20171026,0.000573,0.000598,0.000402,0.000589,32,716,0.00
20171025,0.000717,0.000723,0.000551,0.000574,80,894,0.00
20171024,0.000590,0.001132,0.000567,0.000717,188,733,0.00
20171023,0.000737,0.000758,0.000582,0.000591,33,914,0.00
20171022,0.001008,0.001027,0.000550,0.000738,187,1250,0.00
20171021,0.000977,0.001167,0.000920,0.001008,333,1210,0.00
20171020,0.001203,0.002322,0.000927,0.000979,502,1487,0.00
20171019,0.000719,0.002410,0.000711,0.001203,640,886,0.00
20171018,0.001582,0.001594,0.000694,0.000719,1626,1947,0.00
20171017,0.001393,0.001619,0.001330,0.001582,170,1709,0.00
20171016,0.001511,0.001996,0.001381,0.001392,231,1854,0.00
20171015,0.001753,0.002306,0.001228,0.001511,2186,2148,0.00
20171014,0.002384,0.002787,0.001407,0.001750,4589,2915,0.00
20171013,0.003107,0.004867,0.002373,0.002383,2218,3791,0.00
20171012,0.002565,0.007107,0.002015,0.003097,5156,3121,0.00
20171011,0.001873,0.006705,0.001859,0.002736,3432,2273,0.00
20171010,0.001809,0.002357,0.001744,0.001873,1277,2189,0.00
20171009,0.002825,0.002910,0.001641,0.001809,785,3408,0.00
20171008,0.001786,0.005795,0.001399,0.002824,3049,2146,0.00
20171007,0.001609,0.002167,0.001316,0.001791,1667,1933,0.00
20171006,0.001340,0.001858,0.001253,0.001608,1109,1610,0.00
20171005,0.001604,0.001606,0.001185,0.001340,2637,1923,0.00
20171004,0.001296,0.001609,0.001083,0.001603,798,1550,0.00
20171003,0.001760,0.001770,0.001244,0.001293,401,2100,0.00
20171002,0.001714,0.001786,0.001529,0.001760,696,2040,0.00
20171001,0.001564,0.001906,0.001426,0.001714,589,1856,0.00
20170930,0.001877,0.002088,0.001197,0.001563,1650,2223,0.00
20170929,0.002189,0.002474,0.001495,0.001877,1498,2586,0.00
20170928,0.000930,0.003838,0.000891,0.002191,9385,1096,0.00
20170927,0.003708,0.003748,0.000847,0.000848,4814,4359,0.00
20170926,0.005390,0.005403,0.002512,0.003718,7301,6336,0.00
20170925,0.005178,0.005622,0.003930,0.005391,39565,6078,0.00
20170924,0.005872,0.006395,0.004886,0.005183,1032650,6870,0.01
20170923,0.005988,0.006018,0.005183,0.005873,236983,6988,0.01
20170922,0.006083,0.006755,0.004571,0.006005,229641,7088,0.01
20170921,0.003879,0.007225,0.003813,0.006090,194192,4503,0.01
20170920,0.006457,0.006624,0.003889,0.003899,9,7483,0.01
20170919,0.006524,0.007046,0.006002,0.006466,3656,7553,0.01
20170918,0.006134,0.007317,0.006120,0.006508,7485,7076,0.01
20170917,0.006834,0.006834,0.005671,0.006146,4273,7882,0.01
20170916,0.006745,0.007929,0.005272,0.006988,14384,7750,0.01
20170915,0.005256,0.006783,0.004751,0.006750,3148,6040,0.01
20170914,0.006436,0.007561,0.005216,0.005216,9317,7370,0.01
20170913,0.007682,0.008228,0.006365,0.006436,15052,8794,0.01
20170912,0.005684,0.008969,0.005684,0.007711,12738,6501,0.01
20170911,0.006503,0.009077,0.005072,0.005686,13925,7405,0.01
20170910,0.004894,0.008816,0.003978,0.006514,6352,5561,0.01
20170909,0.004762,0.005303,0.004417,0.004907,3491,5389,0.00
20170908,0.005792,0.005792,0.004421,0.004752,2044,6554,0.01
20170907,0.004846,0.005934,0.004706,0.005791,1353,5482,0.01
20170906,0.004906,0.005400,0.004793,0.004856,1202,5533,0.01
20170905,0.004864,0.005667,0.004218,0.004901,3581,5470,0.00
20170904,0.005728,0.005732,0.004422,0.004839,1384,6424,0.01
20170903,0.005181,0.008010,0.005098,0.005726,5292,5797,0.01
20170902,0.007927,0.008768,0.005029,0.005178,9530,8846,0.01
20170901,0.008102,0.008578,0.007700,0.007918,5183,9018,0.01
20170831,0.009206,0.009354,0.008094,0.008101,6016,10227,0.01
20170830,0.009372,0.009372,0.008603,0.009222,5813,10405,0.01
20170829,0.009217,0.009508,0.008314,0.009200,8441,10200,0.01
20170828,0.009425,0.010400,0.008709,0.009201,19212,10403,0.01
20170827,0.008256,0.012512,0.008252,0.009435,78743,9106,0.01
20170826,0.008689,0.009911,0.007141,0.008258,1891,9548,0.01
20170825,0.007835,0.011338,0.002828,0.008672,4537,8589,0.01
20170824,0.010357,0.012386,0.007838,0.007847,9118,11325,0.01
20170823,0.011318,0.011609,0.010204,0.010353,4406,12340,0.01
20170822,0.011163,0.011563,0.009564,0.011341,3173,12132,0.01
20170821,0.011196,0.012108,0.010652,0.011137,8558,12117,0.01
20170820,0.012353,0.012353,0.007025,0.011239,34370,13366,0.01
20170819,0.012531,0.012628,0.010198,0.012411,4590,13534,0.01
20170818,0.013782,0.014400,0.011764,0.012542,94663,14850,0.01
20170817,0.013562,0.014747,0.011451,0.013824,2503,14536,0.01
20170816,0.013084,0.013680,0.008672,0.013574,4973,14025,0.01
20170815,0.012592,0.016647,0.011939,0.013070,10759,13476,0.01
20170814,0.014081,0.016157,0.011549,0.012558,14198,15037,0.01
20170813,0.013614,0.015817,0.008384,0.014072,15619,14518,0.01
20170812,0.014492,0.015769,0.012752,0.013627,13496,15401,0.01
20170811,0.014962,0.015142,0.013194,0.014503,3598,15888,0.01
20170810,0.013038,0.015295,0.012104,0.014963,33792,13797,0.01
20170809,0.012947,0.013597,0.011579,0.013036,779,13654,0.01
20170808,0.013431,0.013970,0.007274,0.012956,3000,14152,0.01
20170807,0.013203,0.014158,0.012800,0.013417,3282,13882,0.01
20170806,0.013993,0.015759,0.013190,0.013232,4889,14672,0.01
20170805,0.013762,0.018865,0.013321,0.013989,9512,14375,0.02
20170804,0.015329,0.016759,0.010143,0.013768,6281,15981,0.01
20170803,0.014084,0.015399,0.014073,0.015332,9158,14640,0.01
20170802,0.015694,0.015825,0.013789,0.014059,2363,16261,0.01
20170801,0.015886,0.016518,0.013880,0.015697,7775,16417,0.02
20170731,0.015868,0.017037,0.015183,0.015878,16488,16369,0.02
20170730,0.015899,0.016445,0.015290,0.015852,33529,16377,0.02
20170729,0.016690,0.016736,0.015339,0.015901,7206,17145,0.02
20170728,0.015407,0.016822,0.015201,0.016754,28401,15784,0.02
20170727,0.015172,0.015669,0.014728,0.015361,27668,15502,0.02
20170726,0.015515,0.015792,0.013947,0.015129,3518,15813,0.01
20170725,0.016824,0.016940,0.013841,0.015508,24813,17094,0.02
20170724,0.017053,0.018041,0.016130,0.016826,8992,17277,0.02
20170723,0.017832,0.019290,0.016160,0.017073,33819,18018,0.02
20170722,0.019098,0.019453,0.016321,0.017832,22760,19240,0.02
20170721,0.019813,0.020832,0.015837,0.019102,27484,19906,0.02
20170720,0.016075,0.022508,0.015259,0.016859,58512,16100,0.02
20170719,0.019824,0.021030,0.013982,0.016123,14939,19812,0.02
20170718,0.015360,0.022740,0.013952,0.019793,32359,15292,0.02
20170717,0.012430,0.015457,0.007208,0.015321,4632,12340,0.01
20170716,0.014134,0.014241,0.011449,0.012444,4500,14011,0.01
20170715,0.012205,0.015926,0.012181,0.014177,4184,12055,0.01
20170714,0.016004,0.017385,0.012151,0.012226,11099,15779,0.01
20170713,0.017541,0.017946,0.014434,0.016015,3319,17246,0.02
