date,open,high,low,close,volume,marketcap,average
20180110,0.426494,0.443480,0.387009,0.403201,67812,8059510,0.42
20180109,0.425681,0.472644,0.389691,0.422037,65752,8044160,0.43
20180108,0.398513,0.472404,0.311363,0.426428,103883,7530750,0.39
20180107,0.348335,0.414831,0.320400,0.383332,51517,6582530,0.37
20180106,0.316530,0.416226,0.302388,0.346825,74535,5981500,0.36
20180105,0.385489,0.447992,0.304335,0.315923,66676,7284630,0.38
20180104,0.462540,0.475453,0.375451,0.387611,80237,8740680,0.43
20180103,0.455739,0.522567,0.428668,0.459045,70546,8612160,0.48
20180102,0.400552,0.502909,0.347951,0.456461,121870,7569280,0.43
20180101,0.349777,0.428771,0.306478,0.424212,91755,6609770,0.37
20171231,0.319433,0.353663,0.313403,0.340984,44313,6036360,0.33
20171230,0.367882,0.373755,0.305227,0.323685,44613,6951910,0.34
20171229,0.337141,0.391927,0.328015,0.363184,53018,6370990,0.36
20171228,0.418613,0.429409,0.339381,0.339381,73090,7910590,0.38
20171227,0.385522,0.431584,0.373469,0.426816,70892,7285250,0.40
20171226,0.386197,0.425259,0.352819,0.391036,37786,7298010,0.39
20171225,0.343656,0.416506,0.316262,0.395767,37310,6494110,0.37
20171224,0.367252,0.403865,0.281416,0.341423,36291,6940000,0.34
20171223,0.376283,0.474114,0.346420,0.363622,95724,7110670,0.41
20171222,0.441142,0.458187,0.266320,0.373272,130988,8336320,0.36
20171221,0.461643,0.528542,0.420225,0.439832,94117,8723720,0.47
20171220,0.502599,0.563783,0.444584,0.460936,95048,9497670,0.50
20171219,0.538267,0.616315,0.406423,0.491740,99238,10171700,0.51
20171218,0.580447,0.624607,0.497956,0.537815,105191,10968800,0.56
20171217,0.608015,0.631737,0.509898,0.580218,139143,11489700,0.57
20171216,0.552807,0.706245,0.515992,0.610151,209712,10446500,0.61
20171215,0.476606,0.684679,0.451587,0.551340,251868,9006490,0.57
20171214,0.543237,0.543237,0.419098,0.473823,75656,10265600,0.48
20171213,0.498036,0.547252,0.401146,0.506090,102791,9411460,0.47
20171212,0.404956,0.497915,0.339796,0.497915,167914,7652510,0.42
20171211,0.571062,0.571984,0.401292,0.438190,233282,10791400,0.49
20171210,0.706006,0.738016,0.449929,0.570115,385539,13341500,0.59
20171209,0.397043,0.740368,0.347443,0.687611,762978,7502980,0.54
20171208,0.234343,0.401395,0.201542,0.368178,227888,4428420,0.30
20171207,0.179484,0.235845,0.165160,0.232426,65696,3391730,0.20
20171206,0.170731,0.196062,0.169440,0.178668,79533,3226320,0.18
20171205,0.174293,0.189814,0.166510,0.171053,51850,3293630,0.18
20171204,0.161088,0.177469,0.140706,0.174309,77846,3044090,0.16
20171203,0.151133,0.168531,0.147316,0.160587,38501,2855980,0.16
20171202,0.128348,0.158421,0.127549,0.151072,28500,2425420,0.14
20171201,0.135357,0.164042,0.124654,0.128390,26834,2557860,0.14
20171130,0.121469,0.138813,0.116193,0.135733,18255,2295420,0.13
20171129,0.153435,0.173188,0.112268,0.119991,30645,2899480,0.14
20171128,0.167837,0.176046,0.153172,0.153391,41878,3171630,0.16
20171127,0.173930,0.186206,0.151142,0.167962,71625,3286790,0.17
20171126,0.125198,0.201143,0.117280,0.173694,107521,2365880,0.16
20171125,0.109859,0.139011,0.099996,0.125206,32002,2076030,0.12
20171124,0.106583,0.116086,0.099266,0.106286,23136,2014110,0.11
20171123,0.119906,0.127339,0.105588,0.106945,17625,2265880,0.12
20171122,0.093944,0.119725,0.093395,0.119725,8319,1775260,0.11
20171121,0.102601,0.113798,0.093649,0.093806,9534,1938850,0.10
20171120,0.114692,0.154810,0.100525,0.102722,35154,2167350,0.13
20171119,0.096692,0.128726,0.084352,0.114779,27575,1827200,0.11
20171118,0.101762,0.119637,0.085339,0.096908,26150,1923010,0.10
20171117,0.116781,0.136756,0.093954,0.105053,24662,2206830,0.12
20171116,0.113748,0.150384,0.113748,0.116875,23945,2149510,0.13
20171115,0.150248,0.159716,0.109721,0.113684,41527,2839260,0.13
20171114,0.121445,0.200895,0.121445,0.150166,104073,2294960,0.16
20171113,0.069538,0.121511,0.062010,0.121451,17799,1314060,0.09
20171112,0.083079,0.096419,0.069417,0.069427,12777,1569950,0.08
20171111,0.087041,0.105189,0.080112,0.083073,30157,1644830,0.09
20171110,0.100476,0.103268,0.082898,0.087291,19785,1898710,0.09
20171109,0.097897,0.112894,0.086982,0.100398,18025,1849970,0.10
20171108,0.094227,0.105662,0.070673,0.098366,15266,1780620,0.09
20171107,0.094579,0.108939,0.084730,0.094308,11018,,0.10
20171106,0.105105,0.125481,0.094545,0.094545,15201,,0.11
20171105,0.113212,0.129396,0.100502,0.105014,7805,,0.11
20171104,0.118282,0.133172,0.079097,0.113091,22694,,0.11
20171103,0.129797,0.137299,0.080454,0.118290,20312,,0.11
20171102,0.149904,0.166437,0.049956,0.129163,74275,,0.11
20171101,0.214906,0.217518,0.113157,0.149489,27193,,0.17
20171031,0.214710,0.229896,0.214710,0.215303,50199,,0.22
