date,open,high,low,close,volume,marketcap,average
20180110,2.38,2.47,1.82,2.19,1805580,72945700,2.15
20180109,2.44,2.49,2.07,2.30,2029700,74403600,2.28
20180108,2.11,2.46,1.66,2.46,2680790,64027000,2.06
20180107,1.77,2.22,1.47,2.22,2283480,53524000,1.85
20180106,1.70,1.79,1.49,1.72,2183210,51308000,1.64
20180105,1.06,1.90,1.03,1.59,4362650,31796100,1.46
20180104,0.955710,1.08,0.851591,1.03,1160040,28743300,0.97
20180103,1.31,1.33,0.776657,0.973605,2005040,39366700,1.05
20180102,0.951577,1.32,0.945673,1.31,1870530,27973300,1.13
20180101,0.949874,0.976539,0.733337,0.941943,890256,27832400,0.85
20171231,0.806679,0.972283,0.771077,0.952647,594980,23396700,0.87
20171230,0.741595,0.901254,0.628646,0.856474,774820,21269700,0.76
20171229,0.483102,0.745377,0.449192,0.743257,912305,13637400,0.60
20171228,0.548573,0.549260,0.438903,0.457882,346508,15421700,0.49
20171227,0.528607,0.591065,0.478465,0.550751,645719,14785500,0.53
20171226,0.454079,0.578343,0.444306,0.534669,578008,12600900,0.51
20171225,0.375213,0.477653,0.343509,0.449004,463378,10339100,0.41
20171224,0.365735,0.408573,0.294545,0.371529,331991,9893830,0.35
20171223,0.233531,0.418137,0.233531,0.361639,467383,6264340,0.33
20171222,0.271294,0.279850,0.186653,0.231587,232873,7236830,0.23
20171221,0.273054,0.316985,0.249289,0.269233,223139,7256430,0.28
20171220,0.284817,0.288545,0.240441,0.272269,204899,7544910,0.26
20171219,0.267556,0.309237,0.261647,0.294499,296348,7076360,0.29
20171218,0.275026,0.288499,0.232631,0.271741,252465,7271990,0.26
20171217,0.221776,0.284737,0.208677,0.282844,227913,5860870,0.25
20171216,0.221181,0.243955,0.184711,0.221823,147130,5835730,0.21
20171215,0.214869,0.244257,0.209174,0.220874,213341,5654080,0.23
20171214,0.240428,0.256767,0.178718,0.214515,148265,6300330,0.22
20171213,0.250193,0.276189,0.208948,0.238472,142586,6549200,0.24
20171212,0.238580,0.277610,0.223529,0.250289,178241,6234510,0.25
20171211,0.187328,0.260385,0.186572,0.237949,127251,4887890,0.22
20171210,0.194615,0.248751,0.177343,0.188879,96761,5078040,0.21
20171209,0.234452,0.263319,0.185785,0.193850,87508,6110280,0.22
20171208,0.213925,0.244307,0.181361,0.234663,48464,5517270,0.21
20171207,0.222693,0.257149,0.185991,0.213439,138475,5743280,0.22
20171206,0.227010,0.261777,0.183513,0.223121,177184,5849850,0.22
20171205,0.237022,0.277269,0.216399,0.233794,222560,6079760,0.25
20171204,0.211849,0.237071,0.206364,0.236581,155096,5406260,0.22
20171203,0.159694,0.246706,0.150469,0.205722,392486,3994010,0.20
20171202,0.142158,0.159557,0.118729,0.159557,137899,3528920,0.14
20171201,0.101412,0.152473,0.093641,0.142268,194396,2505880,0.12
20171130,0.095001,0.111340,0.083092,0.109982,37498,2340870,0.10
20171129,0.090080,0.134268,0.082886,0.093590,119156,2210600,0.11
20171128,0.072848,0.090778,0.072848,0.090125,38751,1784920,0.08
20171127,0.062738,0.081195,0.062738,0.081075,28381,1536190,0.07
20171126,0.058461,0.068375,0.057891,0.062735,15697,1427170,0.06
20171125,0.056502,0.063077,0.050159,0.058476,22211,1378510,0.06
20171124,0.058380,0.062999,0.050891,0.056586,21862,1418580,0.06
20171123,0.058088,0.070019,0.058088,0.058522,37452,1406660,0.06
20171122,0.057551,0.062198,0.052272,0.058097,97837,1391280,0.06
20171121,0.052867,0.061507,0.050934,0.057420,29068,1272940,0.06
20171120,0.059132,0.059774,0.052865,0.052865,41635,1423790,0.06
20171119,0.060583,0.068309,0.058750,0.059167,14455,1451810,0.06
20171118,0.064022,0.069824,0.056126,0.060712,26722,1527320,0.06
20171117,0.055903,0.067286,0.050471,0.064231,44667,1331940,0.06
20171116,0.066262,0.067710,0.055931,0.055993,22847,1571250,0.06
20171115,0.057628,0.073577,0.056751,0.065955,24312,1362560,0.07
20171114,0.048523,0.058486,0.048523,0.057590,19332,1146630,0.05
20171113,0.058013,0.065924,0.047658,0.048451,19016,1364510,0.06
20171112,0.063341,0.068345,0.051900,0.057926,23283,1485480,0.06
20171111,0.072064,0.075145,0.061866,0.063374,16703,1686090,0.07
20171110,0.075393,0.086505,0.068086,0.072339,40557,1759760,0.08
20171109,0.078010,0.106292,0.072406,0.078605,64382,1800210,0.09
20171108,0.062501,0.078120,0.061747,0.078104,40037,1437190,0.07
20171107,0.063248,0.067590,0.057037,0.062661,20677,1449360,0.06
20171106,0.071970,0.078051,0.055799,0.063324,32710,1642740,0.07
20171105,0.051846,0.082057,0.049936,0.071819,53058,1180670,0.07
20171104,0.051620,0.061908,0.045157,0.051945,26891,1168490,0.05
20171103,0.041556,0.063009,0.028558,0.051751,63403,934886,0.05
