date,open,high,low,close,volume,marketcap,average
20180110,0.329654,0.329654,0.218647,0.264785,10691,,0.27
20180109,0.300604,0.341992,0.259509,0.329221,24278,,0.30
20180108,0.295608,0.323401,0.161541,0.301429,42629,,0.24
20180107,0.286539,0.320772,0.246210,0.294274,30248,,0.28
20180106,0.252053,0.292427,0.208561,0.288001,12973,,0.25
20180105,0.238777,0.266474,0.213277,0.251860,9186,,0.24
20180104,0.252981,0.253638,0.179206,0.238774,11538,,0.22
20180103,0.193396,0.251642,0.162018,0.251612,21709,,0.21
20180102,0.167053,0.204914,0.130126,0.194083,20136,,0.17
20180101,0.140441,0.174379,0.130745,0.167056,3579,,0.15
20171231,0.127772,0.167990,0.118229,0.139906,2876,,0.14
20171230,0.172172,0.172229,0.112008,0.129167,2852,,0.14
20171229,0.165857,0.200769,0.152249,0.172607,3461,,0.18
20171228,0.169572,0.196717,0.114228,0.164161,11126,,0.16
20171227,0.135728,0.170148,0.125234,0.169928,15281,,0.15
20171226,0.139587,0.161323,0.104901,0.135630,3360,,0.13
20171225,0.150282,0.150375,0.117477,0.140262,7657,,0.13
20171224,0.097118,0.143700,0.072832,0.143700,7474,,0.11
20171223,0.081747,0.160856,0.074518,0.096111,9265,,0.12
20171222,0.080298,0.087150,0.057738,0.080982,1307,,0.07
20171221,0.083913,0.087660,0.062360,0.080031,1279,,0.08
20171220,0.091440,0.096145,0.063751,0.083695,2683,,0.08
20171219,0.086193,0.099063,0.075949,0.091504,2515,,0.09
20171218,0.099807,0.100627,0.078282,0.086119,833,,0.09
20171217,0.102994,0.114044,0.070131,0.099511,3652,,0.09
20171216,0.111445,0.113633,0.098813,0.102509,1547,,0.11
20171215,0.107847,0.115375,0.098512,0.111290,3057,,0.11
20171214,0.094162,0.120510,0.063428,0.107667,11496,,0.09
20171213,0.107169,0.132630,0.073167,0.094447,4190,,0.10
20171212,0.100719,0.203371,0.098357,0.107079,2428,,0.15
20171211,0.104280,0.115263,0.087013,0.100395,1103,,0.10
20171210,0.088921,0.119172,0.068301,0.105043,551,,0.09
20171209,0.073105,0.103732,0.072702,0.088564,2228,,0.09
20171208,0.106554,0.106554,0.068099,0.073179,4821,,0.09
20171207,0.118493,0.154101,0.084241,0.106304,6588,,0.12
20171206,0.104207,0.125520,0.103671,0.118697,2849,,0.11
20171205,0.094044,0.153422,0.093360,0.104441,14945,,0.12
20171204,0.101926,0.102389,0.080067,0.093859,4229,,0.09
20171203,0.109714,0.123112,0.078832,0.101547,18758,,0.10
20171202,0.132046,0.172144,0.109796,0.120076,23394,,0.14
20171201,0.111681,0.171412,0.092876,0.116308,11332,,0.13
20171130,0.052759,0.225466,0.052422,0.112236,38330,,0.14
20171129,0.068428,0.074931,0.047720,0.051964,1477,,0.06
20171128,0.072738,0.073816,0.065430,0.068496,2781,,0.07
20171127,0.089391,0.094053,0.071769,0.072551,850,,0.08
20171126,0.071459,0.138788,0.071380,0.089374,3722,,0.11
20171125,0.074599,0.097379,0.066306,0.071483,121,,0.08
