date,open,high,low,close,volume,marketcap,average
20180110,0.282996,0.297002,0.203821,0.246596,15531100,,0.25
20180109,0.230225,0.334216,0.221432,0.285786,17943300,,0.28
20180108,0.228766,0.247509,0.185497,0.230285,8898570,,0.22
20180107,0.199752,0.234776,0.190234,0.227816,7504300,,0.21
20180106,0.206447,0.211077,0.177417,0.199479,6716630,,0.19
20180105,0.231648,0.240173,0.180213,0.202496,11504600,,0.21
20180104,0.153789,0.225048,0.139070,0.225048,12762600,,0.18
20180103,0.130306,0.192927,0.127545,0.147472,8039460,,0.16
20180102,0.122903,0.130396,0.114563,0.130113,4040740,,0.12
20180101,0.123758,0.125026,0.115945,0.122684,3385730,,0.12
20171231,0.107999,0.126704,0.107011,0.123448,2494270,,0.12
20171230,0.122247,0.122533,0.101039,0.108299,2042160,,0.11
20171229,0.135410,0.135410,0.119471,0.122039,1507480,,0.13
20171228,0.145705,0.146766,0.122084,0.136240,2342870,,0.13
20171227,0.154668,0.158843,0.141933,0.144124,1845770,,0.15
20171226,0.161340,0.168921,0.152401,0.152834,2538310,,0.16
20171225,0.169504,0.169504,0.156192,0.162615,3050020,,0.16
20171224,0.192043,0.192043,0.146634,0.168429,3801930,,0.17
20171223,0.188797,0.206445,0.162818,0.186015,6156840,,0.18
20171222,0.281565,0.285683,0.111467,0.174117,11334100,,0.20
20171221,0.228393,0.300460,0.213504,0.286611,12719000,,0.26
20171220,0.206388,0.255622,0.158805,0.227611,1259220,,0.21
20171219,0.219561,0.238249,0.182817,0.209189,1368220,,0.21
20171218,0.219201,0.247308,0.174930,0.220371,1474300,,0.21
20171217,0.147533,0.258308,0.139253,0.247693,3001260,,0.20
20171216,0.100355,0.146680,0.094497,0.146680,8999080,,0.12
20171215,0.054960,0.117939,0.054960,0.097282,8095470,,0.09
20171214,0.031620,0.085933,0.031367,0.055661,311287,,0.06
20171213,0.030894,0.032493,0.029871,0.031643,630842,,0.03
20171212,0.031575,0.031786,0.029611,0.030942,1196010,,0.03
20171211,0.031193,0.031720,0.029193,0.031562,771951,,0.03
20171210,0.030118,0.031364,0.027730,0.031158,771468,,0.03
20171209,0.031814,0.032612,0.028478,0.029644,267379,,0.03
20171208,0.031969,0.033581,0.029707,0.031779,1100370,,0.03
20171207,0.031025,0.034726,0.030062,0.033838,1025620,,0.03
20171206,0.033125,0.033132,0.030972,0.030991,728687,,0.03
20171205,0.031276,0.036722,0.030226,0.033999,868867,,0.03
20171204,0.031201,0.031955,0.029473,0.030388,758532,,0.03
20171203,0.030042,0.032214,0.030013,0.031254,566463,,0.03
20171202,0.031258,0.032048,0.030058,0.030059,140123,,0.03
20171201,0.031137,0.032044,0.029352,0.031255,258646,,0.03
20171130,0.030645,0.032502,0.029326,0.031210,1156750,,0.03
20171129,0.033200,0.033268,0.029624,0.029624,899221,,0.03
20171128,0.033903,0.034243,0.032070,0.033307,561165,,0.03
20171127,0.033163,0.034032,0.031254,0.033047,345377,,0.03
20171126,0.032244,0.033161,0.031318,0.033161,157201,,0.03
20171125,0.032248,0.033169,0.031323,0.032244,125037,,0.03
20171124,0.031325,0.033217,0.029504,0.032300,569935,,0.03
20171123,0.033147,0.034068,0.031235,0.031376,249430,,0.03
20171122,0.031940,0.034678,0.031940,0.033124,249487,,0.03
20171121,0.033055,0.033055,0.032137,0.033055,770452,,0.03
