date,open,high,low,close,volume,marketcap,average
20180110,0.372867,0.373156,0.284303,0.356217,15779700,281959000,0.33
20180109,0.385881,0.425842,0.361515,0.373701,16265800,291800000,0.39
20180108,0.426283,0.470335,0.343183,0.387942,21015600,322352000,0.41
20180107,0.448303,0.493384,0.394194,0.426106,22822200,339004000,0.44
20180106,0.366606,0.445617,0.366606,0.445617,21625400,277225000,0.41
20180105,0.334275,0.462326,0.328469,0.365383,38933100,252776000,0.40
20180104,0.224816,0.381342,0.216386,0.342795,37660700,170004000,0.30
20180103,0.195024,0.236883,0.168335,0.222537,17264200,147476000,0.20
20180102,0.177841,0.201011,0.141934,0.195753,10417500,134482000,0.17
20180101,0.170690,0.200053,0.167556,0.177758,6048970,129074000,0.18
20171231,0.158484,0.190021,0.150585,0.172698,9140720,119844000,0.17
20171230,0.166819,0.174259,0.139559,0.158732,8452040,126147000,0.16
20171229,0.150399,0.179001,0.149685,0.166870,6058230,113731000,0.16
20171228,0.157370,0.172696,0.139198,0.148874,5498480,119002000,0.16
20171227,0.148692,0.181673,0.135946,0.158417,6916430,112440000,0.16
20171226,0.149096,0.152491,0.119170,0.148425,6647080,112745000,0.14
20171225,0.142863,0.171697,0.139965,0.149576,5069220,108032000,0.16
20171224,0.158028,0.174687,0.126956,0.141318,9071520,119499000,0.15
20171223,0.094884,0.187530,0.094884,0.161044,22088900,71750700,0.14
20171222,0.104515,0.106428,0.067149,0.093701,4648840,79033300,0.09
20171221,0.106941,0.124518,0.100026,0.103662,5738940,80867900,0.11
20171220,0.127667,0.127667,0.100961,0.106038,6236560,96541100,0.11
20171219,0.119500,0.139745,0.110082,0.127791,6421380,90364700,0.12
20171218,0.110631,0.130120,0.107397,0.119624,8339420,83658300,0.12
20171217,0.089070,0.156539,0.086276,0.108680,20332200,67354300,0.12
20171216,0.059015,0.105568,0.059015,0.086793,15642500,44627000,0.08
20171215,0.054260,0.059942,0.051006,0.059224,2613900,41031000,0.06
20171214,0.047595,0.054338,0.044530,0.053843,2892190,35991100,0.05
20171213,0.048174,0.049570,0.041806,0.048213,1561250,36428800,0.05
20171212,0.046356,0.050620,0.044304,0.047917,2374160,35054100,0.05
20171211,0.043685,0.049770,0.042113,0.047023,1927450,33034600,0.05
20171210,0.040242,0.047636,0.035862,0.043897,3137740,30430500,0.04
20171209,0.041891,0.042577,0.036355,0.040201,2383740,31677900,0.04
20171208,0.052963,0.052963,0.036272,0.042106,7278730,40050600,0.04
20171207,0.035764,0.060121,0.031876,0.052062,25382700,27044800,0.05
20171206,0.027800,0.036782,0.026926,0.035844,3943450,21022300,0.03
20171205,0.026365,0.028723,0.025791,0.027588,1460060,19936800,0.03
20171204,0.025238,0.026267,0.024177,0.026218,367747,19085100,0.03
20171203,0.027013,0.027585,0.023953,0.025311,490435,20426800,0.03
20171202,0.024646,0.027546,0.024646,0.026994,350439,18637100,0.03
20171201,0.022897,0.025711,0.021292,0.024781,275663,17314500,0.02
20171130,0.021697,0.023778,0.019866,0.022968,402797,16406800,0.02
20171129,0.025637,0.027068,0.020349,0.021382,620479,19386500,0.02
20171128,0.028023,0.028023,0.024204,0.025647,772860,21190700,0.03
20171127,0.024317,0.027752,0.022986,0.027752,771542,18388000,0.03
20171126,0.022974,0.024932,0.022684,0.024315,432412,17372900,0.02
20171125,0.023772,0.023772,0.021051,0.022857,498302,17975900,0.02
20171124,0.024059,0.025244,0.021215,0.023288,763263,18192900,0.02
20171123,0.022802,0.027316,0.021590,0.024115,1200440,17242500,0.02
20171122,0.021694,0.022882,0.020627,0.022712,441265,16405000,0.02
20171121,0.022885,0.024280,0.021370,0.021693,284618,17305600,0.02
20171120,0.023656,0.025125,0.022609,0.022891,470417,17888300,0.02
20171119,0.020861,0.025588,0.020299,0.023578,906877,15775000,0.02
20171118,0.019356,0.021118,0.019355,0.020883,343427,14637100,0.02
20171117,0.021414,0.021687,0.019242,0.019295,401216,16192900,0.02
20171116,0.024979,0.024979,0.019871,0.021007,694196,18888700,0.02
20171115,0.028331,0.029634,0.022402,0.024687,1787340,,0.03
20171114,0.023834,0.030351,0.023834,0.028689,2961270,,0.03
20171113,0.018541,0.025244,0.018035,0.023990,1201260,,0.02
20171112,0.019974,0.020346,0.017212,0.018245,407616,,0.02
20171111,0.019663,0.021350,0.018917,0.019978,263952,,0.02
20171110,0.023254,0.024068,0.017783,0.019762,473213,,0.02
20171109,0.020892,0.025362,0.019368,0.024219,1045940,,0.02
20171108,0.019190,0.020912,0.018360,0.020906,699064,,0.02
20171107,0.017461,0.019330,0.017420,0.019330,377781,,0.02
20171106,0.018113,0.018482,0.017094,0.017450,570562,,0.02
20171105,0.018694,0.019350,0.018083,0.018083,345152,,0.02
20171104,0.020398,0.020516,0.018452,0.018639,510893,,0.02
20171103,0.017431,0.024481,0.017282,0.020453,1821180,,0.02
20171102,0.020079,0.020079,0.015620,0.017371,333967,,0.02
20171101,0.024308,0.024351,0.019099,0.020033,742008,,0.02
