date,open,high,low,close,volume,marketcap,average
20180110,0.157429,0.163051,0.148058,0.150869,3718410,,0.16
20180109,0.162810,0.177575,0.147691,0.156104,3480830,,0.16
20180108,0.174209,0.174209,0.144273,0.161158,1457280,,0.16
20180107,0.164768,0.181707,0.163826,0.169468,2164900,,0.17
20180106,0.174183,0.194897,0.150645,0.163826,3345710,,0.17
20180105,0.131808,0.215634,0.122412,0.177195,5339240,,0.17
20180104,0.159707,0.169101,0.122102,0.131765,2189830,,0.15
20180103,0.159887,0.178697,0.150171,0.150358,11555800,,0.16
20180102,0.178253,0.187635,0.150837,0.160320,108399000,,0.17
20180101,0.177994,0.187362,0.168626,0.187362,18168200,,0.18
