date,open,high,low,close,volume,marketcap,average
20180110,0.106428,0.128993,0.099678,0.116530,11276,593927,0.11
20180109,0.110862,0.142448,0.087961,0.106289,18974,618426,0.12
20180108,0.110585,0.147551,0.071423,0.111165,27326,616252,0.11
20180107,0.093033,0.159438,0.069342,0.110661,35681,518013,0.11
20180106,0.072674,0.099434,0.069712,0.093284,12681,404051,0.08
20180105,0.064569,0.131863,0.062166,0.077849,58748,358563,0.10
20180104,0.055041,0.068188,0.046882,0.067808,35212,305296,0.06
20180103,0.025247,0.058166,0.025212,0.054756,17981,139995,0.04
20180102,0.021444,0.029266,0.020455,0.025325,3668,118882,0.02
20180101,0.018190,0.021810,0.017948,0.021445,1570,100784,0.02
20171231,0.021598,0.023782,0.017490,0.018159,5623,119651,0.02
20171230,0.032386,0.032386,0.016884,0.021799,4755,179376,0.02
20171229,0.022985,0.036861,0.019719,0.032608,4309,127287,0.03
20171228,0.024713,0.029157,0.017038,0.022762,5396,136783,0.02
20171227,0.017746,0.081569,0.017603,0.024761,14284,98157,0.05
20171226,0.015177,0.092919,0.013697,0.017732,10484,83948,0.05
20171225,0.012054,0.015281,0.009156,0.015192,4999,66671,0.01
20171224,0.011461,0.012513,0.008403,0.011945,450,63381,0.01
20171223,0.012041,0.013655,0.010369,0.011342,752,66583,0.01
20171222,0.018474,0.024759,0.008966,0.011928,1852,102159,0.02
20171221,0.010871,0.019175,0.010815,0.018411,4427,60112,0.01
20171220,0.012049,0.012987,0.008570,0.010844,1733,66624,0.01
20171219,0.017566,0.017683,0.011202,0.012060,1644,97088,0.01
20171218,0.016689,0.020811,0.013353,0.017551,2323,92153,0.02
20171217,0.014559,0.018978,0.011689,0.016644,2969,80271,0.02
20171216,0.011553,0.015126,0.011520,0.014549,1531,63639,0.01
20171215,0.010913,0.013293,0.010224,0.011483,1302,60073,0.01
20171214,0.010520,0.011661,0.009035,0.010896,1382,57846,0.01
20171213,0.013189,0.013411,0.010478,0.010553,1246,72425,0.01
20171212,0.011742,0.013845,0.010443,0.013175,682,64379,0.01
20171211,0.008713,0.014010,0.008122,0.011704,1728,47745,0.01
20171210,0.013781,0.013781,0.008780,0.008780,670,75455,0.01
20171209,0.012991,0.016845,0.009659,0.013726,1310,71006,0.01
20171208,0.013173,0.016247,0.011077,0.013003,3652,71803,0.01
20171207,0.008297,0.017178,0.006959,0.013155,6062,45077,0.01
20171206,0.010195,0.011357,0.006310,0.008307,1022,55139,0.01
20171205,0.007535,0.010779,0.005829,0.010218,1282,40510,0.01
20171204,0.005034,0.007975,0.005029,0.007520,443,26996,0.01
20171203,0.006895,0.007245,0.004559,0.005018,902,36817,0.01
20171202,0.004967,0.007284,0.003856,0.006888,2157,26414,0.01
20171201,0.005434,0.006024,0.002327,0.004971,1878,28775,0.00
20171130,0.006643,0.007191,0.004672,0.005458,1586,35043,0.01
20171129,0.005355,0.007826,0.005355,0.007408,235,28136,0.01
20171128,0.005189,0.008395,0.004033,0.005361,1128,27190,0.01
20171127,0.004328,0.005268,0.004324,0.005176,176,22646,0.00
20171126,0.004455,0.004555,0.003907,0.004320,80,23272,0.00
20171125,0.003953,0.004674,0.003528,0.004457,1112,20544,0.00
20171124,0.003434,0.004339,0.003342,0.003962,375,17753,0.00
20171123,0.004744,0.005259,0.003440,0.003440,313,24405,0.00
20171122,0.004634,0.005157,0.004524,0.004751,306,23713,0.00
20171121,0.005731,0.006026,0.004501,0.004621,232,29225,0.01
20171120,0.004283,0.006064,0.004283,0.005727,809,21811,0.01
20171119,0.005396,0.005396,0.004109,0.004285,560,27400,0.00
20171118,0.004599,0.008022,0.004572,0.005406,1078,23308,0.01
20171117,0.004277,0.010203,0.003739,0.004616,5383,21616,0.01
20171116,0.005523,0.005589,0.003477,0.004285,436,27849,0.00
20171115,0.006661,0.008733,0.001349,0.005513,7051,33550,0.01
20171114,0.007237,0.011717,0.006400,0.006656,990,36407,0.01
20171113,0.007503,0.008074,0.005915,0.007224,100,37742,0.01
20171112,0.009390,0.009390,0.007237,0.007493,676,47230,0.01
20171111,0.006373,0.013085,0.006259,0.009392,229,32017,0.01
20171110,0.006091,0.010256,0.006091,0.006396,224,30592,0.01
20171109,0.006307,0.009538,0.005825,0.006064,123,31666,0.01
20171108,0.006556,0.008256,0.006232,0.006315,136,32889,0.01
20171107,0.006706,0.007061,0.006253,0.006576,184,33629,0.01
20171106,0.008512,0.008538,0.006671,0.006718,72,42650,0.01
20171105,0.007911,0.008656,0.004112,0.008493,305,39582,0.01
20171104,0.012996,0.013107,0.007926,0.007926,540,64959,0.01
20171103,0.006188,0.013545,0.006168,0.013022,1439,30888,0.01
20171102,0.006495,0.012121,0.003596,0.006195,1684,32381,0.01
20171101,0.010270,0.010620,0.005802,0.006485,972,51008,0.01
20171031,0.009831,0.010729,0.006923,0.010277,777,48808,0.01
20171030,0.009590,0.011752,0.008498,0.009865,1627,47495,0.01
20171029,0.009373,0.011598,0.009037,0.009652,808,46393,0.01
20171028,0.009192,0.011678,0.009136,0.009386,350,45408,0.01
