date,open,high,low,close,volume,marketcap,average
20180110,0.001877,0.001881,0.001402,0.001461,658148,39221200,0.00
20180109,0.002142,0.002429,0.001523,0.001874,1162570,44751200,0.00
20180108,0.001466,0.002659,0.001341,0.002214,2405760,30587300,0.00
20180107,0.001329,0.001486,0.001180,0.001467,695274,27731400,0.00
20180106,0.001235,0.001423,0.001026,0.001157,250129,25774600,0.00
20180105,0.001147,0.001447,0.001055,0.001234,491735,23930500,0.00
20180104,0.001364,0.001506,0.001026,0.001032,394873,28451900,0.00
20180103,0.001153,0.001357,0.001040,0.001357,518307,24049000,0.00
20180102,0.000540,0.001151,0.000428,0.001129,414091,11262300,0.00
20180101,0.000554,0.000558,0.000398,0.000540,37411,11549300,0.00
20171231,0.000510,0.000567,0.000396,0.000552,57452,10625500,0.00
20171230,0.000545,0.000580,0.000368,0.000515,68911,11361400,0.00
20171229,0.000577,0.000603,0.000428,0.000547,50592,12029800,0.00
20171228,0.000466,0.000616,0.000410,0.000571,96290,9713120,0.00
20171227,0.000607,0.000634,0.000321,0.000467,168124,12648100,0.00
20171226,0.000550,0.000619,0.000419,0.000476,63023,11459700,0.00
20171225,0.000416,0.000558,0.000275,0.000550,75568,8670050,0.00
20171224,0.000437,0.000479,0.000271,0.000412,65412,9107340,0.00
20171223,0.000419,0.000614,0.000340,0.000432,91738,8723540,0.00
20171222,0.000463,0.000588,0.000251,0.000415,158692,9654440,0.00
20171221,0.000333,0.000479,0.000230,0.000353,167130,6938160,0.00
20171220,0.000162,0.000365,0.000148,0.000332,132111,3384050,0.00
20171219,0.000187,0.000188,0.000159,0.000163,5517,3891590,0.00
20171218,0.000176,0.000187,0.000159,0.000187,6299,3671010,0.00
20171217,0.000144,0.000191,0.000106,0.000176,32598,2992270,0.00
20171216,0.000164,0.000176,0.000135,0.000144,2868,3414920,0.00
20171215,0.000112,0.000167,0.000108,0.000164,4758,2327190,0.00
20171214,0.000114,0.000119,0.000078,0.000111,2735,2376450,0.00
