date,open,high,low,close,volume,marketcap,average
20180110,0.042503,0.045724,0.041094,0.043952,2038,244904,0.04
20180109,0.037494,0.042862,0.037494,0.042485,1970,216043,0.04
20180108,0.036833,0.040456,0.029095,0.037601,1177,212233,0.03
20180107,0.033207,0.036502,0.033126,0.036502,1116,191341,0.03
20180106,0.032333,0.033364,0.031932,0.033221,4395,186304,0.03
20180104,0.113269,0.113269,0.108147,0.109820,8194,652657,0.11
20180103,0.103385,0.114072,0.101748,0.113089,8437,595704,0.11
20180102,0.089219,0.104392,0.060695,0.102907,7678,514079,0.08
20180101,0.087769,0.090284,0.087769,0.089011,45,505724,0.09
20171231,0.023048,0.089489,0.022865,0.088776,24,132803,0.06
20171230,0.088745,0.088745,0.023164,0.023251,55,511348,0.06
20171229,0.089824,0.089824,0.087511,0.088775,20,517563,0.09
20171226,0.087167,0.090823,0.087124,0.089287,1940,502255,0.09
20171225,0.081133,0.089803,0.081100,0.087135,1893,467489,0.09
20171224,0.021923,0.080735,0.018876,0.080735,1754,126320,0.05
20171223,0.020468,0.023280,0.020343,0.021667,6,117937,0.02
20171222,0.019679,0.021960,0.019284,0.020301,5,113388,0.02
20171221,0.071940,0.075681,0.071401,0.074532,2679,414521,0.07
20171220,0.081498,0.081513,0.064978,0.071864,2583,469589,0.07
20171219,0.078772,0.085697,0.070184,0.073427,2779,453885,0.08
20171218,0.071824,0.079863,0.068451,0.078958,71,413849,0.07
20171217,0.027787,0.114235,0.027741,0.071918,1922,160108,0.07
20171216,0.034230,0.035788,0.027493,0.027709,415,197235,0.03
20171215,0.034710,0.034770,0.030772,0.034166,394,200000,0.03
20171214,0.070043,0.073847,0.033011,0.034678,1093,403586,0.05
20171213,0.052857,0.075533,0.047650,0.070079,2038,304561,0.06
20171212,0.035740,0.063713,0.015598,0.052821,854,205932,0.04
20171211,0.030435,0.035970,0.030400,0.035970,173,175367,0.03
20171210,0.033002,0.033002,0.029201,0.030401,175,190158,0.03
