date,open,high,low,close,volume,marketcap,average
20180110,0.344040,0.345441,0.277607,0.322583,48560600,348481000,0.31
20180109,0.375628,0.378507,0.324129,0.339553,57948100,380477000,0.35
20180108,0.366194,0.406208,0.271770,0.369596,75891100,370921000,0.34
20180107,0.282154,0.442615,0.282154,0.369780,198531000,285796000,0.36
20180106,0.226860,0.310634,0.220402,0.282655,51607400,229788000,0.27
20180105,0.243212,0.265542,0.210805,0.225407,49128300,246351000,0.24
20180104,0.194435,0.271289,0.184555,0.246613,66040600,196945000,0.23
20180103,0.190394,0.199476,0.173857,0.198287,30567500,192851000,0.19
20180102,0.164620,0.208122,0.157986,0.193894,40233600,166745000,0.18
20180101,0.174382,0.176806,0.152453,0.165049,18272200,176633000,0.16
20171231,0.163058,0.210666,0.156643,0.174934,37303700,165163000,0.18
20171230,0.219280,0.219280,0.140387,0.167018,54680700,222111000,0.18
20171229,0.115656,0.255044,0.112934,0.221719,238696000,117149000,0.18
20171228,0.078571,0.135100,0.069545,0.116341,50559700,79585300,0.10
20171227,0.086862,0.086862,0.076639,0.079841,9208230,87983100,0.08
20171226,0.072529,0.094719,0.072529,0.084908,20758700,68177500,0.08
20171225,0.062560,0.080182,0.057901,0.072906,9595270,58805900,0.07
20171224,0.066925,0.068963,0.051467,0.061825,6967380,62909200,0.06
20171223,0.052740,0.079567,0.051097,0.066348,10535200,49575800,0.07
20171222,0.068272,0.068934,0.035281,0.052123,6961180,64175500,0.05
20171221,0.060703,0.079961,0.059666,0.067087,12868000,57061000,0.07
20171220,0.073640,0.073640,0.058163,0.060674,13460400,69221800,0.07
20171219,0.089642,0.089642,0.066889,0.073759,12921900,84263700,0.08
20171218,0.065984,0.094966,0.063648,0.089312,36895400,62024800,0.08
20171217,0.043012,0.068082,0.043012,0.066148,19584900,40431300,0.06
20171216,0.039446,0.045716,0.034677,0.042673,10722900,37079600,0.04
20171215,0.035794,0.049202,0.026769,0.040949,17228100,33646100,0.04
20171214,0.023680,0.036052,0.021729,0.035728,10632800,22259500,0.03
20171213,0.025237,0.026007,0.021053,0.023790,3224710,23722400,0.02
20171212,0.022730,0.029688,0.020701,0.025442,6904120,21366500,0.03
20171211,0.022365,0.024729,0.021342,0.022751,446921,21023300,0.02
20171210,0.022002,0.026375,0.017770,0.023055,687983,20681800,0.02
20171209,0.022440,0.023863,0.020732,0.021921,420458,21093400,0.02
20171208,0.024386,0.025684,0.021242,0.022394,501650,,0.02
20171207,0.020312,0.024514,0.018778,0.024484,715185,,0.02
20171206,0.025771,0.026512,0.020290,0.020485,557833,,0.02
20171205,0.028559,0.029608,0.024218,0.026499,981642,,0.03
20171204,0.027777,0.031170,0.026714,0.028758,1469880,,0.03
20171203,0.023100,0.028276,0.022579,0.027762,1063640,,0.03
20171202,0.020423,0.024515,0.020363,0.023291,758941,,0.02
20171201,0.018580,0.025141,0.018543,0.020423,1540860,,0.02
20171130,0.015214,0.018823,0.014672,0.018626,728686,,0.02
