date,open,high,low,close,volume,marketcap,average
20180110,0.285426,0.547409,0.275771,0.547409,4523,,0.41
20180109,0.313447,0.371237,0.268548,0.285137,4574,,0.32
20180108,0.300946,0.322002,0.254571,0.314310,3642,,0.29
20180107,0.300569,0.380066,0.224755,0.301368,8941,,0.30
20180106,0.247134,0.429657,0.244648,0.300789,1583,,0.34
20180105,0.309128,0.425722,0.246180,0.246775,408,,0.34
20180104,0.407620,0.470048,0.305513,0.309185,883,,0.39
20180103,0.367008,0.622015,0.281382,0.405732,6807,,0.45
20180102,0.217794,0.407955,0.217794,0.368323,30738,,0.31
20180101,0.226928,0.238014,0.213586,0.217804,3871,,0.23
20171231,0.131283,0.236913,0.130788,0.226047,5953,,0.18
20171230,0.219914,0.274744,0.119608,0.132530,3389,,0.20
20171229,0.255387,0.258343,0.193992,0.220338,6150,,0.23
20171228,0.152194,0.280977,0.132260,0.252794,12724,,0.21
20171227,0.172992,0.239540,0.123817,0.151517,3424,,0.18
20171226,0.138789,0.232663,0.109449,0.171080,1438,,0.17
20171225,0.110283,0.138849,0.108132,0.138849,594,,0.12
20171224,0.107968,0.136776,0.072260,0.109703,405,,0.10
20171223,0.128994,0.131316,0.060921,0.106770,1476,,0.10
20171222,0.158317,0.234168,0.119356,0.127862,943,,0.18
20171221,0.159868,0.168180,0.153074,0.157720,85,,0.16
20171220,0.171145,0.232361,0.109566,0.159697,2971,,0.17
20171219,0.102645,0.176067,0.100233,0.171329,3148,,0.14
20171218,0.090498,0.103822,0.086699,0.102956,649,,0.10
20171217,0.103910,0.108065,0.084502,0.090617,736,,0.10
20171216,0.167728,0.175362,0.068664,0.103584,566,,0.12
20171215,0.169921,0.170373,0.048386,0.167414,781,,0.11
20171214,0.032253,0.182669,0.031948,0.170045,686,,0.11
20171213,0.105715,0.155386,0.031711,0.032269,804,,0.09
20171212,0.084849,0.169480,0.084296,0.105643,712,,0.13
20171211,0.129185,0.142277,0.055095,0.085397,578,,0.10
20171210,0.147198,0.147198,0.128915,0.129040,209,,0.14
20171209,0.090508,0.157888,0.087091,0.146728,872,,0.12
20171208,0.063382,0.092465,0.061821,0.090510,105,,0.08
20171207,0.063518,0.077702,0.061863,0.063290,167,,0.07
20171206,0.068215,0.068472,0.062453,0.063739,190,,0.07
20171205,0.109601,0.109895,0.068180,0.068335,160,,0.09
20171204,0.092609,0.110162,0.089538,0.109545,345,,0.10
20171203,0.094343,0.133735,0.086236,0.110465,310,,0.11
20171202,0.138552,0.141292,0.094206,0.094311,965,,0.12
20171201,0.089438,0.139997,0.086953,0.138556,1439,,0.11
20171130,0.168215,0.181539,0.089661,0.089661,8245,,0.14
20171129,0.155522,0.173182,0.144750,0.166089,1884,,0.16
