date,open,high,low,close,volume,marketcap,average
20180110,69.00,70.48,59.82,66.61,25423000,603396000,65.15
20180109,75.78,79.47,66.23,68.58,31292400,662696000,72.85
20180108,71.61,78.58,63.78,76.07,43430600,626257000,71.18
20180107,63.65,87.16,63.26,71.38,52211000,556637000,75.21
20180106,63.04,68.23,58.72,63.85,28218000,551284000,63.48
20180105,66.55,69.71,58.50,62.74,36607800,582013000,64.10
20180104,66.77,72.04,63.86,66.63,36659400,583930000,67.95
20180103,61.84,71.65,58.53,66.37,47762500,540791000,65.09
20180102,64.86,70.29,56.39,60.36,67878600,567190000,63.34
20180101,58.31,78.08,52.01,64.81,104632000,509929000,65.05
20171231,41.41,57.71,40.72,57.71,32330900,362128000,49.22
20171230,47.02,47.34,38.04,42.19,19579400,411153000,42.69
20171229,41.99,49.05,41.36,47.10,20666300,367167000,45.20
20171228,44.31,44.94,37.96,41.56,15198000,387534000,41.45
20171227,48.10,48.10,42.41,44.39,22010600,420603000,45.25
20171226,47.91,48.02,40.56,47.85,35829800,418940000,44.29
20171225,35.61,47.84,34.15,47.46,36559000,311425000,41.00
20171224,37.10,37.29,29.72,35.56,13755700,324430000,33.50
20171223,32.41,41.37,31.85,36.85,17790400,283391000,36.61
20171222,41.79,43.10,23.47,32.00,22498500,365478000,33.28
20171221,43.95,46.90,38.50,41.69,29188800,384374000,42.70
20171220,41.68,46.08,35.48,43.75,22740800,364453000,40.78
20171219,42.35,46.44,38.42,41.38,21900300,370347000,42.43
20171218,38.43,44.69,36.76,42.27,20930600,336081000,40.72
20171217,31.71,44.93,31.16,38.59,28270400,277291000,38.05
20171216,31.71,32.10,29.75,30.95,12512500,277307000,30.93
20171215,32.42,32.88,26.16,31.67,19675900,283513000,29.52
20171214,25.89,35.82,25.73,32.29,34603300,226380000,30.77
20171213,27.03,29.23,24.87,26.36,12217400,236393000,27.05
20171212,23.67,27.96,22.97,27.24,11137400,206965000,25.46
20171211,19.24,25.26,19.24,23.63,9127790,168222000,22.25
20171210,21.60,21.60,18.82,19.65,6611590,188866000,20.21
20171209,20.21,22.34,20.01,22.06,9043360,176714000,21.18
20171208,19.34,22.37,18.11,20.37,11227700,169133000,20.24
20171207,23.02,25.46,19.29,19.48,13384500,201335000,22.38
20171206,25.50,25.96,21.45,22.61,10704200,222978000,23.70
20171205,23.83,25.59,23.73,25.51,7338800,208365000,24.66
20171204,23.05,24.46,22.74,23.88,6554430,201603000,23.60
20171203,22.26,24.60,21.36,23.11,5475510,194654000,22.98
20171202,23.17,23.35,21.68,22.43,3068200,202640000,22.52
20171201,23.19,23.25,20.96,23.23,4852030,202810000,22.11
20171130,20.25,23.60,18.57,23.39,6917800,177046000,21.09
