date,open,high,low,close,volume,marketcap,average
20180110,1.13,1.15,1.04,1.12,94028,60145000,1.09
20180109,1.18,1.25,1.10,1.12,181735,62805100,1.18
20180108,1.20,1.30,1.08,1.19,341470,63675700,1.19
20180107,1.37,1.37,1.18,1.18,188584,73102300,1.27
20180106,1.17,1.38,1.09,1.35,237520,62025700,1.23
20180105,1.17,1.23,1.11,1.15,206715,62189100,1.17
20180104,1.14,1.23,1.02,1.20,333313,60613300,1.12
20180103,1.16,1.20,1.04,1.13,171313,61444800,1.12
20180102,1.08,1.22,1.04,1.15,413600,57455300,1.13
20180101,1.05,1.14,1.00,1.08,199392,55779000,1.07
20171231,1.01,1.13,0.990722,1.07,88710,53670300,1.06
20171230,1.06,1.09,0.961267,1.02,183747,56192800,1.03
20171229,1.04,1.11,0.991947,1.06,113638,55410000,1.05
20171228,1.12,1.13,0.975889,1.03,68662,59776000,1.05
20171227,1.11,1.20,1.04,1.13,78566,58976100,1.12
20171226,1.08,1.16,1.04,1.11,168331,57660900,1.10
20171225,1.08,1.16,1.03,1.10,189752,57624300,1.09
20171224,1.12,1.13,0.956429,1.07,121984,59436100,1.04
20171223,1.02,1.21,0.989710,1.11,268988,54121300,1.10
20171222,1.02,1.11,0.676852,1.01,400207,54328600,0.89
20171221,0.969051,1.39,0.925707,1.00,1188120,51547500,1.16
20171220,1.07,1.09,0.919676,0.966520,128484,56953500,1.00
20171219,1.17,1.19,1.04,1.07,182804,62084800,1.11
20171218,1.07,1.17,0.954351,1.16,272848,56958400,1.06
20171217,1.13,1.17,1.03,1.08,228618,60365700,1.10
20171216,1.25,1.32,1.12,1.13,462634,66462700,1.22
20171215,1.05,1.91,0.984781,1.27,2878780,55982800,1.45
20171214,0.990553,1.08,0.948631,1.05,61542,52691300,1.01
20171213,1.03,1.13,0.938284,0.993742,187756,54680700,1.03
20171212,1.15,1.15,1.01,1.06,139461,60954700,1.08
20171211,1.14,1.24,1.06,1.14,55152,60795500,1.15
20171210,1.15,1.28,1.00,1.15,120025,60968600,1.14
20171209,1.22,1.35,1.04,1.14,90943,64885200,1.20
20171208,1.30,1.32,1.06,1.22,155113,69061700,1.19
20171207,1.26,1.30,0.946741,1.30,173761,66963000,1.12
20171206,1.27,1.43,1.21,1.26,504497,67363300,1.32
20171205,1.29,1.33,1.19,1.27,24465,68558000,1.26
20171204,1.27,1.36,1.18,1.29,83488,67645500,1.27
20171203,1.17,1.55,1.12,1.29,255242,62163300,1.33
20171202,1.22,1.26,1.15,1.19,30563,64860200,1.21
20171201,1.16,1.25,1.07,1.22,47404,61805700,1.16
