date,open,high,low,close,volume,marketcap,average
20180110,0.000103,0.000104,0.000091,0.000095,74583,45699200,0.00
20180109,0.000114,0.000119,0.000101,0.000103,95307,50431100,0.00
20180108,0.000107,0.000143,0.000091,0.000114,82563,47442000,0.00
20180107,0.000105,0.000112,0.000089,0.000107,111755,46528900,0.00
20180106,0.000095,0.000110,0.000079,0.000105,148531,41994600,0.00
20180105,0.000111,0.000116,0.000084,0.000092,56659,49008800,0.00
20180104,0.000075,0.000111,0.000070,0.000111,76358,33241400,0.00
20180103,0.000064,0.000089,0.000055,0.000075,60030,28479700,0.00
20180102,0.000049,0.000065,0.000047,0.000064,27210,21724900,0.00
20180101,0.000045,0.000051,0.000040,0.000050,22378,19954800,0.00
20171231,0.000033,0.000047,0.000030,0.000043,20552,14690200,0.00
20171230,0.000054,0.000054,0.000028,0.000031,15855,23874700,0.00
20171229,0.000057,0.000070,0.000049,0.000054,14329,25039800,0.00
20171228,0.000063,0.000070,0.000045,0.000056,19259,27761800,0.00
20171227,0.000082,0.000091,0.000054,0.000063,19838,36528200,0.00
20171226,0.000038,0.000108,0.000038,0.000082,20385,16731000,0.00
20171225,0.000036,0.000039,0.000028,0.000039,6924,15741500,0.00
20171224,0.000028,0.000045,0.000026,0.000035,11484,12630000,0.00
20171223,0.000077,0.000082,0.000029,0.000031,11095,33987400,0.00
20171222,0.000063,0.000080,0.000054,0.000076,6675,27883800,0.00
20171221,0.000063,0.000080,0.000045,0.000063,10965,27926900,0.00
20171220,0.000086,0.000093,0.000054,0.000063,7993,38151200,0.00
20171219,0.000110,0.000125,0.000087,0.000087,11883,48881000,0.00
20171218,0.000028,0.000107,0.000028,0.000107,6958,12580600,0.00
20171217,0.000062,0.000063,0.000028,0.000028,10456,27403700,0.00
20171216,0.000112,0.000115,0.000056,0.000063,8893,49444100,0.00
20171215,0.000049,0.000113,0.000048,0.000110,6748,21906800,0.00
20171214,0.000067,0.000072,0.000043,0.000050,5158,29756700,0.00
20171213,0.000048,0.000090,0.000041,0.000068,7671,21209500,0.00
20171212,0.000154,0.000156,0.000033,0.000048,7589,68372200,0.00
20171211,0.000105,0.000169,0.000104,0.000154,3557,46419200,0.00
20171210,0.000054,0.000109,0.000050,0.000105,1475,23877500,0.00
20171209,0.000147,0.000149,0.000044,0.000054,2476,65284200,0.00
20171208,0.000174,0.000176,0.000126,0.000148,1778,76899600,0.00
20171207,0.000135,0.000173,0.000134,0.000173,3021,59978200,0.00
20171206,0.000035,0.000136,0.000035,0.000136,21770,15613800,0.00
20171205,0.000016,0.000036,0.000006,0.000035,867,7223700,0.00
20171204,0.000036,0.000037,0.000011,0.000016,787,16062000,0.00
20171203,0.000044,0.000077,0.000034,0.000036,431,19646400,0.00
20171202,0.000037,0.000046,0.000026,0.000044,466,16511400,0.00
20171201,0.000098,0.000103,0.000037,0.000037,1006,43335300,0.00
20171130,0.000086,0.000105,0.000071,0.000098,6844,38309200,0.00
20171129,0.000093,0.000114,0.000024,0.000085,2608,41054900,0.00
20171128,0.000092,0.000097,0.000090,0.000093,365,40640500,0.00
20171127,0.000061,0.000092,0.000061,0.000091,902,27135200,0.00
20171126,0.000015,0.000063,0.000010,0.000061,1277,6435100,0.00
20171125,0.000016,0.000020,0.000004,0.000014,846,7058030,0.00
20171124,0.000017,0.000032,0.000006,0.000016,767,7657900,0.00
20171123,0.000013,0.000027,0.000012,0.000017,392,5882800,0.00
20171122,0.000056,0.000061,0.000012,0.000013,240,24683000,0.00
20171121,0.000029,0.000056,0.000024,0.000056,495,12996900,0.00
20171120,0.000037,0.000037,0.000001,0.000029,240,16344700,0.00
20171119,0.000070,0.000071,0.000035,0.000037,511,30841500,0.00
20171118,0.000010,0.000071,0.000010,0.000070,576,4464680,0.00
20171117,0.000033,0.000034,0.000007,0.000010,659,14723300,0.00
20171116,0.000005,0.000036,0.000005,0.000033,534,2291890,0.00
20171115,0.000006,0.000008,0.000002,0.000005,518,2582140,0.00
20171114,0.000009,0.000009,0.000001,0.000006,780,3796840,0.00
20171113,0.000020,0.000034,0.000009,0.000009,120,8661270,0.00
20171112,0.000023,0.000054,0.000012,0.000019,649,10322600,0.00
20171111,0.000053,0.000064,0.000023,0.000023,1637,23490200,0.00
20171110,0.000005,0.000054,0.000005,0.000053,816,2005630,0.00
20171109,0.000001,0.000032,0.000001,0.000005,728,614680,0.00
20171108,0.000021,0.000030,0.000001,0.000001,281,9434700,0.00
20171107,0.000003,0.000021,0.000003,0.000021,262,1435040,0.00
20171106,0.000016,0.000018,0.000003,0.000003,345,7144130,0.00
20171105,0.000018,0.000023,0.000007,0.000016,93,8066360,0.00
20171104,0.000002,0.000019,0.000001,0.000019,132,938862,0.00
20171103,0.000002,0.000003,0.000001,0.000002,479,677056,0.00
20171102,0.000002,0.000002,0.000001,0.000002,839,675331,0.00
20171101,0.000002,0.000002,0.000001,0.000002,616,834893,0.00
20171031,0.000005,0.000006,0.000001,0.000002,989,2436480,0.00
20171030,0.000009,0.000011,0.000003,0.000006,1060,4054430,0.00
20171029,0.000002,0.000011,0.000002,0.000009,621,844409,0.00
20171028,0.000002,0.000002,0.000002,0.000002,183,844854,0.00
20171027,0.000002,0.000002,0.000002,0.000002,313,956260,0.00
20171026,0.000002,0.000002,0.000002,0.000002,149,873152,0.00
20171025,0.000003,0.000003,0.000002,0.000002,320,1532960,0.00
20171024,0.000007,0.000008,0.000003,0.000003,389,2896900,0.00
20171023,0.000002,0.000007,0.000002,0.000007,373,1099160,0.00
20171022,0.000002,0.000003,0.000002,0.000002,268,974854,0.00
20171021,0.000002,0.000003,0.000002,0.000002,281,770199,0.00
20171020,0.000006,0.000006,0.000002,0.000002,946,2502860,0.00
20171019,0.000011,0.000035,0.000005,0.000006,3301,5037090,0.00
20171018,0.000004,0.000011,0.000001,0.000011,1890,1762600,0.00
20171017,0.000005,0.000005,0.000002,0.000004,674,2304620,0.00
20171016,0.000018,0.000022,0.000005,0.000005,1194,7881250,0.00
20171015,0.000002,0.000018,0.000002,0.000018,1202,886022,0.00
20171014,0.000002,0.000002,0.000001,0.000002,2358,685653,0.00
20171013,0.000002,0.000002,0.000001,0.000002,2840,829920,0.00
20171012,0.000003,0.000003,0.000002,0.000002,1328,1242290,0.00
20171011,0.000002,0.000003,0.000002,0.000003,507,866782,0.00
20171010,0.000003,0.000003,0.000002,0.000002,1188,1481570,0.00
20171009,0.000004,0.000006,0.000002,0.000003,412,1657530,0.00
20171008,0.000002,0.000004,0.000002,0.000004,901,896083,0.00
20171007,0.000002,0.000002,0.000002,0.000002,1321,894269,0.00
20171006,0.000002,0.000002,0.000002,0.000002,757,857653,0.00
20171005,0.000002,0.000002,0.000002,0.000002,2440,840395,0.00
20171004,0.000003,0.000005,0.000002,0.000002,1367,1412850,0.00
20171003,0.000002,0.000003,0.000002,0.000003,2156,1029680,0.00
20171002,0.000015,0.000015,0.000002,0.000002,2048,6465100,0.00
20171001,0.000007,0.000018,0.000002,0.000015,1127,3162030,0.00
