date,open,high,low,close,volume,marketcap,average
20180110,0.000292,0.000436,0.000277,0.000300,968,,0.00
20180109,0.000301,0.000597,0.000288,0.000292,5825,,0.00
20180108,0.000326,0.000482,0.000292,0.000302,2025,,0.00
20180107,0.000344,0.000495,0.000162,0.000326,4671,,0.00
20180106,0.000275,0.000345,0.000275,0.000344,2466,,0.00
20180105,0.000265,0.000302,0.000213,0.000277,1639,,0.00
20180104,0.000194,0.000267,0.000193,0.000265,769,,0.00
20180103,0.000283,0.000287,0.000185,0.000193,286,,0.00
20180102,0.000247,0.000288,0.000199,0.000283,857,,0.00
20180101,0.000220,0.000273,0.000123,0.000253,1045,,0.00
20171231,0.000244,0.000272,0.000170,0.000221,380,,0.00
20171230,0.000338,0.000340,0.000178,0.000245,146,,0.00
20171229,0.000289,0.000338,0.000144,0.000286,527,,0.00
20171228,0.000310,0.000311,0.000142,0.000286,808,,0.00
20171227,0.000317,0.000331,0.000294,0.000311,24,,0.00
20171226,0.000319,0.000323,0.000313,0.000317,67,,0.00
20171224,0.000146,0.000146,0.000128,0.000128,6,,0.00
20171223,0.000138,0.000300,0.000136,0.000144,225,,0.00
20171222,0.000157,0.000159,0.000114,0.000137,137,,0.00
20171221,0.000157,0.000159,0.000151,0.000157,319,,0.00
20171220,0.000176,0.000178,0.000160,0.000168,2,,0.00
20171219,0.000383,0.000384,0.000171,0.000176,8,,0.00
20171218,0.000191,0.000386,0.000183,0.000382,10,,0.00
20171217,0.000390,0.000399,0.000190,0.000191,118,,0.00
20171216,0.000177,0.000393,0.000174,0.000389,162,,0.00
20171215,0.000166,0.000181,0.000166,0.000175,11,,0.00
20171214,0.000164,0.000171,0.000162,0.000166,77,,0.00
20171213,0.000173,0.000175,0.000159,0.000164,210,,0.00
20171212,0.000168,0.000300,0.000164,0.000173,981,,0.00
20171211,0.000152,0.000175,0.000152,0.000168,108,,0.00
20171210,0.000150,0.000158,0.000132,0.000154,87,,0.00
20171209,0.000163,0.000286,0.000135,0.000150,84,,0.00
20171208,0.000174,0.000176,0.000141,0.000163,288,,0.00
20171207,0.000137,0.000283,0.000136,0.000173,918,,0.00
20171206,0.000117,0.000239,0.000117,0.000138,367,,0.00
20171205,0.000117,0.000218,0.000115,0.000117,180,,0.00
20171204,0.000112,0.000226,0.000109,0.000116,73,,0.00
20171203,0.000109,0.000235,0.000106,0.000112,40,,0.00
20171202,0.000109,0.000209,0.000107,0.000109,139,,0.00
20171201,0.000100,0.000211,0.000095,0.000109,147,,0.00
20171130,0.000134,0.000188,0.000090,0.000100,40,,0.00
20171129,0.000192,0.000208,0.000103,0.000132,42,,0.00
20171128,0.000098,0.000192,0.000097,0.000192,161,,0.00
20171127,0.000093,0.000172,0.000093,0.000097,49,,0.00
20171126,0.000087,0.000129,0.000087,0.000093,35,,0.00
20171125,0.000082,0.000119,0.000082,0.000087,54,,0.00
20171124,0.000080,0.000166,0.000079,0.000082,253,,0.00
20171123,0.000082,0.000083,0.000080,0.000080,249,,0.00
20171122,0.000081,0.000153,0.000081,0.000082,85,,0.00
20171121,0.000082,0.000084,0.000078,0.000081,24,,0.00
20171120,0.000080,0.000151,0.000079,0.000082,40,,0.00
20171119,0.000078,0.000081,0.000077,0.000080,58,,0.00
20171118,0.000077,0.000152,0.000075,0.000078,23,,0.00
20171117,0.000078,0.000080,0.000076,0.000077,188,,0.00
20171116,0.000073,0.000140,0.000072,0.000079,63,,0.00
20171115,0.000066,0.000111,0.000066,0.000073,81,,0.00
20171114,0.000065,0.000121,0.000064,0.000066,25,,0.00
20171113,0.000105,0.000121,0.000062,0.000065,35,,0.00
