date,open,high,low,close,volume,marketcap,average
20180110,0.144494,0.170893,0.108730,0.134080,90747,8687530,0.14
20180109,0.112878,0.147369,0.093066,0.144307,81404,6786670,0.12
20180108,0.083247,0.100716,0.072814,0.100044,26311,5005080,0.09
20180107,0.084015,0.122283,0.078107,0.083340,49529,5051290,0.10
20180106,0.079063,0.116239,0.069727,0.084076,45518,4753560,0.09
20180105,0.069791,0.079627,0.060882,0.078993,33770,4196090,0.07
20180104,0.061617,0.074177,0.056860,0.069641,15964,3704640,0.07
20180103,0.071484,0.076026,0.049159,0.061288,21044,4297880,0.06
20180102,0.043999,0.085864,0.043999,0.073608,38643,2645400,0.06
20180101,0.061392,0.061392,0.032440,0.043868,31678,3691120,0.05
20171231,0.058196,0.063495,0.044271,0.061174,9650,3498940,0.05
20171230,0.040720,0.059962,0.037312,0.058829,27375,2448220,0.05
20171229,0.038353,0.046270,0.038098,0.040819,7788,2305940,0.04
20171228,0.042949,0.047652,0.036351,0.037699,4738,2582280,0.04
20171227,0.049103,0.049117,0.037795,0.043035,5592,2952250,0.04
20171226,0.043957,0.051519,0.042318,0.049065,10294,2642830,0.05
20171225,0.041877,0.046744,0.037496,0.044000,5358,2517780,0.04
20171224,0.039021,0.041491,0.034099,0.041491,8748,2346080,0.04
20171223,0.036684,0.045656,0.036672,0.041262,7287,2205580,0.04
20171222,0.037375,0.041690,0.030426,0.036346,5379,2247130,0.04
20171221,0.035559,0.050166,0.035355,0.037246,15060,2137950,0.04
20171220,0.042691,0.042691,0.034479,0.035469,16361,2566740,0.04
20171219,0.040912,0.048417,0.037760,0.042734,14670,2459810,0.04
20171218,0.054504,0.054504,0.039185,0.040879,16186,3276970,0.05
20171217,0.043565,0.056839,0.042811,0.054353,25490,2619280,0.05
20171216,0.037890,0.044604,0.036334,0.043650,4262,2278100,0.04
20171215,0.035246,0.045187,0.035246,0.037835,6986,2119120,0.04
20171214,0.037168,0.044691,0.033386,0.035193,84702,2234700,0.04
20171213,0.038140,0.039167,0.031672,0.037251,28114,2293130,0.04
20171212,0.042054,0.042563,0.036933,0.038108,16115,2528440,0.04
20171211,0.044463,0.048501,0.035068,0.041950,15515,2673270,0.04
20171210,0.049473,0.049473,0.041325,0.044776,5506,2974520,0.05
20171209,0.044242,0.053922,0.039769,0.049274,3773,2659970,0.05
20171208,0.033004,0.060123,0.032762,0.044282,9164,1984350,0.05
20171207,0.045449,0.054897,0.024629,0.032928,24756,2732530,0.04
20171206,0.043106,0.056794,0.043106,0.045532,20145,2591710,0.05
20171205,0.046629,0.048183,0.041309,0.043200,11113,2803490,0.04
20171204,0.047829,0.056275,0.045226,0.046547,10750,2875670,0.05
20171203,0.040582,0.055270,0.039687,0.047671,26903,2439940,0.05
20171202,0.043493,0.046207,0.038277,0.040544,6857,2614990,0.04
20171201,0.030457,0.046934,0.029192,0.043529,14144,1831190,0.04
20171130,0.026530,0.037502,0.026363,0.030605,20745,1595110,0.03
20171129,0.029887,0.035036,0.024465,0.026472,12200,1796910,0.03
20171128,0.034175,0.037473,0.029790,0.029915,18532,2054710,0.03
20171127,0.033319,0.043959,0.031188,0.034097,19281,2003250,0.04
20171126,0.034850,0.047176,0.030630,0.033313,27974,2095320,0.04
20171125,0.033871,0.036698,0.032000,0.034861,5447,2036480,0.03
20171124,0.035181,0.035653,0.030848,0.033937,6070,2115220,0.03
20171123,0.033899,0.040358,0.030659,0.035230,20593,2038160,0.04
20171122,0.034201,0.047582,0.031464,0.033908,18213,2056270,0.04
20171121,0.035382,0.039239,0.027553,0.034118,16647,2127280,0.03
20171120,0.043101,0.044988,0.033053,0.035764,24879,2591410,0.04
20171119,0.045274,0.049650,0.039754,0.040011,26044,2722010,0.04
20171118,0.046662,0.050096,0.044392,0.045360,13706,2805500,0.05
20171117,0.048514,0.053419,0.045759,0.046839,22330,2916860,0.05
20171116,0.047195,0.051639,0.044108,0.050392,18403,2837520,0.05
20171115,0.045512,0.050757,0.041771,0.046950,24769,2736320,0.05
20171114,0.048532,0.052891,0.043299,0.048946,23380,2917950,0.05
20171113,0.043461,0.052266,0.036933,0.052266,26270,2613060,0.04
