date,open,high,low,close,volume,marketcap,average
20180110,0.020446,0.020575,0.014540,0.016048,58150,6588070,0.02
20180109,0.023343,0.024483,0.017968,0.020420,93536,7521390,0.02
20180108,0.022799,0.026299,0.019228,0.023407,84373,7346150,0.02
20180107,0.017375,0.028244,0.016764,0.022994,260990,5598340,0.02
20180106,0.020761,0.026449,0.013154,0.017387,116557,6689380,0.02
20180105,0.024466,0.027888,0.016957,0.020746,193489,7883230,0.02
20180104,0.014271,0.025508,0.013242,0.025508,381478,4598280,0.02
20180103,0.009527,0.014705,0.008792,0.014195,113071,3069650,0.01
20180102,0.008064,0.011121,0.007502,0.009557,60900,2598440,0.01
20180101,0.008402,0.008429,0.005971,0.007939,49685,2707390,0.01
20171231,0.004973,0.008832,0.004526,0.008372,37366,1602440,0.01
20171230,0.005133,0.006596,0.004770,0.005027,17249,1654030,0.01
20171229,0.004082,0.006686,0.003858,0.005146,24380,1315300,0.01
20171228,0.003869,0.004438,0.002594,0.004042,4803,1246640,0.00
20171227,0.003000,0.003882,0.002752,0.003877,2973,966617,0.00
20171226,0.002756,0.003178,0.002593,0.002996,1978,887886,0.00
20171225,0.003126,0.003140,0.002351,0.002757,723,1007230,0.00
20171224,0.002426,0.003096,0.002004,0.003096,2536,781588,0.00
20171223,0.002221,0.002772,0.001968,0.002404,879,715525,0.00
20171222,0.002043,0.002851,0.001749,0.002200,5539,658335,0.00
20171221,0.001981,0.002607,0.001832,0.002036,3581,638246,0.00
20171220,0.002290,0.002290,0.001894,0.001976,179,737837,0.00
20171219,0.001470,0.002368,0.001290,0.002292,8705,473542,0.00
20171218,0.002490,0.002712,0.001438,0.001465,51,802340,0.00
20171217,0.001789,0.002621,0.001758,0.002484,611,576292,0.00
20171216,0.001418,0.002263,0.001401,0.001763,294,456892,0.00
20171215,0.001991,0.002170,0.001395,0.001416,924,641381,0.00
20171214,0.002442,0.002480,0.001850,0.001988,1720,786774,0.00
20171213,0.001965,0.002503,0.001587,0.002449,1005,633233,0.00
20171212,0.002032,0.002375,0.001576,0.001961,500,654722,0.00
20171211,0.001393,0.002310,0.001390,0.002024,629,449006,0.00
20171210,0.001359,0.001635,0.001192,0.001409,27,437812,0.00
20171209,0.001479,0.001891,0.001339,0.001353,881,476646,0.00
20171208,0.001573,0.001995,0.001418,0.001480,605,506879,0.00
20171207,0.002219,0.004612,0.001517,0.001570,6428,715002,0.00
20171206,0.001398,0.002636,0.001398,0.002475,16331,450575,0.00
20171205,0.001166,0.001410,0.001153,0.001401,794,375594,0.00
20171204,0.001125,0.001168,0.000893,0.001163,3154,362337,0.00
20171203,0.001092,0.001268,0.001059,0.001121,185,351946,0.00
20171202,0.000980,0.001103,0.000861,0.001091,181,315650,0.00
20171201,0.000899,0.000980,0.000791,0.000980,275,289799,0.00
20171130,0.000983,0.001069,0.000810,0.000904,739,316680,0.00
20171129,0.000908,0.001217,0.000901,0.000968,286,292665,0.00
20171128,0.000783,0.000995,0.000783,0.000908,798,252236,0.00
20171127,0.000832,0.000964,0.000769,0.000781,111,268199,0.00
20171126,0.000612,0.000836,0.000599,0.000832,140,197314,0.00
20171125,0.000693,0.000734,0.000607,0.000613,6,223211,0.00
20171124,0.000745,0.000767,0.000642,0.000694,19,240025,0.00
20171123,0.000716,0.000999,0.000440,0.000760,679,230794,0.00
20171122,0.000885,0.000897,0.000629,0.000726,111,285192,0.00
