date,open,high,low,close,volume,marketcap,average
20180110,0.013290,0.014212,0.006252,0.007049,159979,,0.01
20180109,0.005271,0.016523,0.004368,0.012252,156443,,0.01
20180108,0.006025,0.007161,0.004167,0.005285,31973,,0.01
20180107,0.004817,0.006111,0.003377,0.006034,15128,,0.00
20180106,0.003397,0.005006,0.002841,0.004820,6151,,0.00
20180105,0.002733,0.004515,0.002539,0.003564,7597,,0.00
20180104,0.002130,0.002881,0.002086,0.002732,1142,,0.00
20180103,0.002374,0.002574,0.002095,0.002118,1205,,0.00
20180102,0.002025,0.002517,0.001955,0.002382,942,,0.00
20180101,0.001957,0.002212,0.001585,0.002025,2907,,0.00
20171231,0.001271,0.002489,0.001177,0.001950,3330,,0.00
20171230,0.001305,0.001417,0.001196,0.001285,329,,0.00
20171229,0.001736,0.001811,0.001154,0.001308,1230,,0.00
20171228,0.001552,0.001902,0.001514,0.001718,235,,0.00
20171227,0.001742,0.002118,0.001519,0.001555,526,,0.00
20171226,0.001672,0.002089,0.001352,0.001741,1743,,0.00
20171225,0.001972,0.001977,0.001342,0.001534,804,,0.00
20171224,0.002483,0.003061,0.001197,0.001952,3442,,0.00
20171223,0.002620,0.005680,0.001384,0.002456,15385,,0.00
20171222,0.000943,0.002438,0.000807,0.002322,9010,,0.00
20171221,0.001154,0.001217,0.000909,0.000940,125,,0.00
20171220,0.001057,0.001240,0.000807,0.001151,548,,0.00
20171219,0.000765,0.001103,0.000749,0.001058,177,,0.00
20171218,0.000765,0.001158,0.000556,0.000765,432,,0.00
20171217,0.000974,0.000974,0.000574,0.000763,375,,0.00
20171216,0.000882,0.001164,0.000880,0.000974,559,,0.00
20171215,0.000995,0.001017,0.000844,0.000881,25,,0.00
20171214,0.000983,0.001164,0.000812,0.000994,170,,0.00
20171213,0.000864,0.001212,0.000823,0.000986,195,,0.00
20171212,0.000842,0.001044,0.000833,0.000863,62,,0.00
20171211,0.000760,0.000875,0.000760,0.000839,30,,0.00
20171210,0.000902,0.000902,0.000794,0.000855,7,,0.00
20171209,0.000651,0.000923,0.000615,0.000899,147,,0.00
20171208,0.001215,0.001233,0.000563,0.000651,10,,0.00
20171207,0.000687,0.001212,0.000678,0.001212,48,,0.00
20171206,0.000585,0.000689,0.000585,0.000688,7,,0.00
20171205,0.000699,0.000712,0.000581,0.000586,14,,0.00
20171204,0.000787,0.000811,0.000666,0.000698,7,,0.00
20171203,0.000875,0.000943,0.000741,0.000784,164,,0.00
20171202,0.000871,0.000896,0.000753,0.000874,16,,0.00
20171201,0.000700,0.000877,0.000666,0.000871,25,,0.00
20171130,0.000688,0.000783,0.000642,0.000703,118,,0.00
20171129,0.000695,0.000915,0.000663,0.000678,30,,0.00
20171128,0.000683,0.000798,0.000676,0.000696,658,,0.00
20171127,0.000559,0.000682,0.000559,0.000681,30,,0.00
20171126,0.000437,0.000563,0.000437,0.000559,126,,0.00
20171125,0.000410,0.000437,0.000408,0.000437,9,,0.00
20171124,0.000402,0.000496,0.000394,0.000411,21,,0.00
20171123,0.000411,0.000413,0.000402,0.000402,3,,0.00
20171122,0.000243,0.000413,0.000243,0.000411,11,,0.00
20171120,0.000322,0.000322,0.000318,0.000320,0,,0.00
20171119,0.000311,0.000324,0.000308,0.000322,0,,0.00
20171118,0.000307,0.000386,0.000298,0.000312,16,,0.00
20171117,0.000235,0.000399,0.000234,0.000309,10,,0.00
20171116,0.000438,0.000452,0.000232,0.000236,8,,0.00
20171115,0.000331,0.000439,0.000331,0.000436,0,,0.00
20171114,0.000392,0.000403,0.000321,0.000330,1,,0.00
20171113,0.000418,0.000418,0.000180,0.000391,156,,0.00
20171112,0.000382,0.000386,0.000332,0.000357,18,,0.00
20171111,0.000402,0.000404,0.000374,0.000382,27,,0.00
20171110,0.000428,0.000440,0.000387,0.000401,1,,0.00
20171109,0.000448,0.000448,0.000355,0.000426,6,,0.00
20171108,0.000356,0.000449,0.000354,0.000449,11,,0.00
20171107,0.000348,0.000361,0.000348,0.000357,4,,0.00
20171106,0.000444,0.000445,0.000347,0.000349,32,,0.00
20171105,0.000369,0.000457,0.000365,0.000443,1,,0.00
