date,open,high,low,close,volume,marketcap,average
20180110,0.025898,0.029584,0.016601,0.019919,115496,1704160,0.02
20180109,0.035477,0.035477,0.021188,0.025864,69618,2334440,0.03
20180108,0.020063,0.042136,0.019202,0.035578,127002,1320170,0.03
20180107,0.017917,0.020143,0.012865,0.020086,33721,1178990,0.02
20180106,0.018153,0.020180,0.014271,0.017930,17047,1194540,0.02
20180105,0.016372,0.019675,0.014942,0.018140,21165,1077280,0.02
20180104,0.022592,0.022632,0.012958,0.016368,51540,1486620,0.02
20180103,0.011079,0.024408,0.010186,0.020524,97004,729017,0.02
20180102,0.009210,0.011831,0.008762,0.011117,14570,606050,0.01
20180101,0.009440,0.010135,0.008488,0.009210,7857,621192,0.01
20171231,0.008866,0.010094,0.008264,0.009405,8812,583395,0.01
20171230,0.009139,0.010839,0.007348,0.008962,11270,601361,0.01
20171229,0.009972,0.010947,0.008733,0.009161,9392,656165,0.01
20171228,0.010541,0.012605,0.008132,0.009870,9649,693601,0.01
20171227,0.010600,0.010659,0.008323,0.010536,10847,697482,0.01
20171226,0.008080,0.011016,0.007972,0.010746,238915,531702,0.01
20171225,0.007839,0.009662,0.007715,0.008089,258330,515817,0.01
20171224,0.008364,0.009426,0.006790,0.007756,6372,550360,0.01
20171223,0.008748,0.009965,0.008097,0.008272,5435,575608,0.01
20171222,0.010530,0.010634,0.007326,0.008666,4818,692934,0.01
20171221,0.009396,0.011706,0.009088,0.010494,411591,618283,0.01
20171220,0.012861,0.012861,0.008121,0.009372,443008,846306,0.01
20171219,0.014929,0.014940,0.012277,0.012874,392888,982355,0.01
20171218,0.012243,0.016085,0.011001,0.014916,373992,805633,0.01
20171217,0.011108,0.014939,0.009475,0.012206,601071,730922,0.01
20171216,0.010041,0.012207,0.009808,0.011301,419691,660718,0.01
20171215,0.009953,0.011350,0.009628,0.010027,291094,654906,0.01
20171214,0.009824,0.010461,0.009246,0.009938,339137,646467,0.01
20171213,0.011222,0.011388,0.009562,0.010020,281689,738461,0.01
20171212,0.009668,0.011363,0.009111,0.011213,234002,636151,0.01
20171211,0.011885,0.012830,0.009190,0.009637,6912,782053,0.01
20171210,0.012772,0.012772,0.009879,0.011971,279072,840423,0.01
20171209,0.008620,0.012726,0.007739,0.012720,294050,567224,0.01
20171208,0.008678,0.008996,0.006857,0.008629,422731,571015,0.01
20171207,0.007970,0.009365,0.007569,0.008657,351518,524432,0.01
20171206,0.008061,0.008683,0.006540,0.007984,315763,530443,0.01
20171205,0.008750,0.008780,0.007840,0.008079,13627,575770,0.01
20171204,0.008435,0.008872,0.007997,0.008733,214542,555064,0.01
20171203,0.008961,0.010029,0.007512,0.008407,382976,589687,0.01
20171202,0.009478,0.009680,0.007803,0.008953,237241,623671,0.01
20171201,0.009159,0.011661,0.008094,0.009699,325304,602705,0.01
20171130,0.006981,0.013600,0.006767,0.009205,351256,459388,0.01
20171129,0.003731,0.010310,0.003722,0.006876,389836,245524,0.01
20171128,0.004683,0.004696,0.003453,0.003735,8171,308149,0.00
20171127,0.005418,0.005618,0.004323,0.004671,359542,356519,0.00
20171126,0.005510,0.005602,0.004915,0.005417,11685,362584,0.01
20171125,0.006074,0.006074,0.005011,0.005512,218898,399713,0.01
20171124,0.004822,0.006177,0.004822,0.006087,373040,317314,0.01
20171123,0.005265,0.006087,0.004816,0.004829,18583,346445,0.01
20171122,0.005277,0.006834,0.004975,0.005267,234910,347253,0.01
20171121,0.005683,0.005767,0.004872,0.005264,337347,373967,0.01
20171120,0.006596,0.006680,0.005110,0.005682,276678,434049,0.01
20171119,0.006853,0.007151,0.006174,0.006599,236973,450940,0.01
20171118,0.006688,0.008490,0.006099,0.006866,2488090,440072,0.01
20171117,0.007453,0.009482,0.006404,0.006714,727665,490395,0.01
20171116,0.006354,0.007968,0.006095,0.007700,1119360,418131,0.01
20171115,0.006607,0.007201,0.006219,0.006321,321915,434733,0.01
20171114,0.006923,0.008217,0.005719,0.006602,685005,455537,0.01
20171113,0.006341,0.007492,0.006341,0.006908,631507,417248,0.01
20171112,0.006961,0.007700,0.005886,0.006332,736398,458057,0.01
20171111,0.007889,0.008206,0.006677,0.007146,1006080,519084,0.01
20171110,0.009269,0.012625,0.006641,0.007917,1028240,609928,0.01
20171109,0.007989,0.010658,0.006963,0.009242,889833,525686,0.01
20171108,0.008748,0.009503,0.007025,0.007923,411761,575618,0.01
20171107,0.008079,0.009974,0.007328,0.008775,246537,531592,0.01
20171106,0.006628,0.010400,0.005035,0.008092,296138,436160,0.01
20171105,0.005090,0.005886,0.004799,0.005886,50588,334940,0.01
20171104,0.005113,0.006277,0.004643,0.005100,270329,336438,0.01
20171103,0.006417,0.007800,0.004213,0.005125,7612,422285,0.01
20171102,0.007405,0.008884,0.005881,0.006426,348047,487281,0.01
20171101,0.007215,0.009278,0.007045,0.007397,712648,474757,0.01
20171031,0.007317,0.010036,0.006942,0.007157,229948,481460,0.01
20171030,0.006778,0.008609,0.006730,0.007305,948265,446022,0.01
20171029,0.007903,0.009673,0.006929,0.007431,211099,520049,0.01
20171028,0.008060,0.008750,0.006698,0.007914,259611,530361,0.01
20171027,0.007328,0.009148,0.006911,0.008038,187657,482231,0.01
20171026,0.009014,0.009201,0.007084,0.007783,700620,593146,0.01
20171025,0.008944,0.009259,0.006877,0.009015,39153,588509,0.01
20171024,0.008298,0.009883,0.007968,0.008940,875975,546055,0.01
20171023,0.010574,0.010735,0.007785,0.008317,354248,695769,0.01
20171022,0.010655,0.011097,0.009389,0.010591,1586150,701099,0.01
20171021,0.011728,0.012283,0.009797,0.011040,1121690,771704,0.01
20171020,0.012389,0.012594,0.010125,0.011752,1040310,815236,0.01
20171019,0.011099,0.012994,0.011015,0.012386,825176,730355,0.01
20171018,0.011595,0.015186,0.010474,0.011093,90261,763003,0.01
20171017,0.009945,0.023715,0.007443,0.011595,1878190,654420,0.02
20171016,0.011515,0.012545,0.007468,0.009944,592264,757713,0.01
20171015,0.013792,0.019466,0.009907,0.011513,555652,907556,0.01
20171014,0.009602,0.034473,0.009005,0.013768,2849890,631830,0.02
20171013,0.009780,0.011907,0.008123,0.009599,614123,643564,0.01
20171012,0.009619,0.009750,0.007940,0.009750,198662,632958,0.01
20171011,0.009415,0.010620,0.008125,0.009611,495917,619550,0.01
20171010,0.011454,0.011643,0.008659,0.009417,161697,753715,0.01
20171009,0.013027,0.013799,0.010604,0.011455,313393,857214,0.01
20171008,0.015955,0.016004,0.011832,0.013023,5617,1049870,0.01
20171007,0.013553,0.016035,0.011215,0.015997,110977,891848,0.01
20171006,0.012536,0.014008,0.007813,0.013539,138693,824893,0.01
20171005,0.015612,0.015622,0.010793,0.012536,105787,1027270,0.01
20171004,0.017377,0.017388,0.010963,0.015597,158511,1143460,0.01
20171003,0.012985,0.016132,0.010753,0.016114,172339,854462,0.01
