date,open,high,low,close,volume,marketcap,average
20180110,0.083221,0.086651,0.072233,0.083304,5613,486723,0.08
20180109,0.069890,0.088706,0.069697,0.083205,7414,408760,0.08
20180108,0.076864,0.082200,0.066266,0.070053,5196,449544,0.07
20180107,0.091067,0.098030,0.063837,0.076300,6765,532611,0.08
20180106,0.100901,0.100901,0.082672,0.091191,9848,590126,0.09
20180105,0.087645,0.101480,0.085411,0.100623,13589,512597,0.09
20180104,0.055433,0.089369,0.052123,0.087816,11949,324202,0.07
20180103,0.050892,0.072604,0.043773,0.055310,6308,297644,0.06
20180102,0.045436,0.052299,0.039962,0.050804,4918,265735,0.05
20180101,0.048621,0.063683,0.042908,0.045368,2753,284361,0.05
20171231,0.043003,0.049074,0.039930,0.048667,4288,251505,0.04
20171230,0.066538,0.066538,0.043205,0.043333,6910,389155,0.05
20171229,0.071446,0.076176,0.051664,0.066105,6024,417857,0.06
20171228,0.071275,0.074171,0.061719,0.070987,5905,416859,0.07
20171227,0.089892,0.092518,0.066079,0.071131,9593,525738,0.08
20171226,0.046667,0.090272,0.046667,0.089737,39160,272936,0.07
20171225,0.047668,0.050732,0.043678,0.046661,4286,278789,0.05
20171224,0.048483,0.049255,0.043581,0.047420,3447,283560,0.05
20171223,0.044526,0.050747,0.042611,0.048107,7386,260415,0.05
20171222,0.100718,0.100718,0.043721,0.044200,16611,589060,0.07
20171221,0.026676,0.090012,0.018677,0.090012,63564,156019,0.05
20171220,0.021968,0.030349,0.015012,0.026664,2372,128482,0.02
20171219,0.026609,0.028346,0.020817,0.021990,1940,155627,0.02
20171218,0.024616,0.038842,0.021259,0.026663,1839,143969,0.03
20171217,0.021129,0.025795,0.019888,0.024650,2684,123572,0.02
20171216,0.020417,0.026558,0.017744,0.021065,3562,119410,0.02
20171215,0.022676,0.023634,0.014768,0.020386,2507,132623,0.02
20171214,0.028203,0.029803,0.013432,0.022659,7617,164947,0.02
20171213,0.026386,0.028232,0.022665,0.028232,2120,154319,0.03
20171212,0.041314,0.041742,0.022634,0.026381,1368,241627,0.03
20171211,0.032856,0.041603,0.032765,0.041603,3071,192158,0.04
20171210,0.041537,0.041537,0.019803,0.032822,2650,242935,0.03
20171209,0.037968,0.042682,0.018952,0.041405,3442,222057,0.03
20171208,0.036174,0.038671,0.026893,0.037969,3150,211564,0.03
20171207,0.022196,0.038501,0.018859,0.036117,2823,129815,0.03
20171206,0.021721,0.024942,0.020556,0.022249,1768,127034,0.02
20171205,0.022019,0.025766,0.021056,0.021754,1541,128781,0.02
20171204,0.023554,0.028903,0.018343,0.022195,1511,137761,0.02
20171203,0.024923,0.025438,0.020960,0.023551,3366,145762,0.02
20171202,0.020755,0.025106,0.018661,0.024939,3280,121386,0.02
20171201,0.017954,0.027778,0.017238,0.020786,6175,105006,0.02
20171130,0.023624,0.043490,0.018007,0.018007,1837,138168,0.03
20171129,0.026727,0.028626,0.021732,0.023364,1499,156312,0.03
20171128,0.030674,0.032258,0.025450,0.026710,1897,179397,0.03
20171127,0.032282,0.033105,0.029872,0.030679,2629,188805,0.03
20171126,0.028873,0.043995,0.028796,0.032288,2871,168866,0.04
20171125,0.031689,0.031894,0.028671,0.028874,1811,185338,0.03
20171124,0.036898,0.041780,0.027092,0.031703,2835,215799,0.03
20171123,0.035835,0.055384,0.031020,0.037072,2908,209583,0.04
20171122,0.027056,0.036010,0.025897,0.035769,3875,158237,0.03
20171121,0.028186,0.033302,0.016855,0.027017,2666,164846,0.03
20171120,0.030421,0.030421,0.021810,0.027872,1940,177921,0.03
20171119,0.042470,0.044472,0.026483,0.030452,2947,248387,0.04
20171118,0.049177,0.051811,0.030173,0.042548,9696,287614,0.04
20171117,0.069582,0.069753,0.041420,0.049268,10168,406958,0.06
20171116,0.028874,0.105833,0.017439,0.069669,48697,168873,0.06
20171115,0.014192,0.028911,0.011427,0.028902,3729,83001,0.02
