date,open,high,low,close,volume,marketcap,average
20180110,0.176808,0.177023,0.143732,0.162330,46785200,751412000,0.16
20180109,0.192071,0.195778,0.170578,0.177338,117367000,816277000,0.18
20180108,0.167964,0.196429,0.128271,0.192615,82403300,713827000,0.16
20180107,0.172849,0.194227,0.159468,0.167692,51203500,734586000,0.18
20180106,0.163562,0.184515,0.157315,0.172800,48098700,695118000,0.17
20180105,0.167685,0.189302,0.143586,0.160535,64546500,712640000,0.17
20180104,0.110277,0.189511,0.107192,0.174164,131221000,468662000,0.15
20180103,0.089325,0.108342,0.084614,0.108342,41199200,379620000,0.10
20180102,0.085631,0.093666,0.077151,0.089483,30096800,363920000,0.09
20180101,0.085611,0.093457,0.083372,0.085914,36808800,363838000,0.09
20171231,0.091305,0.125977,0.080964,0.084824,87329500,388037000,0.10
20171230,0.060553,0.101727,0.054477,0.090940,53384700,257342000,0.08
20171229,0.054983,0.063860,0.053840,0.061076,10373900,233671000,0.06
20171228,0.056523,0.056571,0.048909,0.054485,5162520,240216000,0.05
20171227,0.057070,0.061739,0.051917,0.056327,6387220,242540000,0.06
20171226,0.057895,0.061577,0.052304,0.056605,6468310,246047000,0.06
20171225,0.057979,0.067347,0.056674,0.057649,6612320,246402000,0.06
20171224,0.061935,0.061935,0.048267,0.057590,8618970,263217000,0.06
20171223,0.047068,0.070628,0.047068,0.061680,13730900,200034000,0.06
20171222,0.060624,0.062044,0.034631,0.046831,9797660,257643000,0.05
20171221,0.053389,0.069748,0.052841,0.060154,20214200,226898000,0.06
20171220,0.056815,0.057690,0.048266,0.053108,17049900,241455000,0.05
20171219,0.063628,0.065284,0.053820,0.056961,16081000,270411000,0.06
20171218,0.046802,0.066801,0.043976,0.063505,22331600,198903000,0.06
20171217,0.041973,0.050418,0.041397,0.046757,11758400,178380000,0.05
20171216,0.039946,0.044336,0.039897,0.041571,6583660,169765000,0.04
20171215,0.040064,0.044190,0.037138,0.040445,4617320,170267000,0.04
20171214,0.042264,0.043035,0.036900,0.040176,6016280,179615000,0.04
20171213,0.035880,0.043269,0.035432,0.042410,5491570,152484000,0.04
20171212,0.031523,0.036557,0.029978,0.035930,3127600,133967000,0.03
20171211,0.028527,0.034451,0.028444,0.031728,2137410,121237000,0.03
20171210,0.031605,0.031605,0.025812,0.028762,1470340,134317000,0.03
20171209,0.031791,0.034129,0.028729,0.031622,2285380,135108000,0.03
20171208,0.029646,0.032661,0.025933,0.031608,3271200,125990000,0.03
20171207,0.037430,0.037430,0.029683,0.029683,5212120,159075000,0.03
20171206,0.029623,0.040295,0.029015,0.038486,3895850,125893000,0.03
20171205,0.032140,0.033296,0.029413,0.029618,2230080,136590000,0.03
20171204,0.027264,0.032817,0.026158,0.032327,2052080,115867000,0.03
20171203,0.025416,0.030157,0.025220,0.027136,1148140,108014000,0.03
20171202,0.026699,0.027791,0.024338,0.025527,1201520,113469000,0.03
20171201,0.025782,0.027984,0.024440,0.026820,1256520,109569000,0.03
20171130,0.024766,0.027287,0.023188,0.025944,1561920,105252000,0.03
20171129,0.027141,0.032178,0.024074,0.024179,3892940,115345000,0.03
20171128,0.023252,0.029247,0.023211,0.027416,2116580,98818100,0.03
20171127,0.022992,0.023788,0.021999,0.023243,1194750,97712200,0.02
20171126,0.022516,0.023482,0.020434,0.023247,1337430,95692200,0.02
20171125,0.023390,0.023954,0.021655,0.022556,1538280,99405900,0.02
20171124,0.023195,0.023932,0.022226,0.023502,1291610,98576100,0.02
20171123,0.022258,0.024538,0.021614,0.023198,1844370,94592000,0.02
20171122,0.019512,0.024978,0.019457,0.022252,3346260,78049700,0.02
20171121,0.017986,0.019988,0.017531,0.019468,1473070,71944500,0.02
20171120,0.016968,0.018724,0.016759,0.017957,1412660,67873500,0.02
20171119,0.016304,0.018229,0.016003,0.016945,1215510,65215500,0.02
20171118,0.015819,0.016435,0.014838,0.016303,976473,63277300,0.02
20171117,0.016765,0.017299,0.015751,0.015950,805854,67057900,0.02
20171116,0.016214,0.017795,0.015949,0.016858,1453230,64855300,0.02
20171115,0.014765,0.017083,0.014765,0.016164,1004220,59058700,0.02
20171114,0.014326,0.015097,0.013884,0.014862,866759,57305700,0.01
20171113,0.012837,0.014769,0.012828,0.014389,689151,51347000,0.01
20171112,0.014663,0.014694,0.012058,0.012794,1080610,58653800,0.01
20171111,0.014975,0.015925,0.014147,0.014552,787817,59899200,0.02
20171110,0.017288,0.017679,0.014260,0.015027,1183330,69150500,0.02
20171109,0.016733,0.018189,0.016282,0.017060,1111760,66930300,0.02
20171108,0.015363,0.017976,0.015131,0.016744,2067770,61451900,0.02
20171107,0.015114,0.016355,0.014350,0.015342,1545370,60454100,0.02
20171106,0.015387,0.015750,0.014440,0.015164,903262,61546800,0.02
20171105,0.016342,0.016547,0.014842,0.015391,803402,65366600,0.02
20171104,0.016554,0.016957,0.015956,0.016404,656751,66215500,0.02
20171103,0.016284,0.017235,0.014984,0.016513,910273,65134700,0.02
20171102,0.016058,0.017607,0.014127,0.016103,1358600,64231600,0.02
20171101,0.018488,0.018488,0.015669,0.016097,1352300,73951600,0.02
20171031,0.019679,0.019856,0.017891,0.018378,1123700,78717400,0.02
20171030,0.019003,0.020166,0.018068,0.019501,1587670,76011200,0.02
