date,open,high,low,close,volume,marketcap,average
20180110,0.110848,0.111093,0.057245,0.084291,3342,2671580,0.08
20180109,0.057529,0.118175,0.046942,0.110703,6419,1386520,0.08
20180108,0.067583,0.067836,0.030389,0.057686,4196,1628830,0.05
20180107,0.066058,0.069102,0.038870,0.067677,1697,1592080,0.05
20180106,0.058427,0.066456,0.051950,0.066106,806,1408180,0.06
20180105,0.046465,0.064623,0.041216,0.058433,583,1119880,0.05
20180104,0.040248,0.048136,0.039975,0.046451,1207,970035,0.04
20180103,0.040376,0.041989,0.038391,0.040036,154,973110,0.04
20180102,0.030854,0.045237,0.028411,0.040514,391,743614,0.04
20180101,0.037571,0.037645,0.023839,0.030855,393,905507,0.03
20171231,0.027994,0.037836,0.027716,0.037610,153,674692,0.03
20171230,0.031786,0.032035,0.027046,0.028298,317,766081,0.03
20171229,0.031810,0.036262,0.030612,0.031872,55,766665,0.03
20171228,0.043916,0.044101,0.028913,0.031491,973,1058430,0.04
20171227,0.046937,0.050702,0.038193,0.044008,284,1131240,0.04
20171226,0.024278,0.046914,0.024233,0.046889,1275,585124,0.04
20171225,0.024942,0.025623,0.023620,0.024270,143,601135,0.02
20171224,0.023243,0.025811,0.018600,0.024687,258,560179,0.02
20171223,0.027941,0.029308,0.019677,0.023104,519,673415,0.02
20171222,0.024164,0.031276,0.023186,0.027693,172,582373,0.03
20171221,0.032731,0.046825,0.022662,0.024088,454,788863,0.03
20171220,0.035060,0.035060,0.024340,0.032673,125,844989,0.03
20171219,0.029654,0.054094,0.026927,0.035090,492,714696,0.04
20171218,0.036587,0.036676,0.027996,0.029627,25,881798,0.03
20171217,0.038192,0.074412,0.033698,0.036589,366,920484,0.05
20171216,0.033497,0.038485,0.032533,0.038161,25,807321,0.04
20171215,0.033352,0.041535,0.026892,0.033475,549,803832,0.03
20171214,0.050129,0.050129,0.024798,0.033303,2093,1208170,0.04
20171213,0.041123,0.052112,0.035240,0.050285,2679,991117,0.04
20171212,0.030172,0.061702,0.030170,0.041088,5060,727195,0.05
20171211,0.009774,0.072057,0.009655,0.030026,7654,235568,0.04
20171210,0.011278,0.011278,0.009929,0.010293,15,271819,0.01
20171209,0.010174,0.011877,0.009715,0.011233,44,245221,0.01
20171208,0.015437,0.015437,0.008537,0.010151,1,372049,0.01
20171207,0.011401,0.016238,0.009247,0.015606,3,274774,0.01
20171206,0.010300,0.011437,0.006438,0.011420,490,248246,0.01
20171205,0.009741,0.015005,0.009633,0.010323,47,234768,0.01
20171204,0.010117,0.010376,0.008649,0.009720,3,243827,0.01
20171203,0.010370,0.010630,0.008231,0.010083,106,249931,0.01
20171202,0.011102,0.011419,0.010358,0.010358,1,267575,0.01
20171201,0.007395,0.011111,0.007001,0.011111,94,178234,0.01
20171130,0.011007,0.012146,0.007026,0.007432,1,265294,0.01
20171129,0.011121,0.013454,0.008247,0.010873,23,268029,0.01
20171128,0.009544,0.011164,0.009452,0.011132,25,230032,0.01
20171127,0.012299,0.012363,0.006752,0.009520,2,296431,0.01
20171126,0.010932,0.012561,0.010919,0.012297,64,263468,0.01
