date,open,high,low,close,volume,marketcap,average
20180106,0.203876,0.205228,0.197492,0.199723,2397,907639,0.20
20180105,0.311199,0.311672,0.182469,0.203713,2445,1385430,0.25
20180104,0.177981,0.314798,0.176709,0.311137,9,792358,0.25
20180103,0.179438,0.343866,0.150116,0.177012,76000,798845,0.25
20180102,0.132287,1.34,0.112957,0.178663,39131,588930,0.73
20180101,0.153794,0.168290,0.121533,0.132297,39739,684681,0.14
20171231,0.114456,0.173633,0.101432,0.153202,101639,509548,0.14
20171230,0.057969,0.211750,0.056862,0.115705,90311,258072,0.13
20171229,0.068150,0.071377,0.047539,0.058115,155,303398,0.06
20171228,0.074166,0.074480,0.065132,0.067350,3923,330182,0.07
20171227,0.023771,0.081139,0.023582,0.074322,4329,105828,0.05
20171226,0.020351,0.046569,0.020330,0.023754,195,90602,0.03
20171225,0.070195,0.070377,0.019970,0.020372,304,312503,0.05
20171224,0.062975,0.070576,0.061015,0.069474,366,280359,0.07
20171223,0.064456,0.073433,0.064007,0.071271,0,286952,0.07
20171222,0.078392,0.079165,0.056556,0.063853,191,348996,0.07
20171221,0.074175,0.083457,0.016424,0.078121,1586,330219,0.05
20171220,0.087900,0.087900,0.070940,0.073981,18,391323,0.08
20171219,0.019192,0.092050,0.018782,0.087987,2,85443,0.06
20171218,0.095640,0.096335,0.014861,0.019176,51,425783,0.06
20171217,0.023632,0.149132,0.023356,0.095352,942,105207,0.09
20171216,0.044117,0.051994,0.023326,0.049438,156,196406,0.04
20171215,0.055386,0.060351,0.043943,0.044055,28,246575,0.05
20171214,0.054708,0.055884,0.054708,0.055303,271,243554,0.06
20171213,0.031131,0.031545,0.029672,0.030615,4,138594,0.03
20171212,0.021905,0.032001,0.021670,0.031105,7,97517,0.03
20171211,0.024390,0.025897,0.018812,0.021834,46,108580,0.02
20171210,0.052631,0.052631,0.015190,0.015940,59,234310,0.03
20171209,0.056923,0.073857,0.051866,0.052419,512,253418,0.06
20171208,0.091931,0.091931,0.049287,0.056981,7,409272,0.07
20171207,0.009255,0.091716,0.009107,0.091716,135,41204,0.05
20171206,0.006669,0.109127,0.006669,0.092121,3131,29692,0.06
20171205,0.013797,0.042259,0.006684,0.006684,477,61425,0.02
20171204,0.032601,0.034466,0.011150,0.013770,29,145138,0.02
20171203,0.006165,0.035157,0.006125,0.032493,4,27448,0.02
20171202,0.033731,0.034693,0.006063,0.006160,54,150166,0.02
