date,open,high,low,close,volume,marketcap,average
20180110,0.083391,0.090516,0.077090,0.084891,5670,1023310,0.08
20180109,0.081022,0.093394,0.072240,0.083136,8887,993683,0.08
20180108,0.091033,0.091865,0.074348,0.081243,5833,1115840,0.08
20180107,0.073971,0.098433,0.066148,0.091160,11033,906170,0.08
20180106,0.062694,0.083272,0.062180,0.074025,5220,767620,0.07
20180105,0.098631,0.103320,0.062239,0.062701,11889,1206870,0.08
20180104,0.125267,0.125446,0.083608,0.098596,32760,1531850,0.10
20180103,0.137943,0.153347,0.113007,0.124627,30285,1686020,0.13
20180102,0.182847,0.257344,0.134064,0.138950,88334,2233700,0.20
20180101,0.038172,0.440748,0.032239,0.182072,351289,466077,0.24
20171231,0.026318,0.038884,0.025462,0.038027,2691,321189,0.03
20171230,0.036030,0.036030,0.024586,0.026591,1294,439498,0.03
20171229,0.025218,0.041404,0.022632,0.036101,1554,307449,0.03
20171228,0.026715,0.031334,0.022091,0.024962,557,325551,0.03
20171227,0.027072,0.028104,0.024623,0.026760,13,329744,0.03
20171226,0.021977,0.036972,0.021977,0.027052,142,267549,0.03
20171225,0.022226,0.045437,0.019359,0.021972,497,270447,0.03
20171224,0.024645,0.042996,0.017078,0.022014,744,299734,0.03
20171223,0.019723,0.026021,0.019489,0.024478,238,239745,0.02
20171222,0.020035,0.022372,0.014760,0.019530,30,243431,0.02
20171221,0.025503,0.038037,0.019521,0.019970,152,309708,0.03
20171220,0.025335,0.026244,0.022110,0.025486,77,307516,0.02
20171219,0.031110,0.034510,0.024370,0.025299,106,377433,0.03
20171218,0.027958,0.031131,0.025278,0.031116,87,339018,0.03
20171217,0.029561,0.029822,0.025287,0.027986,174,358279,0.03
20171216,0.028612,0.030738,0.023312,0.030455,6253,346595,0.03
20171215,0.031675,0.031675,0.027606,0.028575,100,383514,0.03
20171214,0.027901,0.033101,0.026311,0.031618,529,337651,0.03
20171213,0.033430,0.034234,0.025988,0.026212,1468,404365,0.03
20171212,0.025423,0.034365,0.025124,0.033378,125,307359,0.03
20171211,0.028207,0.029415,0.025054,0.025342,1159,340845,0.03
20171210,0.023869,0.029180,0.020736,0.028412,1146,288283,0.02
20171209,0.026304,0.026694,0.022288,0.023777,173,317536,0.02
20171208,0.027477,0.029876,0.022944,0.026323,206,331531,0.03
20171207,0.024586,0.047269,0.019421,0.027418,6695,296498,0.03
20171206,0.014743,0.024662,0.014743,0.024628,6921,177715,0.02
20171205,0.012705,0.020069,0.011608,0.014776,2602,153069,0.02
20171204,0.014277,0.015227,0.012377,0.012680,85,171917,0.01
20171203,0.023636,0.025449,0.013892,0.014230,133,284464,0.02
20171202,0.014699,0.023711,0.013511,0.023383,11,176819,0.02
20171201,0.013091,0.014711,0.012393,0.014711,45,157399,0.01
20171130,0.013513,0.014694,0.011888,0.013156,115,162387,0.01
20171129,0.014269,0.017111,0.012076,0.013320,77,171391,0.01
20171128,0.014242,0.014852,0.014105,0.014278,68,170975,0.01
20171127,0.015740,0.016306,0.013558,0.014206,44,188852,0.01
20171126,0.015750,0.016672,0.006386,0.015737,353,188875,0.01
20171125,0.013223,0.015755,0.013149,0.015755,80,158491,0.01
20171124,0.011541,0.014543,0.011349,0.013250,39,138254,0.01
20171123,0.011763,0.011891,0.011554,0.011554,10,140842,0.01
