date,open,high,low,close,volume,marketcap,average
20180110,0.072075,0.072075,0.024428,0.033083,27902,366947,0.05
20180109,0.016593,0.073192,0.016536,0.071330,53109,84479,0.04
20180108,0.020961,0.026503,0.014978,0.016638,11748,106716,0.02
20180107,0.014308,0.023071,0.014101,0.020990,6534,72845,0.02
20180106,0.015448,0.016365,0.014012,0.014318,3270,78647,0.02
20180105,0.013877,0.016324,0.012982,0.015453,2835,70649,0.01
20180104,0.017280,0.017324,0.013056,0.013873,5910,87975,0.02
20180103,0.013167,0.017152,0.013103,0.017122,2592,67036,0.02
20180102,0.012692,0.014843,0.011455,0.013107,2066,64619,0.01
20180101,0.011171,0.013296,0.010741,0.012696,1187,56873,0.01
20171231,0.012272,0.013893,0.008659,0.011134,4392,62477,0.01
20171230,0.018718,0.018832,0.010661,0.012404,8092,95299,0.01
20171229,0.023624,0.028262,0.017150,0.018766,88259,120274,0.02
20171228,0.014360,0.027425,0.010737,0.024874,72218,73111,0.02
20171227,0.015497,0.015612,0.010265,0.014389,2026,78899,0.01
20171226,0.016193,0.017684,0.009642,0.015478,4185,82444,0.01
20171225,0.016892,0.018014,0.008368,0.016205,4581,85999,0.01
20171224,0.027144,0.027705,0.014776,0.015931,17286,138193,0.02
20171223,0.003941,0.036247,0.003915,0.027208,190432,20062,0.02
20171222,0.003598,0.004571,0.002825,0.003903,1072,18321,0.00
20171221,0.004241,0.004675,0.003078,0.003586,478,21590,0.00
20171220,0.003001,0.004248,0.002727,0.004230,721,15279,0.00
20171219,0.004534,0.004550,0.002477,0.003004,84,23084,0.00
20171218,0.004786,0.006302,0.004434,0.004532,58,24368,0.01
20171217,0.004694,0.005112,0.003881,0.004775,190,23898,0.00
20171216,0.004231,0.004771,0.004177,0.004644,113,21539,0.00
20171215,0.003949,0.004351,0.003512,0.004225,486,20108,0.00
20171214,0.003283,0.003958,0.003213,0.003944,321,16713,0.00
20171213,0.002579,0.003750,0.002461,0.003293,216,13131,0.00
20171212,0.004117,0.004446,0.002574,0.002577,142,20958,0.00
20171211,0.001881,0.004205,0.001875,0.004094,76,9577,0.00
20171210,0.003157,0.003157,0.001825,0.001931,0,16072,0.00
20171209,0.005860,0.005947,0.002844,0.003145,285,29833,0.00
20171208,0.003978,0.005866,0.002479,0.005866,342,20253,0.00
20171207,0.002889,0.004066,0.002852,0.003969,19,14706,0.00
20171206,0.002459,0.003081,0.002459,0.002893,200,12521,0.00
20171205,0.001831,0.002482,0.001816,0.002465,18,9321,0.00
20171204,0.002222,0.002291,0.001620,0.001827,38,11315,0.00
20171203,0.002287,0.002352,0.002094,0.002215,92,11642,0.00
20171202,0.002482,0.002599,0.002080,0.002283,95,12635,0.00
20171201,0.001967,0.002762,0.001810,0.002486,48,10014,0.00
20171130,0.002115,0.002267,0.001481,0.001972,391,10769,0.00
20171129,0.002674,0.002680,0.001857,0.002083,460,13615,0.00
20171128,0.002380,0.002686,0.002175,0.002677,164,12117,0.00
20171127,0.002317,0.002527,0.002037,0.002389,20,11796,0.00
20171126,0.001907,0.002360,0.001889,0.002316,8,9709,0.00
20171125,0.001708,0.001909,0.001574,0.001909,127,8696,0.00
20171124,0.001303,0.002137,0.001280,0.001712,97,6632,0.00
20171123,0.001765,0.001860,0.001311,0.001311,36,8986,0.00
20171122,0.001430,0.001972,0.001426,0.001805,16,7282,0.00
20171121,0.001898,0.001911,0.001408,0.001427,81,9662,0.00
20171120,0.001758,0.002267,0.001701,0.001900,14,8951,0.00
20171119,0.002192,0.002194,0.001705,0.001759,22,11162,0.00
20171118,0.001587,0.002196,0.001465,0.002196,39,8079,0.00
20171117,0.001952,0.002222,0.001593,0.001593,98,9940,0.00
20171116,0.002519,0.003203,0.001938,0.001956,190,12824,0.00
20171115,0.002017,0.003774,0.002005,0.002505,809,10269,0.00
20171114,0.001592,0.004989,0.001188,0.002015,3346,8107,0.00
20171113,0.001070,0.001613,0.001062,0.001591,407,5447,0.00
20171112,0.001839,0.001876,0.001032,0.001068,294,9360,0.00
20171111,0.002380,0.002559,0.001801,0.001840,2,12117,0.00
20171110,0.001286,0.002555,0.001266,0.002389,3,6549,0.00
20171109,0.001426,0.001440,0.001281,0.001283,4,7262,0.00
20171108,0.001395,0.001443,0.001364,0.001443,4,7103,0.00
20171107,0.001184,0.001279,0.001184,0.001279,1,6028,0.00
20171106,0.001326,0.001330,0.001182,0.001186,29,6753,0.00
20171105,0.001178,0.001353,0.000458,0.001323,755,5995,0.00
20171104,0.001079,0.001191,0.000898,0.001179,126,5495,0.00
20171103,0.001067,0.001686,0.001060,0.001079,167,5434,0.00
20171102,0.001213,0.002117,0.000691,0.001069,63,6176,0.00
20171101,0.002735,0.003121,0.001177,0.001212,547,13922,0.00
20171031,0.002431,0.002909,0.001683,0.002737,316,12375,0.00
20171030,0.002446,0.002464,0.001575,0.002439,6,12453,0.00
20171029,0.001776,0.002514,0.001771,0.002460,25,9040,0.00
20171028,0.001442,0.001795,0.001434,0.001778,13,7342,0.00
20171027,0.001531,0.001560,0.001426,0.001438,89,7797,0.00
20171026,0.002380,0.002542,0.001509,0.001532,37,12119,0.00
20171025,0.001651,0.002400,0.001512,0.002381,21,8404,0.00
20171024,0.001663,0.002024,0.001478,0.001650,9,8466,0.00
20171023,0.001199,0.001671,0.001189,0.001668,2,6107,0.00
20171022,0.001564,0.001983,0.001178,0.001202,8,7960,0.00
20171021,0.001865,0.001887,0.001535,0.001563,28,9496,0.00
20171020,0.001561,0.002231,0.001558,0.001867,184,7946,0.00
20171019,0.001982,0.002115,0.001541,0.001561,182,10093,0.00
20171018,0.002085,0.002203,0.001735,0.001981,129,10617,0.00
20171017,0.002133,0.002138,0.001865,0.002087,40,10861,0.00
20171016,0.006233,0.006265,0.002116,0.002133,17,31735,0.00
20171015,0.001521,0.010629,0.001498,0.006232,2091,7745,0.01
20171014,0.001466,0.001521,0.001451,0.001519,18,7464,0.00
20171013,0.001522,0.001644,0.001286,0.001466,13,7751,0.00
20171012,0.001305,0.001518,0.001281,0.001518,27,6644,0.00
20171011,0.001569,0.001573,0.001283,0.001304,19,7988,0.00
20171010,0.002182,0.002216,0.001249,0.001569,31,11110,0.00
20171009,0.002569,0.002629,0.001932,0.002182,6,13081,0.00
20171008,0.001111,0.002625,0.001107,0.002569,59,5657,0.00
20171007,0.001300,0.001310,0.001086,0.001114,21,6618,0.00
20171006,0.001172,0.002189,0.001170,0.002189,1,5969,0.00
20171005,0.000991,0.001202,0.000966,0.001172,6,5045,0.00
20171004,0.001296,0.001304,0.000991,0.000991,0,6598,0.00
20171003,0.001321,0.001328,0.001283,0.001293,14,6725,0.00
20171002,0.001318,0.001339,0.001310,0.001321,13,6711,0.00
20171001,0.001242,0.001319,0.001117,0.001319,16,6324,0.00
20170930,0.001252,0.001347,0.001150,0.001242,16,6372,0.00
20170929,0.001342,0.001344,0.001214,0.001251,70,6833,0.00
20170928,0.001423,0.001616,0.001284,0.001343,24,7247,0.00
20170927,0.001101,0.001577,0.001097,0.001423,106,5604,0.00
20170926,0.001281,0.002105,0.001079,0.001103,21,6524,0.00
20170925,0.001962,0.002078,0.001274,0.001281,183,9989,0.00
20170924,0.001288,0.001974,0.000982,0.001964,27,6558,0.00
20170923,0.002023,0.002113,0.000899,0.001288,181,10299,0.00
20170922,0.001338,0.002229,0.001259,0.002029,18,6814,0.00
20170921,0.001319,0.001406,0.001287,0.001340,41,6715,0.00
20170920,0.001354,0.001520,0.000960,0.001326,267,6895,0.00
20170919,0.001314,0.001431,0.001270,0.001356,14,6688,0.00
20170918,0.001404,0.001487,0.001217,0.001310,27,7149,0.00
20170917,0.001153,0.001483,0.001122,0.001407,3,5868,0.00
20170916,0.001298,0.001584,0.001112,0.001153,110,6610,0.00
20170915,0.001233,0.001455,0.001043,0.001302,46,6277,0.00
20170914,0.001743,0.001824,0.001226,0.001226,23,8876,0.00
20170913,0.001690,0.001778,0.001427,0.001738,26,8603,0.00
20170912,0.001433,0.002195,0.001405,0.001696,422,7294,0.00
20170911,0.001579,0.001630,0.001424,0.001431,151,8038,0.00
20170910,0.001980,0.002041,0.001494,0.001575,10,10080,0.00
20170909,0.001504,0.002116,0.001171,0.001985,3,7659,0.00
20170908,0.001715,0.001715,0.001467,0.001502,37,8729,0.00
20170907,0.001892,0.002103,0.001714,0.001714,95,9631,0.00
20170906,0.001724,0.002331,0.001546,0.001895,290,8776,0.00
20170905,0.001895,0.001895,0.001663,0.001722,5,9646,0.00
20170904,0.001886,0.001969,0.001494,0.001885,33,9600,0.00
20170903,0.002214,0.002266,0.001765,0.001886,106,11272,0.00
20170902,0.002217,0.002267,0.001851,0.002214,12,11288,0.00
20170901,0.002130,0.002257,0.001893,0.002213,65,10844,0.00
20170831,0.001740,0.002141,0.001705,0.002129,86,8858,0.00
20170830,0.002038,0.002123,0.001572,0.001743,119,10377,0.00
20170829,0.002017,0.002125,0.001998,0.002041,2,10270,0.00
20170828,0.002086,0.002432,0.001637,0.002014,106,10618,0.00
20170827,0.002038,0.002102,0.001765,0.002088,77,10377,0.00
20170826,0.002052,0.002278,0.001551,0.002039,155,10447,0.00
20170825,0.002637,0.002671,0.002003,0.002048,383,13427,0.00
20170824,0.002202,0.002661,0.002199,0.002641,104,11210,0.00
20170823,0.002025,0.002233,0.001899,0.002201,14,10310,0.00
20170822,0.001998,0.002029,0.001393,0.002029,109,10170,0.00
20170821,0.001988,0.002034,0.001324,0.001993,51,10121,0.00
20170820,0.001326,0.002056,0.001296,0.001995,93,6753,0.00
20170819,0.001602,0.001632,0.001280,0.001333,24,8158,0.00
20170818,0.001669,0.001678,0.001312,0.001604,49,8498,0.00
20170817,0.002054,0.002061,0.001342,0.001674,39,10456,0.00
20170816,0.001911,0.002079,0.001341,0.002056,66,9728,0.00
20170815,0.001844,0.001930,0.001418,0.001909,57,9386,0.00
20170814,0.002072,0.002381,0.001404,0.001839,114,10551,0.00
20170813,0.002011,0.002684,0.001930,0.002071,20,10240,0.00
20170812,0.003122,0.003143,0.001622,0.002013,58,15896,0.00
20170811,0.001403,0.003167,0.001397,0.003125,20,7144,0.00
20170810,0.001612,0.001630,0.001164,0.001403,504,8207,0.00
20170809,0.001573,0.001616,0.001498,0.001612,56,8007,0.00
20170808,0.001560,0.001602,0.001541,0.001574,234,7943,0.00
20170807,0.001542,0.001800,0.001415,0.001559,678,7849,0.00
20170806,0.001567,0.001583,0.001465,0.001545,90,7978,0.00
20170805,0.002209,0.002543,0.001539,0.001567,140,11246,0.00
20170804,0.001951,0.008608,0.001832,0.002211,4864,9933,0.01
20170803,0.002140,0.002156,0.000717,0.001950,1293,10897,0.00
20170802,0.002481,0.002502,0.002004,0.002136,95,12633,0.00
20170801,0.002107,0.002487,0.001937,0.002482,295,10727,0.00
20170731,0.002384,0.002386,0.001803,0.002106,4,12139,0.00
20170730,0.002664,0.002669,0.002310,0.002382,13,13562,0.00
20170729,0.002642,0.002694,0.002275,0.002664,4,13453,0.00
20170728,0.002661,0.003160,0.001896,0.002652,129,13546,0.00
20170727,0.001969,0.002896,0.001962,0.002653,159,10026,0.00
20170726,0.002420,0.002795,0.001927,0.001964,257,12321,0.00
20170725,0.002958,0.003138,0.002321,0.002419,212,15060,0.00
20170724,0.002211,0.003174,0.002194,0.002958,345,11259,0.00
20170723,0.004204,0.004541,0.002207,0.002213,337,21405,0.00
20170722,0.003521,0.004342,0.003009,0.004204,77,17924,0.00
20170721,0.004144,0.004158,0.002088,0.003521,853,21099,0.00
20170720,0.003889,0.005009,0.003135,0.004115,626,19798,0.00
20170719,0.004076,0.004608,0.003159,0.003900,278,20751,0.00
20170718,0.002698,0.004549,0.002623,0.004069,473,13734,0.00
20170717,0.002065,0.003508,0.001900,0.002691,291,10514,0.00
20170716,0.002674,0.003536,0.001772,0.002067,1048,13613,0.00
20170715,0.002426,0.002766,0.001737,0.002680,2054,12352,0.00
20170714,0.000960,0.002431,0.000960,0.002430,1971,4885,0.00
20170713,0.000928,0.001034,0.000824,0.000960,31,4726,0.00
20170712,0.000820,0.001098,0.000789,0.000928,80,4177,0.00
20170711,0.003624,0.003713,0.000803,0.000822,17,18450,0.00
20170710,0.000908,0.006087,0.000801,0.003664,80,4624,0.00
20170709,0.000916,0.001252,0.000807,0.000907,64,4663,0.00
20170708,0.000797,0.001128,0.000790,0.000915,47,4055,0.00
20170707,0.000963,0.001089,0.000712,0.000796,58,4905,0.00
20170706,0.001071,0.001214,0.000702,0.000963,98,5452,0.00
20170705,0.001042,0.001173,0.000690,0.001070,42,5307,0.00
20170704,0.001022,0.001120,0.000761,0.001042,93,5204,0.00
20170703,0.000756,0.003824,0.000745,0.001025,54,3848,0.00
20170702,0.000741,0.000944,0.000731,0.000759,23,3772,0.00
20170701,0.000785,0.001072,0.000728,0.000741,35,3999,0.00
20170630,0.002867,0.003113,0.000771,0.000786,117,14597,0.00
20170629,0.004364,0.007108,0.002853,0.002868,59,22218,0.00
20170628,0.003720,0.004546,0.002894,0.004368,67,18937,0.00
20170627,0.001023,0.004257,0.000963,0.003695,84,5209,0.00
20170626,0.001108,0.001126,0.000973,0.001000,37,5641,0.00
20170625,0.001234,0.001321,0.001077,0.001109,40,6282,0.00
20170624,0.001426,0.001442,0.001140,0.001237,39,7259,0.00
20170623,0.001345,0.001517,0.001192,0.001426,60,6849,0.00
20170622,0.001211,0.001369,0.001211,0.001345,76,6166,0.00
20170621,0.001583,0.001583,0.001178,0.001211,73,8057,0.00
20170620,0.001299,0.001656,0.001224,0.001583,72,6613,0.00
20170619,0.001249,0.001749,0.001249,0.001299,44,6361,0.00
20170618,0.001423,0.002220,0.001249,0.001249,294,7243,0.00
20170617,0.000874,0.001749,0.000874,0.001423,142,4451,0.00
20170616,0.001808,0.001808,0.000874,0.000874,5,9204,0.00
20170615,0.001417,0.001809,0.000865,0.001809,224,7212,0.00
20170614,0.001432,0.001548,0.001242,0.001417,184,7292,0.00
20170613,0.002456,0.002568,0.000625,0.001433,20,12506,0.00
20170612,0.002182,0.002566,0.002172,0.002465,390,11110,0.00
20170611,0.001978,0.002366,0.001530,0.002185,67,10069,0.00
20170610,0.001722,0.002107,0.001717,0.001979,132,8768,0.00
20170609,0.001539,0.002171,0.001287,0.001720,75,7836,0.00
20170608,0.001184,0.002011,0.000552,0.001542,340,6027,0.00
20170607,0.001143,0.001241,0.001072,0.001178,1,5820,0.00
20170606,0.000907,0.001282,0.000907,0.001143,70,4615,0.00
20170605,0.000783,0.000904,0.000732,0.000904,4,3986,0.00
20170604,0.000709,0.000830,0.000698,0.000783,1,3609,0.00
20170603,0.000765,0.000882,0.000689,0.000710,30,3896,0.00
20170602,0.000816,0.000826,0.000723,0.000765,12,4151,0.00
20170601,0.000871,0.000895,0.000453,0.000816,114,4416,0.00
20170531,0.000893,0.000925,0.000707,0.000870,11,4512,0.00
20170530,0.001046,0.001052,0.000689,0.000890,10,5274,0.00
20170529,0.000868,0.001182,0.000844,0.001045,108,4365,0.00
20170528,0.000857,0.000974,0.000857,0.000870,0,4297,0.00
20170527,0.000959,0.001089,0.000765,0.000852,11,4803,0.00
20170526,0.000811,0.001920,0.000811,0.000956,214,4056,0.00
20170525,0.000974,0.001127,0.000796,0.000817,4,4870,0.00
20170524,0.000736,0.001044,0.000720,0.000976,42,3678,0.00
20170523,0.000774,0.000794,0.000683,0.000735,19,3869,0.00
20170522,0.000812,0.000860,0.000602,0.000775,130,4059,0.00
20170521,0.000608,0.000819,0.000525,0.000810,84,3040,0.00
20170520,0.000420,0.000609,0.000243,0.000609,95,2069,0.00
20170519,0.000585,0.000594,0.000415,0.000420,13,2883,0.00
