date,open,high,low,close,volume,marketcap,average
20180110,0.387117,0.392793,0.346279,0.353974,803707,40103600,0.37
20180109,0.396300,0.435301,0.381595,0.386610,1154610,41053700,0.41
20180108,0.412415,0.422429,0.343480,0.395431,1613710,42721900,0.38
20180107,0.392265,0.447939,0.381248,0.408928,1693180,40632700,0.41
20180106,0.355986,0.416968,0.353004,0.392210,1741290,36873700,0.38
20180105,0.433196,0.452293,0.344277,0.344530,3784810,44869900,0.40
20180104,0.415274,0.499259,0.389596,0.435079,6167350,43012500,0.44
20180103,0.347350,0.460022,0.318122,0.413012,4201000,35976000,0.39
20180102,0.401271,0.429530,0.317316,0.349181,5791350,41559500,0.37
20180101,0.274597,0.451987,0.264193,0.400898,5828970,28439100,0.36
20171231,0.228500,0.294373,0.221870,0.273538,1753040,23664300,0.26
20171230,0.263567,0.263908,0.210576,0.230867,1025950,27295100,0.24
20171229,0.246289,0.272026,0.235789,0.264376,758942,25504900,0.25
20171228,0.246672,0.255623,0.218530,0.242052,949780,25543700,0.24
20171227,0.259045,0.290838,0.232935,0.247345,939636,26824200,0.26
20171226,0.272853,0.288715,0.236813,0.258700,1221360,28253100,0.26
20171225,0.245275,0.286356,0.240022,0.273132,1582200,25396800,0.26
20171224,0.228758,0.246356,0.205802,0.240670,728570,23685900,0.23
20171223,0.206294,0.261341,0.205406,0.226693,1315470,21359400,0.23
20171222,0.273287,0.275979,0.156228,0.203954,741774,28295000,0.22
20171221,0.234051,0.313518,0.232727,0.272343,2449710,24231900,0.27
20171220,0.251426,0.261927,0.211096,0.235083,1590160,26030100,0.24
20171219,0.278776,0.290016,0.233619,0.252027,1261950,28860800,0.26
20171218,0.257358,0.292739,0.238911,0.281023,1304090,26642800,0.27
20171217,0.264097,0.283113,0.251122,0.252580,1087970,27339400,0.27
20171216,0.233990,0.282840,0.229689,0.265814,1514450,24222000,0.26
20171215,0.264760,0.265873,0.216042,0.228732,2097530,27406300,0.24
20171214,0.288094,0.304272,0.257365,0.264363,1943550,29820600,0.28
20171213,0.292665,0.324326,0.276475,0.289022,2499170,30292400,0.30
20171212,0.380046,0.407643,0.291938,0.292420,4702040,39335200,0.35
20171211,0.229511,0.439250,0.223957,0.377656,15239800,23753600,0.33
20171210,0.209173,0.294814,0.172906,0.223354,3203930,21647800,0.23
20171209,0.221344,0.238933,0.189656,0.208540,1112840,22906400,0.21
20171208,0.226021,0.268302,0.179066,0.227589,2883900,23389400,0.22
20171207,0.333906,0.403744,0.212427,0.226356,5046010,34552000,0.31
20171206,0.436516,0.513859,0.254245,0.338885,25702500,45168100,0.38
20171205,0.197616,0.444486,0.187379,0.435955,15624000,20447200,0.32
20171204,0.166507,0.211058,0.166169,0.199900,2357970,17227800,0.19
20171203,0.174707,0.182708,0.157212,0.170541,1114520,18075300,0.17
20171202,0.156086,0.188433,0.136431,0.172141,1418490,16147900,0.16
20171201,0.170363,0.184578,0.139622,0.159920,2232440,17624100,0.16
20171130,0.121891,0.211225,0.113668,0.176214,6124940,12609300,0.16
20171129,0.093556,0.179192,0.089608,0.115793,4853940,9677730,0.13
20171128,0.071140,0.126658,0.069248,0.093848,1078400,7358620,0.10
20171127,0.067652,0.071718,0.066490,0.071343,52719,6997490,0.07
20171126,0.065768,0.069886,0.063539,0.066243,112338,6802320,0.07
20171125,0.058500,0.066471,0.057996,0.065790,74165,6050340,0.06
20171124,0.059888,0.064686,0.055462,0.060413,144854,6193800,0.06
20171123,0.048944,0.066631,0.048695,0.061336,347117,5061660,0.06
20171122,0.048285,0.051566,0.047756,0.048302,88999,4993380,0.05
20171121,0.048789,0.051680,0.044118,0.048168,34605,5045300,0.05
20171120,0.050138,0.051779,0.048080,0.048780,44676,5184540,0.05
20171119,0.049447,0.050655,0.047040,0.050162,61844,5112740,0.05
20171118,0.049579,0.051303,0.048324,0.049539,23316,5126280,0.05
20171117,0.051381,0.053812,0.048656,0.049770,38197,5312460,0.05
20171116,0.050392,0.054222,0.048773,0.051466,36678,5209990,0.05
20171115,0.046149,0.056954,0.046149,0.049549,116880,4771050,0.05
20171114,0.045266,0.046626,0.043955,0.046117,30209,4679410,0.05
20171113,0.039454,0.047137,0.039063,0.045170,37339,4078340,0.04
20171112,0.042936,0.047815,0.037927,0.039397,95672,4438090,0.04
20171111,0.042539,0.045495,0.039696,0.042014,51208,4396780,0.04
20171110,0.049905,0.050797,0.040193,0.042691,73467,5157700,0.05
20171109,0.048451,0.052013,0.045845,0.049757,70819,5007260,0.05
20171108,0.047750,0.050719,0.045161,0.047683,75893,4934640,0.05
20171107,0.047359,0.052484,0.045815,0.047900,52388,4894130,0.05
20171106,0.048715,0.057917,0.045483,0.047435,120859,5034070,0.05
20171105,0.047796,0.052931,0.046171,0.048607,58508,4939020,0.05
20171104,0.051604,0.051604,0.045180,0.047887,38300,5332380,0.05
20171103,0.044390,0.052328,0.043135,0.050811,73603,4586770,0.05
20171102,0.048593,0.052160,0.044277,0.044448,49989,5020960,0.05
20171101,0.051470,0.053309,0.049222,0.050084,26545,5318020,0.05
20171031,0.049526,0.051771,0.049102,0.051191,26004,5116960,0.05
20171030,0.050558,0.053932,0.049220,0.049696,44595,5223390,0.05
20171029,0.046105,0.054484,0.045755,0.050853,38573,4763220,0.05
20171028,0.048932,0.049562,0.045870,0.046168,9796,5055080,0.05
20171027,0.047212,0.049045,0.046083,0.048798,22359,4877270,0.05
