date,open,high,low,close,volume,marketcap,average
20180110,0.016065,0.028407,0.007214,0.020248,58258,480138,0.02
20180109,0.024698,0.046285,0.010210,0.016044,36779,738164,0.03
20180108,0.020193,0.040790,0.015860,0.024766,34715,603527,0.03
20180107,0.014278,0.020258,0.013901,0.020222,38342,426736,0.02
20180106,0.019532,0.021884,0.011717,0.014289,12594,583748,0.02
20180105,0.004403,0.019650,0.004066,0.019516,23900,131580,0.01
20180104,0.005324,0.005575,0.003752,0.004402,1661,159114,0.00
20180103,0.005193,0.005385,0.003529,0.005295,1405,155191,0.00
20180102,0.003375,0.005472,0.003302,0.005211,4246,100880,0.00
20180101,0.003635,0.004337,0.003376,0.003376,132,108645,0.00
20171231,0.004069,0.004396,0.003621,0.003621,46,121601,0.00
20171230,0.004494,0.004507,0.003841,0.004113,225,134305,0.00
20171229,0.004196,0.004998,0.003138,0.004505,996,125395,0.00
20171228,0.004344,0.004901,0.003072,0.004153,738,129845,0.00
20171227,0.003009,0.006409,0.002985,0.004354,14174,89932,0.00
20171226,0.003065,0.003607,0.002507,0.003007,1037,91591,0.00
20171225,0.002817,0.003356,0.002388,0.003068,1155,84204,0.00
20171224,0.002921,0.003390,0.002443,0.002788,756,87310,0.00
20171223,0.002758,0.003493,0.002576,0.002889,865,82427,0.00
20171222,0.002514,0.002993,0.001602,0.002732,915,75140,0.00
20171221,0.002802,0.003708,0.002423,0.002505,1641,83749,0.00
20171220,0.003700,0.003930,0.002680,0.002795,2218,110581,0.00
20171219,0.005357,0.005357,0.003271,0.003704,1603,160118,0.00
20171218,0.005548,0.006639,0.002638,0.005353,30065,165823,0.00
20171217,0.003311,0.006950,0.003272,0.005531,5588,98958,0.01
20171216,0.006706,0.007024,0.002796,0.003311,7852,200419,0.00
20171215,0.006137,0.007057,0.003324,0.006696,11663,183432,0.01
20171214,0.006386,0.008285,0.004129,0.006128,3186,190874,0.01
20171213,0.006565,0.008061,0.004926,0.006407,74756,196207,0.01
20171212,0.008418,0.008538,0.003385,0.006559,2120,251602,0.01
20171211,0.007319,0.008752,0.006263,0.008391,1911,218732,0.01
20171210,0.007669,0.007669,0.005526,0.007372,389,229210,0.01
20171209,0.008457,0.008582,0.006026,0.007638,3553,252764,0.01
20171208,0.009545,0.009688,0.005971,0.008466,918,285289,0.01
20171207,0.007417,0.009523,0.005528,0.009523,1145,221686,0.01
20171206,0.005733,0.007441,0.004871,0.007430,801,171356,0.01
20171205,0.005805,0.005839,0.005681,0.005746,93,173486,0.01
20171204,0.004272,0.004404,0.004138,0.004401,1,127675,0.00
20171203,0.005138,0.005168,0.004024,0.004258,84,153558,0.00
20171202,0.004136,0.005262,0.004128,0.005133,15,123616,0.00
20171201,0.003997,0.004290,0.003784,0.004140,36,119467,0.00
20171130,0.004816,0.005239,0.003797,0.004017,1,143939,0.00
20171129,0.004964,0.005719,0.003586,0.004743,40,148360,0.00
20171128,0.004975,0.005076,0.004927,0.004969,5,148697,0.01
20171127,0.004472,0.004971,0.004472,0.004962,910,133671,0.00
20171126,0.004198,0.004803,0.004194,0.004472,26,125474,0.00
20171125,0.004269,0.004276,0.002968,0.004200,235,127595,0.00
20171124,0.003215,0.004310,0.002989,0.004278,180,96083,0.00
20171123,0.003372,0.004497,0.003219,0.003219,258,100790,0.00
20171122,0.004057,0.004150,0.003323,0.003373,50,121255,0.00
20171121,0.004945,0.004956,0.003244,0.004047,380,147789,0.00
20171120,0.004102,0.004971,0.003993,0.004944,326,122602,0.00
20171119,0.003893,0.004137,0.003848,0.004104,62,116365,0.00
20171118,0.005227,0.005227,0.003800,0.003901,294,156221,0.00
20171117,0.003922,0.005431,0.003784,0.005247,133,117229,0.00
20171116,0.004747,0.005274,0.003613,0.003929,424,141875,0.00
20171115,0.003306,0.004761,0.003306,0.004722,342,98802,0.00
20171114,0.002939,0.004887,0.002605,0.002907,319,87836,0.00
20171113,0.002113,0.006726,0.002097,0.002933,2056,63167,0.00
20171112,0.003181,0.003600,0.002038,0.002110,34,95060,0.00
20171111,0.003353,0.004233,0.003022,0.003183,103,100218,0.00
20171110,0.003921,0.004974,0.003290,0.003365,110,117185,0.00
20171109,0.003584,0.004719,0.003499,0.003909,856,107127,0.00
20171108,0.003558,0.004134,0.002578,0.003588,680,106341,0.00
20171107,0.002575,0.003607,0.002575,0.003569,10,76955,0.00
20171106,0.005175,0.005191,0.002328,0.002579,696,154678,0.00
20171105,0.004057,0.005538,0.003720,0.005164,676,121260,0.00
20171104,0.004372,0.005625,0.003912,0.004065,662,130662,0.00
20171103,0.001967,0.004472,0.001869,0.004383,1185,58774,0.00
20171102,0.002826,0.003071,0.001781,0.001969,94,84462,0.00
20171101,0.002578,0.002828,0.002546,0.002823,31,77037,0.00
20171031,0.002390,0.002579,0.002377,0.002579,89,71426,0.00
20171030,0.002401,0.002425,0.001708,0.002398,41,71766,0.00
20171029,0.002291,0.002466,0.002249,0.002415,1,68477,0.00
20171028,0.001498,0.002317,0.001490,0.002294,14,44786,0.00
20171027,0.001531,0.001540,0.001482,0.001494,6,45745,0.00
20171026,0.001548,0.001556,0.001481,0.001530,71,46274,0.00
20171025,0.001490,0.001576,0.001453,0.001548,75,44531,0.00
20171024,0.001532,0.001556,0.001481,0.001489,22,45769,0.00
20171023,0.001495,0.001517,0.001448,0.001467,1,44631,0.00
20171022,0.001985,0.002002,0.001437,0.001497,141,59216,0.00
20171021,0.002102,0.002106,0.001984,0.001984,108,62678,0.00
20171020,0.001988,0.002139,0.001967,0.002106,80,59251,0.00
20171019,0.001956,0.001983,0.001938,0.001974,14,58251,0.00
20171018,0.002016,0.002016,0.001797,0.001955,59,60037,0.00
20171017,0.002080,0.002086,0.001993,0.002016,14,61911,0.00
20171016,0.002277,0.002288,0.002004,0.002080,18,67712,0.00
20171015,0.002341,0.002348,0.002128,0.002276,62,69564,0.00
20171014,0.002206,0.002340,0.002185,0.002336,59,65518,0.00
20171013,0.002122,0.002292,0.002108,0.002205,242,62994,0.00
20171012,0.002703,0.002761,0.002062,0.002115,386,80190,0.00
20171011,0.002317,0.002752,0.002316,0.002700,217,68742,0.00
20171010,0.002393,0.002464,0.002364,0.002371,26,70964,0.00
20171009,0.002347,0.002648,0.002330,0.002393,222,69568,0.00
20171008,0.002177,0.002629,0.002177,0.002347,216,64490,0.00
20171007,0.002274,0.002620,0.002124,0.002183,524,67321,0.00
20171006,0.001773,0.002157,0.001609,0.002142,305,52442,0.00
20171005,0.001477,0.001790,0.001358,0.001773,315,43682,0.00
20171004,0.001382,0.001490,0.001353,0.001476,55,40843,0.00
20171003,0.002378,0.002391,0.001369,0.001379,50,70199,0.00
20171002,0.001406,0.002379,0.001405,0.002377,166,41466,0.00
20171001,0.001521,0.001550,0.001365,0.001407,49,44790,0.00
20170930,0.001252,0.001525,0.001250,0.001520,201,36819,0.00
20170929,0.001384,0.001893,0.001246,0.001251,69,40662,0.00
20170928,0.001473,0.001550,0.001286,0.001385,163,43216,0.00
20170927,0.001555,0.002261,0.001061,0.001473,416,45590,0.00
20170926,0.001180,0.005814,0.000783,0.001560,2405,34545,0.00
20170925,0.001065,0.001191,0.000795,0.001180,126,31140,0.00
20170924,0.000758,0.001084,0.000758,0.001066,12,22128,0.00
20170923,0.001082,0.001110,0.000745,0.000758,119,31565,0.00
20170922,0.001086,0.001128,0.000922,0.001085,78,31644,0.00
20170921,0.001552,0.001758,0.001076,0.001087,389,45151,0.00
20170920,0.001135,0.001651,0.001125,0.001559,53,32982,0.00
20170919,0.001067,0.001174,0.001017,0.001136,25,30963,0.00
20170918,0.001478,0.001530,0.000944,0.001064,46,42856,0.00
20170917,0.000929,0.001520,0.000872,0.001481,81,26897,0.00
20170916,0.001041,0.001552,0.000896,0.000929,67,30124,0.00
20170915,0.001395,0.001492,0.000914,0.001032,59,40311,0.00
