date,open,high,low,close,volume,marketcap,average
20180110,0.078467,0.079454,0.056527,0.064388,9103,1056580,0.07
20180109,0.057341,0.083371,0.055855,0.078364,13334,771723,0.07
20180108,0.061668,0.074154,0.054553,0.057488,11355,829538,0.06
20180107,0.081636,0.093536,0.057394,0.061794,4396,1097650,0.08
20180106,0.054506,0.136274,0.048210,0.081783,6176,732487,0.09
20180105,0.036364,0.055680,0.035273,0.054474,5992,488423,0.05
20180104,0.031909,0.040160,0.031790,0.036354,2787,428360,0.04
20180103,0.036361,0.036854,0.030237,0.031747,1143,487896,0.03
20180102,0.026669,0.037344,0.025663,0.036484,2066,357640,0.03
20180101,0.028673,0.028673,0.024286,0.026669,296,384322,0.03
20171231,0.026513,0.030561,0.024660,0.028570,774,355201,0.03
20171230,0.031962,0.032599,0.023877,0.026812,1288,428005,0.03
20171229,0.026345,0.032161,0.025689,0.032078,1357,352589,0.03
20171228,0.027382,0.028015,0.022845,0.025256,1342,366281,0.03
20171227,0.034419,0.034419,0.025094,0.027439,1860,460178,0.03
20171226,0.028896,0.049725,0.027109,0.034394,2876,386135,0.04
20171225,0.029958,0.035031,0.027719,0.028925,813,400130,0.03
20171224,0.024473,0.033667,0.019400,0.029762,1372,326693,0.03
20171223,0.022073,0.026228,0.021160,0.024219,263,294511,0.02
20171222,0.026984,0.033652,0.018659,0.021867,1917,359837,0.03
20171221,0.029129,0.037781,0.023558,0.026930,1357,388258,0.03
20171220,0.029643,0.030951,0.026808,0.029067,266,394900,0.03
20171219,0.034060,0.034182,0.029264,0.029672,619,453536,0.03
20171218,0.044187,0.044187,0.031300,0.034294,1227,588063,0.04
20171217,0.033731,0.045941,0.031080,0.044021,4507,448684,0.04
20171216,0.029863,0.033828,0.029783,0.033721,329,397024,0.03
20171215,0.027582,0.036450,0.027577,0.029822,579,366515,0.03
20171214,0.022569,0.028598,0.022189,0.027541,1176,299729,0.03
20171213,0.026378,0.026731,0.021727,0.022638,508,350159,0.02
20171212,0.024085,0.026760,0.023302,0.026192,349,319552,0.03
20171211,0.022014,0.047924,0.021911,0.023988,268,291928,0.03
20171210,0.022037,0.022812,0.018762,0.022177,195,292074,0.02
20171209,0.028112,0.030197,0.020111,0.021949,325,372418,0.03
20171208,0.039297,0.039297,0.021497,0.028107,1183,520285,0.03
20171207,0.018824,0.039677,0.018583,0.039205,3668,249101,0.03
20171206,0.017008,0.022273,0.017008,0.018854,693,224955,0.02
20171205,0.016101,0.018840,0.015856,0.017058,146,212847,0.02
20171204,0.014959,0.016329,0.014882,0.016069,272,197647,0.02
20171203,0.016360,0.017109,0.014280,0.014910,932,216045,0.02
20171202,0.014370,0.017619,0.014101,0.016344,840,189680,0.02
20171201,0.013008,0.015691,0.013008,0.014383,298,171595,0.01
20171130,0.014010,0.015161,0.012300,0.013072,378,184733,0.01
20171129,0.013864,0.016322,0.012582,0.013798,824,182706,0.01
20171128,0.013252,0.015013,0.012913,0.013878,386,174553,0.01
20171127,0.013069,0.013930,0.012389,0.013218,1215,172053,0.01
20171126,0.011607,0.014243,0.011590,0.013066,892,152731,0.01
20171125,0.010305,0.012919,0.010301,0.011611,2222,135525,0.01
20171124,0.010430,0.012754,0.010001,0.010327,2197,137103,0.01
20171123,0.011617,0.012387,0.010403,0.010447,1399,152619,0.01
20171122,0.011498,0.011930,0.010778,0.011624,1270,150960,0.01
20171121,0.011179,0.012383,0.010430,0.011470,1143,146722,0.01
20171120,0.011144,0.012069,0.010733,0.011177,517,146181,0.01
20171119,0.010636,0.012128,0.010273,0.011150,1127,139433,0.01
