date,open,high,low,close,volume,marketcap,average
20180110,0.017669,0.030194,0.017050,0.027454,20519,491695,0.02
20180109,0.016017,0.023460,0.014086,0.017645,12520,445330,0.02
20180108,0.021889,0.021889,0.013388,0.014959,4199,607552,0.02
20180107,0.015391,0.021809,0.015114,0.021809,10367,425962,0.02
20180106,0.014989,0.020415,0.014769,0.015419,13011,413490,0.02
20180105,0.014693,0.016143,0.012730,0.015046,5230,404793,0.01
20180104,0.011818,0.014847,0.011154,0.014683,4589,325126,0.01
20180103,0.015668,0.015832,0.011224,0.011781,5179,430048,0.01
20180102,0.009588,0.015942,0.009309,0.015722,10179,262717,0.01
20180101,0.011265,0.011418,0.009353,0.009581,2033,308624,0.01
20171231,0.008875,0.011474,0.007578,0.011235,4764,242896,0.01
20171230,0.010159,0.010159,0.006824,0.008957,1895,277986,0.01
20171229,0.006358,0.010194,0.006173,0.010194,5971,173542,0.01
20171228,0.005737,0.007117,0.004859,0.006302,2131,156543,0.01
20171227,0.006369,0.006796,0.004737,0.005748,401,173549,0.01
20171226,0.004691,0.006363,0.004127,0.006363,2954,127646,0.01
20171225,0.005447,0.008826,0.004688,0.004688,1035,148127,0.01
20171224,0.005118,0.007259,0.003872,0.005427,1756,139014,0.01
20171223,0.006338,0.007916,0.004855,0.005082,774,171916,0.01
20171222,0.006323,0.008518,0.004518,0.006305,499,171353,0.01
20171221,0.004506,0.010296,0.004506,0.006310,5082,121931,0.01
20171220,0.004535,0.005132,0.003965,0.004522,1001,122378,0.00
20171219,0.004821,0.005261,0.004100,0.004509,553,129878,0.00
20171218,0.004316,0.007177,0.004038,0.004782,1830,115895,0.01
20171217,0.004438,0.006533,0.003868,0.004314,4641,118742,0.01
20171216,0.003893,0.007065,0.003743,0.004409,2296,103762,0.01
20171215,0.005483,0.005768,0.003836,0.003888,933,145905,0.00
20171214,0.003443,0.005769,0.003419,0.005440,2457,91458,0.00
20171213,0.004012,0.004370,0.003412,0.003454,882,106475,0.00
20171212,0.004244,0.004558,0.004009,0.004009,549,112360,0.00
