date,open,high,low,close,volume,marketcap,average
20180110,0.350064,0.391036,0.297252,0.330915,5343,427135,0.34
20180109,0.329188,0.404157,0.297056,0.349588,8870,401663,0.35
20180108,0.292681,0.354703,0.287302,0.329147,4639,357118,0.32
20180107,0.271865,0.368051,0.268637,0.293091,4420,331719,0.32
20180106,0.260471,0.331675,0.232756,0.272065,2342,317817,0.28
20180105,0.226077,0.262380,0.194393,0.260289,1488,275850,0.23
20180104,0.234187,0.234578,0.196116,0.226333,2313,285746,0.22
20180103,0.178384,0.240749,0.178249,0.228510,9273,217657,0.21
20180102,0.150186,0.181492,0.139820,0.179012,422,183251,0.16
20180101,0.145949,0.150187,0.124556,0.150187,409,178081,0.14
20171231,0.161408,0.168139,0.129517,0.145526,729,196943,0.15
20171230,0.110890,0.164877,0.103316,0.163077,1061,135304,0.13
20171229,0.127277,0.221032,0.104949,0.111170,2096,155298,0.16
20171228,0.143332,0.146816,0.122931,0.125974,355,174888,0.13
20171227,0.112195,0.197918,0.111625,0.143609,173,136896,0.15
20171226,0.133357,0.164262,0.102637,0.112109,344,162717,0.13
20171225,0.123657,0.215743,0.119073,0.133422,197,150881,0.17
20171224,0.123650,0.133005,0.094747,0.122657,336,150873,0.11
20171223,0.131442,0.135359,0.101024,0.122587,1009,160381,0.12
20171222,0.155337,0.178954,0.108330,0.130213,579,189536,0.14
20171221,0.163249,0.223055,0.153220,0.154872,73,199191,0.19
20171220,0.185259,0.231915,0.154511,0.162827,284,226045,0.19
20171219,0.288689,0.289723,0.119821,0.185441,1906,352247,0.20
20171218,0.143429,0.295887,0.115886,0.288444,3174,175006,0.21
20171217,0.142197,0.148016,0.115713,0.142996,3788,173503,0.13
20171216,0.123707,0.143031,0.091256,0.142000,1603,150942,0.12
20171215,0.128671,0.135504,0.111576,0.123484,431,156999,0.12
20171214,0.112863,0.132369,0.110565,0.128658,242,137711,0.12
20171213,0.121409,0.123085,0.110401,0.113227,391,148138,0.12
20171212,0.105214,0.124105,0.096859,0.121307,876,128378,0.11
20171211,0.110451,0.122356,0.102108,0.104707,276,134768,0.11
20171210,0.130048,0.130048,0.092397,0.111265,1335,158680,0.11
20171209,0.121954,0.135392,0.082843,0.129524,1758,148803,0.11
20171208,0.128606,0.242089,0.106573,0.122076,2090,156920,0.17
20171207,0.127469,0.184924,0.099835,0.128305,9622,155533,0.14
20171206,0.115415,0.131334,0.108988,0.127689,1857,140825,0.12
20171205,0.109754,0.116187,0.096684,0.115672,84,133918,0.11
20171204,0.097812,0.122596,0.096801,0.109539,416,119346,0.11
20171203,0.117336,0.118989,0.092125,0.097488,368,143168,0.11
20171202,0.108768,0.118571,0.099403,0.117224,19,132715,0.11
20171201,0.111959,0.117338,0.094192,0.108861,250,136608,0.11
20171130,0.098319,0.113560,0.077316,0.112516,592,119965,0.10
20171129,0.088540,0.118331,0.088540,0.096954,79,108034,0.10
20171128,0.112835,0.121703,0.088474,0.088629,777,137676,0.11
20171127,0.112244,0.117395,0.108478,0.112544,409,136955,0.11
20171126,0.097334,0.114656,0.097225,0.112212,761,118763,0.11
20171125,0.077193,0.097366,0.076788,0.097366,678,94189,0.09
20171124,0.079426,0.092366,0.073137,0.077366,165,96912,0.08
20171123,0.076698,0.080222,0.075665,0.079654,190,93584,0.08
20171122,0.074998,0.091446,0.074425,0.076749,405,91510,0.08
20171121,0.075239,0.077577,0.071177,0.074816,307,91803,0.07
20171120,0.075992,0.090987,0.075021,0.075225,240,92723,0.08
20171119,0.078714,0.078749,0.071642,0.076028,345,96044,0.08
