date,open,high,low,close,volume,marketcap,average
20180110,3.65,3.79,2.88,3.27,54649,4288850,3.33
20180109,4.14,4.90,3.64,3.65,67588,4861670,4.27
20180108,3.42,5.08,2.92,4.15,236009,4012850,4.00
20180107,3.43,3.72,3.02,3.42,194065,4023230,3.37
20180106,2.77,3.44,2.55,3.43,74608,3249220,3.00
20180105,1.75,3.41,1.74,2.77,115782,2056950,2.58
20180104,1.86,2.11,1.65,1.76,19691,2182590,1.88
20180103,1.82,2.29,1.64,1.73,12929,2136890,1.96
20180102,1.37,1.99,1.23,1.81,74175,1607330,1.61
20180101,1.83,2.12,1.37,1.37,36670,2150170,1.75
20171231,2.06,4.21,1.39,1.90,285973,2410860,2.80
20171230,1.35,2.93,1.10,2.08,110086,1583630,2.02
20171229,1.22,1.37,0.948946,1.35,31426,1431350,1.16
20171228,1.44,1.45,1.01,1.21,11241,1692060,1.23
20171227,0.993418,1.45,0.916972,1.45,8913,1164820,1.18
20171226,1.24,1.33,0.986506,0.992697,2229,1457680,1.16
20171225,1.22,1.34,1.02,1.24,4908,1428280,1.18
20171224,1.21,1.39,1.07,1.21,922,1417400,1.23
20171223,1.27,1.48,1.12,1.20,4275,1491410,1.30
20171222,1.38,1.49,1.02,1.26,33765,1612210,1.25
20171221,1.24,2.12,1.20,1.38,220520,1450110,1.66
20171220,1.44,1.44,1.16,1.24,6114,1672230,1.30
20171219,1.66,1.75,1.38,1.44,2891,1927840,1.56
20171218,1.50,1.66,1.43,1.66,4592,1732610,1.54
20171217,1.87,1.97,1.48,1.49,2207,2164740,1.73
20171216,1.88,1.99,1.64,1.87,3685,2168220,1.81
20171215,1.75,1.95,1.57,1.88,4921,2019240,1.76
20171214,1.83,2.14,1.49,1.75,1956,2098020,1.81
20171213,2.05,2.32,1.82,1.83,55048,2347870,2.07
20171212,2.36,2.37,1.90,2.05,140860,2699200,2.13
20171211,1.23,2.47,1.22,2.36,306595,1405350,1.85
20171210,1.01,1.27,0.889144,1.24,5734,1157560,1.08
