date,open,high,low,close,volume,marketcap,average
20180110,0.007886,0.008849,0.007468,0.008849,359,159980,0.01
20180109,0.007681,0.008023,0.007486,0.007876,50,155804,0.01
20180108,0.008305,0.008336,0.007264,0.007702,48,168478,0.01
20180107,0.008601,0.008601,0.007352,0.008317,98,174481,0.01
20180106,0.007643,0.008631,0.007200,0.008608,104,155038,0.01
20180105,0.006680,0.007701,0.006571,0.007637,328,135502,0.01
20180104,0.007149,0.007728,0.006392,0.006678,326,145023,0.01
20180103,0.006676,0.007181,0.006602,0.007110,13,135428,0.01
20180102,0.004996,0.006732,0.004823,0.006700,35,101337,0.01
20180101,0.005872,0.005872,0.004860,0.004996,181,119120,0.01
20171231,0.005976,0.006836,0.005850,0.005850,17,121222,0.01
20171230,0.006958,0.006960,0.004869,0.006041,15,141146,0.01
20171229,0.005353,0.007272,0.005353,0.006976,1141,108588,0.01
20171228,0.005741,0.006675,0.005099,0.005298,1516,116457,0.01
20171227,0.006493,0.006719,0.005447,0.005753,57,131717,0.01
20171226,0.005015,0.006610,0.004994,0.006488,127,101725,0.01
20171225,0.005071,0.005944,0.004852,0.005020,121,102874,0.01
20171224,0.005989,0.005989,0.004524,0.005019,122,121483,0.01
20171223,0.004964,0.006420,0.004895,0.005923,421,100703,0.01
20171222,0.005657,0.005712,0.004349,0.004918,41,114749,0.01
20171221,0.005934,0.006259,0.005453,0.005637,445,120374,0.01
20171220,0.006343,0.006421,0.005675,0.005918,30,128666,0.01
20171219,0.006505,0.006647,0.006038,0.006349,34,131966,0.01
20171218,0.006505,0.006560,0.006213,0.006500,25,131954,0.01
20171217,0.006427,0.006789,0.006299,0.006485,29,130381,0.01
20171216,0.005647,0.006477,0.005576,0.006426,57,114552,0.01
20171215,0.004976,0.005784,0.004975,0.005639,293,100947,0.01
20171214,0.005568,0.005647,0.004909,0.004969,669,112943,0.01
20171213,0.005356,0.005717,0.004786,0.005586,45,108640,0.01
20171212,0.005219,0.005505,0.005097,0.005351,18,105878,0.01
20171211,0.004422,0.005426,0.004402,0.005203,14,89695,0.00
20171210,0.004361,0.004574,0.003839,0.004454,40,88463,0.00
20171209,0.005204,0.005282,0.003928,0.004343,494,105575,0.00
20171208,0.005727,0.005813,0.004506,0.005210,19,116181,0.01
20171207,0.004533,0.006092,0.004533,0.005714,53,91951,0.01
20171206,0.003510,0.005117,0.003510,0.004541,501,71207,0.00
20171205,0.003497,0.003575,0.003448,0.003518,348,70936,0.00
20171204,0.003597,0.003690,0.003345,0.003490,58,72975,0.00
20171203,0.003607,0.004372,0.003388,0.003585,369,73179,0.00
20171202,0.003374,0.003684,0.003368,0.003604,111,68447,0.00
20171201,0.003198,0.003432,0.002933,0.003377,19,64869,0.00
20171130,0.003047,0.003314,0.002790,0.003214,5,61808,0.00
20171129,0.003078,0.003432,0.002819,0.003001,267,62432,0.00
20171128,0.002927,0.003090,0.002898,0.003081,355,59368,0.00
20171127,0.002795,0.002924,0.002795,0.002919,134,56704,0.00
20171126,0.002799,0.003140,0.002796,0.003074,1,56775,0.00
20171125,0.002627,0.002800,0.002612,0.002800,5,53294,0.00
20171124,0.002652,0.003105,0.002441,0.002633,414,53802,0.00
20171123,0.002714,0.002728,0.002512,0.002656,29,55061,0.00
20171122,0.002597,0.002736,0.002586,0.002715,10,52672,0.00
20171121,0.002390,0.002600,0.002137,0.002590,41,48483,0.00
20171120,0.002896,0.002902,0.002126,0.002390,427,58739,0.00
20171119,0.002881,0.002920,0.002252,0.002897,19,58446,0.00
20171118,0.002537,0.002909,0.002220,0.002887,44,51457,0.00
20171117,0.002981,0.003051,0.002512,0.002546,155,60471,0.00
20171116,0.001899,0.002365,0.001856,0.002357,35,38518,0.00
20171115,0.001851,0.002032,0.001851,0.001889,40,37554,0.00
20171114,0.002351,0.002452,0.001836,0.001850,35,47694,0.00
20171113,0.001879,0.002489,0.001879,0.002346,30,38110,0.00
20171112,0.001972,0.002238,0.001716,0.001876,240,40002,0.00
20171111,0.001709,0.002018,0.001637,0.001973,88,34677,0.00
20171110,0.001853,0.002021,0.001685,0.001716,122,37599,0.00
20171109,0.002091,0.002091,0.001842,0.001848,104,42415,0.00
20171108,0.002206,0.002305,0.001936,0.002093,120,44750,0.00
20171107,0.002157,0.002232,0.002034,0.002213,88,43762,0.00
20171106,0.002070,0.002436,0.001948,0.002161,101,41994,0.00
