date,open,high,low,close,volume,marketcap,average
20180110,7.76,7.80,6.99,7.67,12477300,314214000,7.39
20180109,7.84,8.33,7.53,7.75,12226700,317512000,7.93
20180108,8.72,8.78,7.04,7.81,16257900,353434000,7.91
20180107,9.87,11.24,8.35,8.73,25077700,399983000,9.79
20180106,7.23,10.03,7.09,9.93,27475300,292746000,8.56
20180105,7.97,7.97,6.87,7.19,15831300,322770000,7.42
20180104,8.32,8.37,7.05,7.84,16273400,337162000,7.71
20180103,5.84,8.47,5.69,8.32,28909600,236661000,7.08
20180102,4.91,6.22,4.91,5.84,17278400,198865000,5.56
20180101,5.27,5.27,4.71,4.92,6936160,213413000,4.99
20171231,4.88,5.39,4.78,5.23,7509990,197790000,5.08
20171230,5.35,5.36,4.75,4.91,8450760,216821000,5.05
20171229,5.10,5.57,5.02,5.31,11668000,206737000,5.29
20171228,5.63,5.72,4.70,5.09,7466560,227886000,5.21
20171227,5.19,6.55,5.14,5.68,14040000,210101000,5.84
20171226,4.90,5.42,4.84,5.16,6519970,198436000,5.13
20171225,4.78,5.09,4.59,4.90,5424110,193625000,4.84
20171224,5.15,5.21,4.24,4.75,4688570,208614000,4.72
20171223,4.99,5.65,4.77,5.05,8901800,202086000,5.21
20171222,6.08,6.14,3.97,4.82,7041970,246299000,5.05
20171221,6.72,7.10,5.86,6.02,10766600,272353000,6.48
20171220,6.31,7.42,5.72,6.60,17928900,255694000,6.57
20171219,7.52,7.86,6.16,6.43,14981400,304470000,7.01
20171218,5.02,7.78,4.77,7.47,26697800,203295000,6.28
20171217,4.38,5.48,4.21,5.02,19239900,177439000,4.85
20171216,3.63,4.57,3.57,4.45,20673400,146862000,4.07
20171215,2.92,3.95,2.67,3.60,11886900,118111000,3.31
20171214,2.76,3.08,2.63,2.91,11307200,111801000,2.85
20171213,2.55,2.99,2.42,2.78,7521820,103239000,2.71
20171212,2.34,2.61,2.20,2.54,7678990,94595900,2.41
20171211,2.22,2.38,2.16,2.30,4743850,89958000,2.27
20171210,2.45,2.45,2.15,2.20,6023980,99157700,2.30
20171209,2.50,2.66,2.23,2.43,5895260,101414000,2.45
20171208,2.58,2.60,2.23,2.54,6865070,104583000,2.42
20171207,2.60,2.65,2.36,2.59,8684210,105156000,2.50
20171206,2.64,2.81,2.39,2.61,8858640,106801000,2.60
20171205,2.78,2.79,2.64,2.66,7310680,112654000,2.71
20171204,2.83,2.92,2.55,2.80,9207540,114649000,2.73
20171203,2.86,3.07,2.68,2.83,6875280,115881000,2.88
20171202,2.94,3.06,2.81,2.86,10626700,119056000,2.94
20171201,2.81,3.01,2.69,2.97,11403300,113994000,2.85
20171130,2.65,3.19,2.51,2.84,11835600,107177000,2.85
20171129,2.91,3.32,2.45,2.59,11955400,117749000,2.88
20171128,2.97,3.08,2.83,2.90,11989100,120217000,2.96
20171127,3.05,3.05,2.87,2.96,9224830,123400000,2.96
20171126,2.95,3.09,2.89,3.04,11848400,119659000,2.99
20171125,2.86,2.99,2.83,2.95,8945300,115996000,2.91
20171124,2.54,2.89,2.42,2.87,12230000,102707000,2.66
20171123,2.76,2.88,2.54,2.54,6968300,111694000,2.71
20171122,2.26,3.17,2.21,2.75,14909700,91586800,2.69
20171121,2.36,2.39,2.19,2.28,4222430,95748100,2.29
20171120,2.27,2.43,2.18,2.33,4071480,91778800,2.31
20171119,2.25,2.28,2.13,2.27,3143190,91170700,2.21
20171118,2.13,2.34,2.08,2.25,3968760,86410700,2.21
20171117,2.24,2.77,1.98,2.15,4315350,90842000,2.38
20171116,2.10,2.39,1.96,2.24,1246300,85034300,2.17
20171115,1.99,2.33,1.99,2.06,488485,80622500,2.16
20171114,2.22,2.28,1.71,2.18,2225320,90003400,1.99
20171113,1.97,2.31,1.97,2.22,2866130,79605100,2.14
20171112,2.20,2.21,1.88,2.03,1061990,89184300,2.04
20171111,2.31,2.51,2.13,2.20,707773,93581700,2.32
20171110,2.57,2.68,2.27,2.32,2582300,104077000,2.48
20171109,2.69,2.78,2.51,2.56,2177120,108908000,2.64
20171108,2.92,2.98,2.54,2.69,2145580,118470000,2.76
20171107,2.32,3.00,2.32,3.00,2739570,94171600,2.66
20171106,2.39,2.51,2.25,2.33,3023650,96913600,2.38
20171105,2.30,2.53,2.30,2.39,434228,93101600,2.42
20171104,2.01,2.77,1.92,2.30,657224,81388100,2.34
20171103,1.97,2.06,1.91,2.02,1767180,79944000,1.98
20171102,1.88,2.06,1.87,2.00,2874820,76134000,1.97
20171101,1.79,1.88,1.76,1.88,2510030,72316700,1.82
20171031,1.84,1.88,1.69,1.79,2347980,74653100,1.78
20171030,1.77,1.83,1.64,1.76,2439790,71637100,1.73
20171029,1.73,1.87,1.70,1.78,1820870,70010400,1.79
20171028,1.74,1.77,1.68,1.73,1946970,70322900,1.73
20171027,1.79,1.82,1.70,1.73,2001740,72472700,1.76
20171026,1.71,1.84,1.69,1.79,1642150,69223800,1.77
20171025,1.63,1.72,1.62,1.71,1586590,65943200,1.67
20171024,1.65,1.71,1.56,1.63,1603570,66921700,1.64
20171023,1.69,1.72,1.58,1.65,2197330,68635400,1.65
20171022,1.68,1.70,1.59,1.70,2266290,67996100,1.65
20171021,1.81,1.82,1.62,1.65,2269620,73135400,1.72
20171020,1.77,1.86,1.68,1.82,3118770,71542800,1.77
20171019,1.71,1.80,1.67,1.77,1086660,69084500,1.73
20171018,1.79,1.79,1.56,1.78,1127960,72433100,1.68
20171017,1.79,1.84,1.72,1.79,85038,72597300,1.78
20171016,1.66,1.82,1.64,1.79,1612950,67240900,1.73
20171015,1.70,1.77,1.54,1.67,79672,68775500,1.66
20171014,1.70,1.79,1.65,1.69,1630090,69065700,1.72
20171013,1.84,1.97,1.59,1.71,2217590,74349000,1.78
20171012,1.81,1.98,1.74,1.85,415450,73298800,1.86
20171011,1.50,2.13,1.50,1.94,2673230,60628200,1.81
20171010,1.68,1.78,1.44,1.52,760003,68093400,1.61
20171009,1.84,1.85,1.73,1.82,576,74658200,1.79
20171008,2.13,2.18,1.77,1.84,4981,86225100,1.98
20171007,2.06,2.28,1.96,2.13,2286,83276500,2.12
20171006,2.03,2.30,2.03,2.06,1455,82321300,2.17
20171005,2.11,2.22,1.98,2.03,2006,85675700,2.10
20171004,2.26,2.26,2.10,2.11,5453,91642700,2.18
20171003,2.42,2.42,2.05,2.26,897,98061800,2.23
20171002,2.43,2.50,1.97,2.42,15690,98454700,2.23
20171001,2.52,2.53,2.38,2.43,3995,102085000,2.46
20170930,2.32,2.58,2.29,2.52,11370,94086800,2.44
20170929,2.32,2.66,2.27,2.32,13615,93979500,2.46
20170928,2.41,2.68,2.23,2.32,14900,97818700,2.46
