date,open,high,low,close,volume,marketcap,average
20180110,21.70,25.45,16.36,22.75,260480,7329800,20.91
20180109,18.18,21.79,18.18,21.72,53402,6140770,19.98
20180108,18.23,19.74,15.01,18.23,303732,6156530,17.38
20180107,13.67,18.42,13.38,18.08,356768,4616430,15.90
20180106,10.28,14.00,10.23,13.67,92474,3473270,12.12
20180105,11.50,13.95,10.03,10.23,139389,3884310,11.99
20180104,10.10,12.15,7.91,11.55,69242,3410030,10.03
20180103,10.81,11.82,9.75,10.08,51203,3651250,10.79
20180102,11.42,14.39,10.62,10.76,214281,3856970,12.50
20180101,9.77,11.39,9.10,11.39,125396,3299380,10.25
20171231,8.34,10.37,7.76,9.40,127779,2818260,9.06
20171230,10.78,11.32,6.17,8.57,229106,3642660,8.75
20171229,7.77,13.33,7.77,10.78,641973,2624280,10.55
20171228,7.77,7.83,6.49,7.71,159429,2624390,7.16
20171227,7.61,8.12,6.05,7.23,223350,2570910,7.08
20171226,7.29,8.70,6.51,7.59,285779,2462750,7.60
20171225,4.23,7.31,4.06,7.29,361133,1430460,5.68
20171224,3.47,4.99,3.13,4.22,134859,1172200,4.06
20171223,2.47,3.64,2.26,3.43,76922,835367,2.95
20171222,2.14,2.55,1.64,2.45,25980,721959,2.09
20171221,1.80,2.31,1.65,2.13,3154,606984,1.98
20171220,1.20,1.86,1.12,1.79,16062,404063,1.49
20171219,1.74,1.89,1.19,1.20,20635,588534,1.54
20171218,1.60,1.89,1.35,1.75,45656,540588,1.62
20171217,1.32,1.65,1.28,1.60,86217,444417,1.46
20171216,1.05,1.31,1.04,1.31,59802,353820,1.18
20171215,0.430004,1.04,0.395746,1.04,31842,145252,0.72
20171214,0.501306,0.520354,0.399430,0.430317,10455,169338,0.46
20171213,0.502459,0.514152,0.394483,0.501567,20129,169727,0.45
20171212,0.353678,0.503019,0.311951,0.502115,3623,,0.41
20171211,0.201003,0.355960,0.200768,0.355960,642,,0.28
20171210,0.303766,0.303766,0.197672,0.200777,4311,,0.25
20171209,0.247925,0.325826,0.247925,0.302794,7246,,0.29
20171208,0.190146,0.253285,0.185461,0.247931,6399,,0.22
20171207,0.177849,0.194974,0.175127,0.191484,232,,0.19
20171206,0.208285,0.208285,0.163322,0.178469,230,,0.19
20171205,0.186555,0.212020,0.176321,0.208651,1421,,0.19
20171204,0.169938,0.186459,0.167995,0.186459,647,,0.18
20171203,0.187679,0.197379,0.117086,0.141307,1549,,0.16
20171202,0.161645,0.188601,0.156051,0.187615,251,,0.17
20171201,0.174514,0.228589,0.142958,0.161649,468,,0.19
20171130,0.171239,0.190759,0.158851,0.174948,2232,,0.17
20171129,0.156661,0.229663,0.156661,0.169074,2888,,0.19
20171128,0.232672,0.232672,0.144117,0.156536,2130,,0.19
20171127,0.185868,0.233602,0.140425,0.232990,1377,,0.19
20171126,0.174677,0.204552,0.135928,0.185915,623,,0.17
20171125,0.143347,0.231993,0.131086,0.174672,1359,,0.18
20171124,0.158988,0.187044,0.097673,0.143370,940,,0.14
20171123,0.119076,0.187892,0.083243,0.159788,1464,,0.14
20171122,0.077564,0.233607,0.077502,0.118803,1153,,0.16
20171121,0.129614,0.194103,0.076968,0.077465,595,,0.14
20171120,0.125429,0.263126,0.125417,0.129818,5806,,0.19
20171119,0.234727,0.264263,0.123843,0.125564,1566,,0.19
20171118,0.198918,0.359552,0.197668,0.235335,8536,,0.28
20171117,0.289576,0.317533,0.155143,0.199218,16695,,0.24
20171116,0.341770,0.418032,0.192171,0.282463,22516,,0.31
20171115,0.070292,0.557480,0.069351,0.342038,59924,,0.31
20171114,0.069142,0.070268,0.069142,0.070254,11126,,0.07
