date,open,high,low,close,volume,marketcap,average
20180110,0.001606,0.002400,0.001547,0.002400,1959,180714,0.00
20180109,0.001958,0.002145,0.001504,0.001604,1615,219982,0.00
20180108,0.001954,0.002292,0.001852,0.001963,2581,219566,0.00
20180107,0.001548,0.001982,0.001460,0.001957,853,173943,0.00
20180106,0.001698,0.001881,0.001313,0.001549,893,190808,0.00
20180105,0.001518,0.001992,0.001493,0.001697,1011,170550,0.00
20180104,0.001825,0.002092,0.001376,0.001518,5301,205052,0.00
20180103,0.003412,0.004005,0.000601,0.001815,51955,383235,0.00
20180102,0.000810,0.003541,0.000782,0.003424,17406,90979,0.00
20180101,0.000979,0.000979,0.000775,0.000810,30,109908,0.00
20171231,0.000763,0.000997,0.000507,0.000975,326,85667,0.00
20171230,0.000870,0.000870,0.000372,0.000771,80,97662,0.00
20171229,0.000723,0.001017,0.000718,0.000872,81,81218,0.00
20171228,0.000621,0.000728,0.000276,0.000716,341,69680,0.00
20171227,0.000633,0.000662,0.000311,0.000622,40,71120,0.00
20171226,0.000557,0.000646,0.000473,0.000633,185,62550,0.00
20171225,0.000423,0.000561,0.000398,0.000558,48,47438,0.00
20171224,0.000584,0.000584,0.000377,0.000418,17,65578,0.00
20171223,0.000276,0.000621,0.000272,0.000578,385,30949,0.00
20171222,0.000471,0.000476,0.000271,0.000273,133,52860,0.00
20171221,0.000330,0.000476,0.000313,0.000470,25,36967,0.00
20171220,0.000352,0.000357,0.000315,0.000329,213,39507,0.00
20171219,0.000574,0.000576,0.000341,0.000353,72,64353,0.00
20171218,0.000574,0.000579,0.000370,0.000574,395,64346,0.00
20171217,0.000390,0.000596,0.000382,0.000572,381,43668,0.00
20171216,0.000353,0.000720,0.000348,0.000389,145,39564,0.00
20171215,0.000332,0.000361,0.000332,0.000352,15,37187,0.00
20171214,0.000328,0.000341,0.000324,0.000331,402,36708,0.00
20171213,0.000691,0.000700,0.000319,0.000329,441,77443,0.00
20171212,0.000505,0.000704,0.000329,0.000690,347,56599,0.00
20171211,0.000610,0.000671,0.000491,0.000503,183,68333,0.00
20171210,0.000451,0.000943,0.000268,0.000614,1739,50466,0.00
20171209,0.000163,0.000605,0.000135,0.000449,8109,18133,0.00
20171208,0.000159,0.000163,0.000151,0.000163,519,17734,0.00
20171207,0.000275,0.000323,0.000271,0.000323,61,30626,0.00
20171206,0.000251,0.000276,0.000251,0.000275,52,27965,0.00
20171205,0.000233,0.000238,0.000230,0.000233,351,25987,0.00
20171204,0.000337,0.000342,0.000218,0.000233,379,37589,0.00
20171203,0.000328,0.000355,0.000318,0.000336,21,36547,0.00
20171202,0.000544,0.000554,0.000215,0.000328,1221,60637,0.00
20171201,0.000528,0.000548,0.000523,0.000545,8,58774,0.00
20171130,0.000590,0.000641,0.000540,0.000579,1,65683,0.00
20171129,0.000496,0.000619,0.000430,0.000581,36,55270,0.00
20171128,0.000390,0.000499,0.000386,0.000497,2,43441,0.00
20171127,0.000466,0.000681,0.000379,0.000389,676,51782,0.00
20171126,0.000437,0.000729,0.000437,0.000466,132,48605,0.00
20171125,0.000328,0.000437,0.000327,0.000437,11,36498,0.00
20171124,0.000329,0.000332,0.000328,0.000329,126,36523,0.00
20171123,0.000411,0.000413,0.000405,0.000408,1,45704,0.00
20171122,0.000406,0.000415,0.000405,0.000411,3,45138,0.00
20171121,0.000494,0.000502,0.000468,0.000495,70,54948,0.00
20171120,0.000496,0.000497,0.000491,0.000494,104,55108,0.00
20171118,0.000384,0.000390,0.000373,0.000386,9,42665,0.00
20171117,0.000471,0.000482,0.000381,0.000386,9,52242,0.00
20171116,0.000438,0.000547,0.000428,0.000471,6,48633,0.00
20171115,0.000397,0.000439,0.000397,0.000436,6,44025,0.00
20171114,0.000522,0.000538,0.000390,0.000396,309,57972,0.00
20171113,0.000470,0.000538,0.000466,0.000521,252,52082,0.00
20171112,0.000382,0.000501,0.000366,0.000469,97,42323,0.00
20171111,0.000460,0.000477,0.000374,0.000382,937,51033,0.00
20171110,0.000713,0.000733,0.000452,0.000462,49,79002,0.00
